mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,196,218,16,9,21,15,24,34,39,46,74,69,61,6,162,44,120,4,18,66,38,56,38,36,168,37,56,58,17,135,33,13,17,57,53,16,10,2,0,0,0,168
2,21,14,0,1,0,0,1,1,5,2,9,10,5,1,3,1,12,2,3,14,18,7,1,0,26,3,9,10,4,23,3,4,1,2,4,5,2,8,0,0,56,82
3,271,266,65,59,39,23,27,66,58,57,55,31,38,19,6,19,121,4,7,380,34,71,37,51,193,46,66,60,21,104,89,21,41,53,56,14,8,0,0,0,0,193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53,46,0,3,6,8,9,3,8,20,11,22,7,2,1,0,18,1,0,79,11,15,7,7,40,6,14,13,7,25,15,2,0,2,6,9,6,15,0,0,0,40
6,41,38,2,2,7,8,7,5,5,12,10,18,3,0,0,0,11,0,0,68,8,11,6,7,32,5,12,10,5,20,12,0,0,1,2,6,6,17,0,0,0,32
7,51,75,13,14,0,0,6,23,26,10,12,5,13,4,0,0,22,6,0,98,10,16,8,13,47,7,17,16,7,30,17,3,0,8,7,11,8,10,0,0,0,47
8,33,37,0,3,5,4,2,1,7,11,10,18,7,2,2,5,3,0,0,60,10,10,6,5,31,5,11,10,5,23,8,1,0,0,4,5,5,16,0,0,0,31
9,506,524,63,90,140,65,73,97,183,200,73,25,13,8,336,2,454,12,75,151,19,53,44,151,267,63,91,85,28,98,169,8,20,22,27,70,47,73,0,0,0,267
10,420,386,51,70,60,47,61,87,147,97,97,65,15,9,544,0,11,1,14,236,14,34,32,125,205,49,69,64,23,79,126,0,0,11,15,43,30,106,0,0,0,205
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,43,63,0,0,0,0,0,28,15,24,0,39,0,0,0,0,0,0,0,106,19,19,9,7,54,16,22,10,6,44,10,0,0,0,13,0,14,27,0,0,0,54
13,48,59,6,1,5,3,5,9,15,11,16,24,9,3,11,0,25,2,0,69,17,19,8,7,51,9,19,16,7,40,11,2,3,7,4,11,8,16,0,0,0,51
14,246,221,23,36,35,16,27,58,60,83,61,37,21,10,62,24,306,9,10,56,35,62,31,45,173,38,59,58,18,115,58,5,7,39,35,44,16,27,0,0,0,173
15,31,41,6,6,2,7,11,6,11,6,10,2,4,1,6,4,48,1,2,11,2,4,4,11,21,3,9,6,3,12,9,0,0,4,8,5,3,1,0,0,0,21
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,48,2,4,1,3,3,19,13,11,1,17,5,3,1,3,40,2,2,34,21,17,5,2,45,7,18,13,7,40,5,3,1,12,15,9,4,1,0,0,0,45
18,31,44,2,4,2,7,9,2,12,11,8,6,6,6,0,1,13,0,3,58,8,13,5,5,31,5,11,10,5,20,11,0,2,3,5,9,3,9,0,0,0,31
19,16,18,2,0,0,0,1,1,10,3,3,13,0,1,1,0,2,0,1,30,6,7,2,2,17,4,7,4,2,13,4,2,1,2,3,2,2,5,0,0,0,17
20,76,53,3,16,13,6,10,12,22,12,18,8,2,7,0,1,104,2,10,12,12,16,7,13,48,7,18,16,7,27,21,6,10,18,7,7,0,0,0,0,0,48
21,39,52,4,0,8,3,8,10,11,5,24,13,5,0,6,2,13,0,9,61,8,12,7,8,35,5,12,12,6,23,12,0,3,4,4,6,1,17,0,0,0,35
22,11,23,0,0,3,2,3,4,8,7,6,1,0,0,4,1,9,3,2,15,6,5,3,2,16,2,7,5,2,12,4,4,4,2,2,2,2,0,0,0,0,16
23,42,45,8,10,8,0,12,13,3,19,8,2,2,2,1,5,57,0,1,23,3,8,5,10,26,3,10,9,4,14,12,1,3,5,9,6,2,0,0,0,0,26
24,71,84,13,14,13,2,12,23,15,17,20,16,7,3,5,7,132,0,4,7,3,8,9,22,42,6,15,14,7,23,19,6,6,11,11,7,1,0,0,0,0,42
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,99,109,8,11,7,11,31,24,25,25,33,23,6,4,38,10,73,4,29,54,12,21,15,23,71,14,25,24,8,45,26,2,4,10,11,19,12,13,0,0,0,71
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,15,20,0,0,0,0,5,7,3,9,7,4,0,0,1,1,18,0,1,14,7,7,2,0,16,2,7,5,2,14,2,1,1,5,5,2,1,1,0,0,0,16
30,92,113,9,17,29,21,11,7,20,38,31,15,2,5,71,2,28,1,13,90,11,22,12,25,70,19,27,18,6,39,31,0,2,2,5,15,11,35,0,0,0,70
31,254,236,20,21,46,43,43,96,82,75,42,14,6,2,66,16,279,0,24,105,35,57,33,52,177,44,66,51,16,110,67,5,21,59,42,23,15,12,0,0,0,177
32,100,97,16,23,20,9,32,29,30,12,10,5,8,3,21,8,44,3,29,92,15,25,13,21,74,14,24,28,8,35,39,4,1,13,19,17,6,14,0,0,0,74
33,28,22,0,2,1,1,5,5,10,2,4,11,8,1,0,0,4,2,1,43,6,7,5,2,20,5,8,6,1,16,4,0,0,3,2,3,3,9,0,0,0,20
34,116,148,17,19,10,0,29,35,25,34,51,24,14,6,18,17,94,5,13,117,16,32,23,26,97,17,33,38,9,53,44,6,7,37,27,14,6,0,0,0,0,97
35,25,23,2,3,2,2,2,7,7,9,4,2,7,1,0,0,19,0,1,28,3,8,2,5,18,4,6,5,3,13,5,0,0,1,2,5,2,8,0,0,0,18
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,51,54,8,16,7,7,8,10,9,7,12,8,10,3,3,5,31,2,3,61,5,10,10,11,36,5,12,13,6,17,19,0,4,8,6,9,4,5,0,0,0,36
38,62,90,13,5,5,9,10,35,32,13,11,7,7,5,15,26,53,0,7,51,25,28,10,6,69,20,27,17,5,58,11,3,6,13,15,17,10,5,0,0,0,69
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,48,1,5,6,3,12,7,8,10,1,17,12,7,2,2,11,3,5,66,11,12,7,7,37,7,13,12,5,24,13,2,3,5,5,9,3,10,0,0,0,37
41,15,23,2,0,1,2,1,5,6,11,6,4,0,0,0,0,6,0,1,31,4,5,4,3,16,2,7,5,2,13,3,0,0,3,3,2,3,5,0,0,0,16
42,16,8,1,0,3,1,8,1,4,0,1,0,3,2,7,0,8,0,0,9,4,2,2,2,10,1,4,4,1,5,5,1,0,1,2,2,2,2,0,0,0,10
43,43,46,6,11,10,3,9,7,12,6,16,6,2,1,3,1,59,2,3,21,3,6,4,12,25,3,8,10,4,15,10,0,0,7,3,5,3,7,0,0,0,25
44,17,26,2,4,0,1,7,15,6,4,1,1,0,2,2,0,9,0,0,32,8,7,4,2,21,2,8,8,3,18,3,3,1,2,7,6,0,2,0,0,0,21
45,62,104,8,5,13,7,18,19,28,24,9,20,11,4,6,1,96,7,6,50,6,17,13,15,51,9,19,16,7,26,25,0,1,13,11,13,7,6,0,0,0,51
46,9,15,0,3,3,2,2,4,4,1,3,2,0,0,0,0,0,0,0,24,3,4,2,1,10,1,4,4,1,5,5,0,0,1,1,2,1,5,0,0,0,10
47,69,91,16,16,9,2,8,35,22,25,10,9,7,1,17,23,81,3,6,30,26,28,10,9,73,14,21,30,8,52,21,10,10,23,18,11,1,0,0,0,37,110
48,141,197,14,20,39,18,39,62,36,31,39,23,12,5,31,19,194,3,9,82,15,34,23,40,112,25,33,43,11,63,49,6,12,25,31,25,13,0,0,0,0,112
49,160,123,7,18,5,0,3,50,64,46,34,32,14,10,16,52,32,1,2,180,157,48,7,2,214,51,70,68,25,207,7,10,4,50,8,13,52,77,0,0,0,214
50,14,13,0,0,1,0,2,8,5,4,4,1,0,2,2,0,3,1,1,20,3,5,2,2,12,1,6,4,1,10,2,0,0,3,4,3,2,0,0,0,0,12
51,30,49,3,2,5,5,5,9,10,21,2,8,8,1,5,4,55,0,0,15,4,10,1,10,25,4,8,9,4,14,11,3,4,6,4,6,2,0,0,0,0,25
52,8,9,3,0,0,0,3,5,1,4,0,1,0,0,1,0,15,0,0,1,0,5,0,0,5,1,1,3,0,2,3,1,1,3,0,0,0,0,0,0,0,5
53,207,222,27,22,21,12,37,40,58,49,68,63,27,5,215,37,138,0,3,36,12,31,29,56,128,29,33,52,14,73,55,8,10,23,30,34,10,13,0,0,0,128
54,40,54,10,9,7,5,6,8,18,13,4,10,4,0,3,13,39,0,0,39,6,10,7,8,31,6,10,11,4,13,18,2,0,6,10,7,4,2,0,0,0,31
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,148,112,5,14,9,1,17,57,54,28,38,24,11,2,47,13,62,3,5,130,106,53,10,3,172,38,55,61,18,162,10,21,10,27,32,35,26,21,0,0,130,302
57,16,14,2,4,1,0,1,7,0,0,14,0,0,1,0,0,17,0,1,12,2,7,2,2,13,2,6,4,1,11,2,0,0,3,2,3,1,4,0,0,0,13
58,42,23,2,0,5,1,4,13,18,9,2,11,0,0,1,0,23,0,0,41,11,12,5,2,30,4,10,11,5,22,8,1,2,4,7,3,3,10,0,0,0,30
59,43,41,2,6,3,3,2,0,13,9,12,16,11,7,0,0,13,0,0,71,11,12,6,7,36,6,13,12,5,29,7,0,1,3,5,6,6,15,0,0,0,36
60,33,24,0,4,8,1,0,3,7,6,15,4,7,2,2,0,4,6,8,37,5,8,5,5,23,2,8,9,4,12,11,0,0,4,1,3,3,12,0,0,0,23
61,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,4
62,168,160,9,11,18,0,22,85,37,25,41,44,34,2,76,28,93,9,13,109,58,57,24,18,157,35,49,57,16,125,32,13,18,31,42,25,6,22,0,0,0,157
63,23,30,0,0,0,1,35,2,1,4,3,0,0,7,5,0,11,0,1,36,8,7,4,2,21,3,8,7,3,14,7,0,2,2,0,4,4,9,0,0,0,21
64,87,113,13,14,14,7,8,20,49,20,6,16,29,4,11,0,47,1,19,122,27,33,14,15,89,17,27,37,8,64,25,15,1,16,11,24,6,16,0,0,0,89
65,155,155,16,3,23,18,58,56,12,45,39,22,10,8,28,29,70,2,16,165,11,25,16,41,93,22,36,28,7,50,43,12,14,52,9,5,0,1,0,0,0,93
66,94,83,9,6,4,2,7,57,29,27,15,15,4,2,18,3,74,3,5,74,60,38,8,3,109,22,37,39,11,98,11,5,9,23,33,21,6,12,0,0,0,109
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,160,193,24,29,32,11,29,52,59,47,32,17,18,3,22,0,74,4,61,192,17,38,21,43,119,27,41,39,12,68,51,7,16,18,13,35,21,9,0,0,0,119
69,40,27,6,3,3,3,5,7,9,5,5,11,10,0,2,5,8,0,5,47,7,10,5,5,27,5,9,9,4,19,8,1,0,2,3,4,4,13,0,0,0,27
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,48,88,5,7,8,8,14,12,13,19,16,19,10,5,19,9,79,2,1,26,6,12,6,18,42,7,16,12,7,27,15,0,8,6,12,8,4,4,0,0,0,42
72,13,24,0,0,0,3,5,6,5,7,2,4,4,1,0,0,15,0,1,21,3,4,3,4,14,3,6,4,1,12,2,0,0,1,1,5,1,6,0,0,0,14
73,35,27,3,7,1,0,2,3,7,16,6,13,2,2,2,0,13,0,0,47,8,10,3,4,25,1,11,9,4,18,7,0,0,4,2,5,1,13,0,0,0,25
74,9,9,0,0,0,0,0,0,7,1,5,3,2,0,0,2,6,0,1,9,4,5,2,0,11,1,5,4,1,10,1,0,0,2,3,2,1,3,0,0,0,11
75,43,47,3,5,1,1,5,28,13,12,17,3,2,0,0,2,19,0,2,67,22,19,4,3,48,9,18,14,7,42,6,1,3,3,10,17,6,8,0,0,0,48
76,370,329,42,72,55,40,69,84,128,71,64,25,34,15,126,25,412,7,69,60,14,56,32,97,199,48,76,55,20,94,105,2,14,10,23,97,19,34,0,0,0,199
77,32,37,2,0,2,2,4,9,8,17,7,5,10,3,0,1,22,0,0,46,6,10,5,6,27,5,9,9,4,18,9,0,0,1,5,9,3,9,0,0,0,27
