table_name,column_name,dtype,checkpoint
households,HHID,int64,input_pre_processor
households,PUMA,int64,input_pre_processor
households,NP,int64,input_pre_processor
households,HHADJINC,float64,input_pre_processor
households,ADJINC,int64,input_pre_processor
households,WGTP,int64,input_pre_processor
households,HHT,float64,input_pre_processor
households,child_present,int64,input_pre_processor
households,WIF,float64,input_pre_processor
households,HUPAC,float64,input_pre_processor
households,VEH,float64,input_pre_processor
households,numWorkers,float64,input_pre_processor
households,BLD,float64,input_pre_processor
persons,HHID,int64,input_pre_processor
persons,SPORDER,int64,input_pre_processor
persons,PUMA,int64,input_pre_processor
persons,AGEP,int64,input_pre_processor
persons,SCHG,int64,input_pre_processor
persons,COW,float64,input_pre_processor
persons,SEX,int64,input_pre_processor
persons,ESR,float64,input_pre_processor
persons,MIL,float64,input_pre_processor
persons,WKHP,float64,input_pre_processor
persons,RAC1P,int64,input_pre_processor
persons,HISP,int64,input_pre_processor
persons,isWorker,int64,input_pre_processor
persons,pop_race,object,input_pre_processor
persons,NAICS2,object,input_pre_processor
persons,WKW,float64,input_pre_processor
persons,OCCP,float64,input_pre_processor
persons,SCHL,float64,input_pre_processor
persons,isinlaborforce,int64,input_pre_processor
persons,SOCP,object,input_pre_processor
persons,SOC2,int64,input_pre_processor
geo_cross_walk,mgra,int64,input_pre_processor
geo_cross_walk,PUMA,int64,input_pre_processor
geo_cross_walk,region,int64,input_pre_processor
mgra_control_data,mgra,int64,input_pre_processor
mgra_control_data,Male,int64,input_pre_processor
mgra_control_data,Female,int64,input_pre_processor
mgra_control_data,Age_LT5,int64,input_pre_processor
mgra_control_data,Age_5to9,int64,input_pre_processor
mgra_control_data,Age_10to14,int64,input_pre_processor
mgra_control_data,Age_15to17,int64,input_pre_processor
mgra_control_data,Age_18to24,int64,input_pre_processor
mgra_control_data,Age_25to34,int64,input_pre_processor
mgra_control_data,Age_35to44,int64,input_pre_processor
mgra_control_data,Age_45to54,int64,input_pre_processor
mgra_control_data,Age_55to64,int64,input_pre_processor
mgra_control_data,Age_65to74,int64,input_pre_processor
mgra_control_data,Age_75to84,int64,input_pre_processor
mgra_control_data,Age_85Plus,int64,input_pre_processor
mgra_control_data,Asian,int64,input_pre_processor
mgra_control_data,Black,int64,input_pre_processor
mgra_control_data,Hispanic,int64,input_pre_processor
mgra_control_data,Other_v2,int64,input_pre_processor
mgra_control_data,TwoorMore,int64,input_pre_processor
mgra_control_data,White,int64,input_pre_processor
mgra_control_data,HHSize_1,int64,input_pre_processor
mgra_control_data,HHSize_2,int64,input_pre_processor
mgra_control_data,HHSize_3,int64,input_pre_processor
mgra_control_data,HHSize_4Plus,int64,input_pre_processor
mgra_control_data,Total_HH,int64,input_pre_processor
mgra_control_data,HHWork_0,int64,input_pre_processor
mgra_control_data,HHWork_1,int64,input_pre_processor
mgra_control_data,HHWork_2,int64,input_pre_processor
mgra_control_data,HHWork_3Plus,int64,input_pre_processor
mgra_control_data,HHChild_0,int64,input_pre_processor
mgra_control_data,HHChild_1Plus,int64,input_pre_processor
mgra_control_data,HHInc_0to14999,int64,input_pre_processor
mgra_control_data,HHInc_15000to29999,int64,input_pre_processor
mgra_control_data,HHInc_30000to59999,int64,input_pre_processor
mgra_control_data,HHInc_60000to99999,int64,input_pre_processor
mgra_control_data,HHInc_100000to149999,int64,input_pre_processor
mgra_control_data,HHInc_150000to199999,int64,input_pre_processor
mgra_control_data,HHInc_200000Plus,int64,input_pre_processor
mgra_control_data,gq_college_pop,int64,input_pre_processor
mgra_control_data,gq_mil_pop,int64,input_pre_processor
mgra_control_data,gq_other_pop,int64,input_pre_processor
mgra_control_data,Total_HH_GQ,int64,input_pre_processor
region_control_data,region,int64,input_pre_processor
region_control_data,job_1,int64,input_pre_processor
region_control_data,job_2,int64,input_pre_processor
region_control_data,job_3,int64,input_pre_processor
region_control_data,job_4,int64,input_pre_processor
region_control_data,job_5,int64,input_pre_processor
region_control_data,job_6,int64,input_pre_processor
region_control_data,job_7,int64,input_pre_processor
region_control_data,job_8,int64,input_pre_processor
region_control_data,job_9,int64,input_pre_processor
region_control_data,job_10,int64,input_pre_processor
region_control_data,job_11,int64,input_pre_processor
region_control_data,job_12,int64,input_pre_processor
region_control_data,job_13,int64,input_pre_processor
region_control_data,job_14,int64,input_pre_processor
region_control_data,lfp_white,int64,input_pre_processor
region_control_data,lfp_black,int64,input_pre_processor
region_control_data,lfp_other,int64,input_pre_processor
region_control_data,lfp_hispanic,int64,input_pre_processor
crosswalk,region,int64,setup_data_structures
crosswalk,PUMA,int64,setup_data_structures
crosswalk,mgra,int64,setup_data_structures
slice_crosswalk,region,int64,setup_data_structures
slice_crosswalk,PUMA,int64,setup_data_structures
control_spec,target,object,setup_data_structures
control_spec,geography,object,setup_data_structures
control_spec,seed_table,object,setup_data_structures
control_spec,importance,int64,setup_data_structures
control_spec,control_field,object,setup_data_structures
control_spec,expression,object,setup_data_structures
region_controls,region,int64,setup_data_structures
region_controls,Total_HH,int64,setup_data_structures
region_controls,HHSize_1,int64,setup_data_structures
region_controls,HHSize_2,int64,setup_data_structures
region_controls,HHSize_3,int64,setup_data_structures
region_controls,HHSize_4Plus,int64,setup_data_structures
region_controls,HHInc_0to14999,int64,setup_data_structures
region_controls,HHInc_15000to29999,int64,setup_data_structures
region_controls,HHInc_30000to59999,int64,setup_data_structures
region_controls,HHInc_60000to99999,int64,setup_data_structures
region_controls,HHInc_100000to149999,int64,setup_data_structures
region_controls,HHInc_150000to199999,int64,setup_data_structures
region_controls,HHInc_200000Plus,int64,setup_data_structures
region_controls,HHWork_0,int64,setup_data_structures
region_controls,HHWork_1,int64,setup_data_structures
region_controls,HHWork_2,int64,setup_data_structures
