table_name,column_name,dtype,checkpoint
region_controls,HHWork_3Plus,int64,setup_data_structures
region_controls,HHChild_0,int64,setup_data_structures
region_controls,HHChild_1Plus,int64,setup_data_structures
region_controls,Male,int64,setup_data_structures
region_controls,Female,int64,setup_data_structures
region_controls,Age_LT5,int64,setup_data_structures
region_controls,Age_5to9,int64,setup_data_structures
region_controls,Age_10to14,int64,setup_data_structures
region_controls,Age_15to17,int64,setup_data_structures
region_controls,Age_18to24,int64,setup_data_structures
region_controls,Age_25to34,int64,setup_data_structures
region_controls,Age_35to44,int64,setup_data_structures
region_controls,Age_45to54,int64,setup_data_structures
region_controls,Age_55to64,int64,setup_data_structures
region_controls,Age_65to74,int64,setup_data_structures
region_controls,Age_75to84,int64,setup_data_structures
region_controls,Age_85Plus,int64,setup_data_structures
region_controls,Asian,int64,setup_data_structures
region_controls,Black,int64,setup_data_structures
region_controls,Hispanic,int64,setup_data_structures
region_controls,Other,int64,setup_data_structures
region_controls,TwoorMore,int64,setup_data_structures
region_controls,White,int64,setup_data_structures
region_controls,job_1,int64,setup_data_structures
region_controls,job_10,int64,setup_data_structures
region_controls,job_2,int64,setup_data_structures
region_controls,job_3,int64,setup_data_structures
region_controls,job_4,int64,setup_data_structures
region_controls,job_5,int64,setup_data_structures
region_controls,job_6,int64,setup_data_structures
region_controls,job_7,int64,setup_data_structures
region_controls,job_8,int64,setup_data_structures
region_controls,job_9,int64,setup_data_structures
region_controls,job_11,int64,setup_data_structures
region_controls,job_12,int64,setup_data_structures
region_controls,job_13,int64,setup_data_structures
region_controls,job_14,int64,setup_data_structures
region_controls,lfp_white,int64,setup_data_structures
region_controls,lfp_black,int64,setup_data_structures
region_controls,lfp_other,int64,setup_data_structures
region_controls,lfp_hispanic,int64,setup_data_structures
PUMA_controls,PUMA,int64,setup_data_structures
PUMA_controls,Total_HH,int64,setup_data_structures
PUMA_controls,HHSize_1,int64,setup_data_structures
PUMA_controls,HHSize_2,int64,setup_data_structures
PUMA_controls,HHSize_3,int64,setup_data_structures
PUMA_controls,HHSize_4Plus,int64,setup_data_structures
PUMA_controls,HHInc_0to14999,int64,setup_data_structures
PUMA_controls,HHInc_15000to29999,int64,setup_data_structures
PUMA_controls,HHInc_30000to59999,int64,setup_data_structures
PUMA_controls,HHInc_60000to99999,int64,setup_data_structures
PUMA_controls,HHInc_100000to149999,int64,setup_data_structures
PUMA_controls,HHInc_150000to199999,int64,setup_data_structures
PUMA_controls,HHInc_200000Plus,int64,setup_data_structures
PUMA_controls,HHWork_0,int64,setup_data_structures
PUMA_controls,HHWork_1,int64,setup_data_structures
PUMA_controls,HHWork_2,int64,setup_data_structures
PUMA_controls,HHWork_3Plus,int64,setup_data_structures
PUMA_controls,HHChild_0,int64,setup_data_structures
PUMA_controls,HHChild_1Plus,int64,setup_data_structures
PUMA_controls,Male,int64,setup_data_structures
PUMA_controls,Female,int64,setup_data_structures
PUMA_controls,Age_LT5,int64,setup_data_structures
PUMA_controls,Age_5to9,int64,setup_data_structures
PUMA_controls,Age_10to14,int64,setup_data_structures
PUMA_controls,Age_15to17,int64,setup_data_structures
PUMA_controls,Age_18to24,int64,setup_data_structures
PUMA_controls,Age_25to34,int64,setup_data_structures
PUMA_controls,Age_35to44,int64,setup_data_structures
PUMA_controls,Age_45to54,int64,setup_data_structures
PUMA_controls,Age_55to64,int64,setup_data_structures
PUMA_controls,Age_65to74,int64,setup_data_structures
PUMA_controls,Age_75to84,int64,setup_data_structures
PUMA_controls,Age_85Plus,int64,setup_data_structures
PUMA_controls,Asian,int64,setup_data_structures
PUMA_controls,Black,int64,setup_data_structures
PUMA_controls,Hispanic,int64,setup_data_structures
PUMA_controls,Other,int64,setup_data_structures
PUMA_controls,TwoorMore,int64,setup_data_structures
PUMA_controls,White,int64,setup_data_structures
PUMA_controls,job_1,int32,meta_control_factoring
PUMA_controls,job_10,int32,meta_control_factoring
PUMA_controls,job_2,int32,meta_control_factoring
PUMA_controls,job_3,int32,meta_control_factoring
PUMA_controls,job_4,int32,meta_control_factoring
PUMA_controls,job_5,int32,meta_control_factoring
PUMA_controls,job_6,int32,meta_control_factoring
PUMA_controls,job_7,int32,meta_control_factoring
PUMA_controls,job_8,int32,meta_control_factoring
PUMA_controls,job_9,int32,meta_control_factoring
PUMA_controls,job_11,int32,meta_control_factoring
PUMA_controls,job_12,int32,meta_control_factoring
PUMA_controls,job_13,int32,meta_control_factoring
PUMA_controls,job_14,int32,meta_control_factoring
PUMA_controls,lfp_white,int32,meta_control_factoring
PUMA_controls,lfp_black,int32,meta_control_factoring
PUMA_controls,lfp_other,int32,meta_control_factoring
PUMA_controls,lfp_hispanic,int32,meta_control_factoring
mgra_controls,mgra,int64,setup_data_structures
mgra_controls,Total_HH,int64,setup_data_structures
mgra_controls,HHSize_1,int64,setup_data_structures
mgra_controls,HHSize_2,int64,setup_data_structures
mgra_controls,HHSize_3,int64,setup_data_structures
mgra_controls,HHSize_4Plus,int64,setup_data_structures
mgra_controls,HHInc_0to14999,int64,setup_data_structures
mgra_controls,HHInc_15000to29999,int64,setup_data_structures
mgra_controls,HHInc_30000to59999,int64,setup_data_structures
mgra_controls,HHInc_60000to99999,int64,setup_data_structures
mgra_controls,HHInc_100000to149999,int64,setup_data_structures
mgra_controls,HHInc_150000to199999,int64,setup_data_structures
mgra_controls,HHInc_200000Plus,int64,setup_data_structures
mgra_controls,HHWork_0,int64,setup_data_structures
mgra_controls,HHWork_1,int64,setup_data_structures
mgra_controls,HHWork_2,int64,setup_data_structures
mgra_controls,HHWork_3Plus,int64,setup_data_structures
mgra_controls,HHChild_0,int64,setup_data_structures
mgra_controls,HHChild_1Plus,int64,setup_data_structures
mgra_controls,Male,int64,setup_data_structures
mgra_controls,Female,int64,setup_data_structures
mgra_controls,Age_LT5,int64,setup_data_structures
mgra_controls,Age_5to9,int64,setup_data_structures
mgra_controls,Age_10to14,int64,setup_data_structures
mgra_controls,Age_15to17,int64,setup_data_structures
mgra_controls,Age_18to24,int64,setup_data_structures
mgra_controls,Age_25to34,int64,setup_data_structures
mgra_controls,Age_35to44,int64,setup_data_structures
mgra_controls,Age_45to54,int64,setup_data_structures
mgra_controls,Age_55to64,int64,setup_data_structures
mgra_controls,Age_65to74,int64,setup_data_structures
mgra_controls,Age_75to84,int64,setup_data_structures
mgra_controls,Age_85Plus,int64,setup_data_structures
mgra_controls,Asian,int64,setup_data_structures
mgra_controls,Black,int64,setup_data_structures
mgra_controls,Hispanic,int64,setup_data_structures
mgra_controls,Other,int64,setup_data_structures
mgra_controls,TwoorMore,int64,setup_data_structures
mgra_controls,White,int64,setup_data_structures
household_groups,group_id,int32,setup_data_structures
household_groups,sample_weight,int64,setup_data_structures
household_groups,HHID,int32,setup_data_structures
incidence_table,HHID,int64,setup_data_structures
incidence_table,Total_HH,int32,setup_data_structures
incidence_table,HHSize_1,int32,setup_data_structures
incidence_table,HHSize_2,int32,setup_data_structures
incidence_table,HHSize_3,int32,setup_data_structures
incidence_table,HHSize_4Plus,int32,setup_data_structures
incidence_table,HHInc_0to14999,int32,setup_data_structures
incidence_table,HHInc_15000to29999,int32,setup_data_structures
incidence_table,HHInc_30000to59999,int32,setup_data_structures
incidence_table,HHInc_60000to99999,int32,setup_data_structures
incidence_table,HHInc_100000to149999,int32,setup_data_structures
incidence_table,HHInc_150000to199999,int32,setup_data_structures
incidence_table,HHInc_200000Plus,int32,setup_data_structures
incidence_table,HHWork_0,int32,setup_data_structures
incidence_table,HHWork_1,int32,setup_data_structures
incidence_table,HHWork_2,int32,setup_data_structures
incidence_table,HHWork_3Plus,int32,setup_data_structures
incidence_table,HHChild_0,int32,setup_data_structures
incidence_table,HHChild_1Plus,int32,setup_data_structures
incidence_table,Male,int32,setup_data_structures
incidence_table,Female,int32,setup_data_structures
incidence_table,Age_LT5,int32,setup_data_structures
incidence_table,Age_5to9,int32,setup_data_structures
incidence_table,Age_10to14,int32,setup_data_structures
incidence_table,Age_15to17,int32,setup_data_structures
incidence_table,Age_18to24,int32,setup_data_structures
incidence_table,Age_25to34,int32,setup_data_structures
incidence_table,Age_35to44,int32,setup_data_structures
incidence_table,Age_45to54,int32,setup_data_structures
incidence_table,Age_55to64,int32,setup_data_structures
incidence_table,Age_65to74,int32,setup_data_structures
incidence_table,Age_75to84,int32,setup_data_structures
incidence_table,Age_85Plus,int32,setup_data_structures
incidence_table,Asian,int32,setup_data_structures
incidence_table,Black,int32,setup_data_structures
incidence_table,Hispanic,int32,setup_data_structures
incidence_table,Other,int32,setup_data_structures
incidence_table,TwoorMore,int32,setup_data_structures
incidence_table,White,int32,setup_data_structures
incidence_table,job_1,int32,setup_data_structures
incidence_table,job_10,int32,setup_data_structures
incidence_table,job_2,int32,setup_data_structures
incidence_table,job_3,int32,setup_data_structures
incidence_table,job_4,int32,setup_data_structures
incidence_table,job_5,int32,setup_data_structures
incidence_table,job_6,int32,setup_data_structures
incidence_table,job_7,int32,setup_data_structures
incidence_table,job_8,int32,setup_data_structures
incidence_table,job_9,int32,setup_data_structures
incidence_table,job_11,int32,setup_data_structures
incidence_table,job_12,int32,setup_data_structures
incidence_table,job_13,int32,setup_data_structures
incidence_table,job_14,int32,setup_data_structures
incidence_table,lfp_white,int32,setup_data_structures
incidence_table,lfp_black,int32,setup_data_structures
incidence_table,lfp_other,int32,setup_data_structures
incidence_table,lfp_hispanic,int32,setup_data_structures
incidence_table,PUMA,int64,setup_data_structures
incidence_table,region,int64,setup_data_structures
incidence_table,sample_weight,int64,setup_data_structures
incidence_table,group_size,int64,setup_data_structures
incidence_table,group_id,int64,setup_data_structures
PUMA_weights,PUMA,int64,initial_seed_balancing
PUMA_weights,preliminary_balanced_weight,float64,initial_seed_balancing
PUMA_weights,sample_weight,int64,initial_seed_balancing
PUMA_weights,HHID,int64,initial_seed_balancing
PUMA_weights,balanced_weight,float64,final_seed_balancing
PUMA_weights,integer_weight,int64,integerize_final_seed_weights
mgra_weights,HHID,int64,mp_sub_balancing_mgra
mgra_weights,mgra,int64,mp_sub_balancing_mgra
mgra_weights,balanced_weight,float64,mp_sub_balancing_mgra
mgra_weights,integer_weight,int32,mp_sub_balancing_mgra
mgra_weights,PUMA,int64,mp_sub_balancing_mgra
mgra_weights,region,int64,mp_sub_balancing_mgra
mgra_weights_sparse,HHID,int64,mp_sub_balancing_mgra
mgra_weights_sparse,mgra,int64,mp_sub_balancing_mgra
mgra_weights_sparse,balanced_weight,float64,mp_sub_balancing_mgra
mgra_weights_sparse,integer_weight,int32,mp_sub_balancing_mgra
mgra_weights_sparse,PUMA,int64,mp_sub_balancing_mgra
mgra_weights_sparse,region,int64,mp_sub_balancing_mgra
trace_mgra_weights,HHID,int64,mp_sub_balancing_mgra
trace_mgra_weights,mgra,int64,mp_sub_balancing_mgra
trace_mgra_weights,balanced_weight,float64,mp_sub_balancing_mgra
trace_mgra_weights,integer_weight,int32,mp_sub_balancing_mgra
trace_mgra_weights,PUMA,int64,mp_sub_balancing_mgra
trace_mgra_weights,region,int64,mp_sub_balancing_mgra
expanded_household_ids,PUMA,int64,expand_households
expanded_household_ids,mgra,int64,expand_households
expanded_household_ids,HHID,int32,expand_households
summary_region_1,control_name,object,summarize
summary_region_1,control_value,int64,summarize
summary_region_1,region_preliminary_balanced_weight,float64,summarize
summary_region_1,region_balanced_weight,float64,summarize
summary_region_1,region_integer_weight,int64,summarize
summary_region_1,mgra_balanced_weight,float64,summarize
summary_region_1,mgra_integer_weight,int64,summarize
summary_mgra_aggregate,HHID,int64,summarize
summary_mgra_aggregate,PUMA,int64,summarize
summary_mgra_aggregate,balanced_weight,float64,summarize
summary_mgra_aggregate,integer_weight,int32,summarize
summary_mgra_aggregate,sample_weight,int64,summarize
summary_mgra_aggregate,PUMA_preliminary_balanced_weight,float64,summarize
summary_mgra_aggregate,PUMA_balanced_weight,float64,summarize
summary_mgra_aggregate,PUMA_integer_weight,int64,summarize
summary_mgra_PUMA,geography,object,summarize
summary_mgra_PUMA,id,int64,summarize
summary_mgra_PUMA,Total_HH_control,int32,summarize
summary_mgra_PUMA,HHSize_1_control,int32,summarize
summary_mgra_PUMA,HHSize_2_control,int32,summarize
summary_mgra_PUMA,HHSize_3_control,int32,summarize
summary_mgra_PUMA,HHSize_4Plus_control,int32,summarize
summary_mgra_PUMA,HHInc_0to14999_control,int32,summarize
summary_mgra_PUMA,HHInc_15000to29999_control,int32,summarize
summary_mgra_PUMA,HHInc_30000to59999_control,int32,summarize
summary_mgra_PUMA,HHInc_60000to99999_control,int32,summarize
summary_mgra_PUMA,HHInc_100000to149999_control,int32,summarize
summary_mgra_PUMA,HHInc_150000to199999_control,int32,summarize
summary_mgra_PUMA,HHInc_200000Plus_control,int32,summarize
summary_mgra_PUMA,HHWork_0_control,int32,summarize
summary_mgra_PUMA,HHWork_1_control,int32,summarize
summary_mgra_PUMA,HHWork_2_control,int32,summarize
summary_mgra_PUMA,HHWork_3Plus_control,int32,summarize
summary_mgra_PUMA,HHChild_0_control,int32,summarize
summary_mgra_PUMA,HHChild_1Plus_control,int32,summarize
summary_mgra_PUMA,Male_control,int32,summarize
summary_mgra_PUMA,Female_control,int32,summarize
summary_mgra_PUMA,Age_LT5_control,int32,summarize
summary_mgra_PUMA,Age_5to9_control,int32,summarize
summary_mgra_PUMA,Age_10to14_control,int32,summarize
summary_mgra_PUMA,Age_15to17_control,int32,summarize
summary_mgra_PUMA,Age_18to24_control,int32,summarize
summary_mgra_PUMA,Age_25to34_control,int32,summarize
summary_mgra_PUMA,Age_35to44_control,int32,summarize
summary_mgra_PUMA,Age_45to54_control,int32,summarize
summary_mgra_PUMA,Age_55to64_control,int32,summarize
summary_mgra_PUMA,Age_65to74_control,int32,summarize
summary_mgra_PUMA,Age_75to84_control,int32,summarize
summary_mgra_PUMA,Age_85Plus_control,int32,summarize
summary_mgra_PUMA,Asian_control,int32,summarize
summary_mgra_PUMA,Black_control,int32,summarize
summary_mgra_PUMA,Hispanic_control,int32,summarize
summary_mgra_PUMA,Other_control,int32,summarize
summary_mgra_PUMA,TwoorMore_control,int32,summarize
summary_mgra_PUMA,White_control,int32,summarize
summary_mgra_PUMA,job_1_control,int32,summarize
summary_mgra_PUMA,job_10_control,int32,summarize
summary_mgra_PUMA,job_2_control,int32,summarize
summary_mgra_PUMA,job_3_control,int32,summarize
summary_mgra_PUMA,job_4_control,int32,summarize
summary_mgra_PUMA,job_5_control,int32,summarize
summary_mgra_PUMA,job_6_control,int32,summarize
summary_mgra_PUMA,job_7_control,int32,summarize
summary_mgra_PUMA,job_8_control,int32,summarize
summary_mgra_PUMA,job_9_control,int32,summarize
summary_mgra_PUMA,job_11_control,int32,summarize
summary_mgra_PUMA,job_12_control,int32,summarize
summary_mgra_PUMA,job_13_control,int32,summarize
summary_mgra_PUMA,job_14_control,int32,summarize
summary_mgra_PUMA,lfp_white_control,int32,summarize
summary_mgra_PUMA,lfp_black_control,int32,summarize
summary_mgra_PUMA,lfp_other_control,int32,summarize
summary_mgra_PUMA,lfp_hispanic_control,int32,summarize
summary_mgra_PUMA,Total_HH_result,int64,summarize
summary_mgra_PUMA,HHSize_1_result,int64,summarize
summary_mgra_PUMA,HHSize_2_result,int64,summarize
summary_mgra_PUMA,HHSize_3_result,int64,summarize
summary_mgra_PUMA,HHSize_4Plus_result,int64,summarize
summary_mgra_PUMA,HHInc_0to14999_result,int64,summarize
summary_mgra_PUMA,HHInc_15000to29999_result,int64,summarize
summary_mgra_PUMA,HHInc_30000to59999_result,int64,summarize
summary_mgra_PUMA,HHInc_60000to99999_result,int64,summarize
summary_mgra_PUMA,HHInc_100000to149999_result,int64,summarize
summary_mgra_PUMA,HHInc_150000to199999_result,int64,summarize
summary_mgra_PUMA,HHInc_200000Plus_result,int64,summarize
summary_mgra_PUMA,HHWork_0_result,int64,summarize
summary_mgra_PUMA,HHWork_1_result,int64,summarize
summary_mgra_PUMA,HHWork_2_result,int64,summarize
summary_mgra_PUMA,HHWork_3Plus_result,int64,summarize
summary_mgra_PUMA,HHChild_0_result,int64,summarize
summary_mgra_PUMA,HHChild_1Plus_result,int64,summarize
summary_mgra_PUMA,Male_result,int64,summarize
summary_mgra_PUMA,Female_result,int64,summarize
summary_mgra_PUMA,Age_LT5_result,int64,summarize
summary_mgra_PUMA,Age_5to9_result,int64,summarize
summary_mgra_PUMA,Age_10to14_result,int64,summarize
summary_mgra_PUMA,Age_15to17_result,int64,summarize
summary_mgra_PUMA,Age_18to24_result,int64,summarize
summary_mgra_PUMA,Age_25to34_result,int64,summarize
summary_mgra_PUMA,Age_35to44_result,int64,summarize
summary_mgra_PUMA,Age_45to54_result,int64,summarize
summary_mgra_PUMA,Age_55to64_result,int64,summarize
summary_mgra_PUMA,Age_65to74_result,int64,summarize
summary_mgra_PUMA,Age_75to84_result,int64,summarize
summary_mgra_PUMA,Age_85Plus_result,int64,summarize
summary_mgra_PUMA,Asian_result,int64,summarize
summary_mgra_PUMA,Black_result,int64,summarize
summary_mgra_PUMA,Hispanic_result,int64,summarize
summary_mgra_PUMA,Other_result,int64,summarize
summary_mgra_PUMA,TwoorMore_result,int64,summarize
summary_mgra_PUMA,White_result,int64,summarize
summary_mgra_PUMA,job_1_result,int64,summarize
summary_mgra_PUMA,job_10_result,int64,summarize
summary_mgra_PUMA,job_2_result,int64,summarize
summary_mgra_PUMA,job_3_result,int64,summarize
summary_mgra_PUMA,job_4_result,int64,summarize
summary_mgra_PUMA,job_5_result,int64,summarize
summary_mgra_PUMA,job_6_result,int64,summarize
summary_mgra_PUMA,job_7_result,int64,summarize
summary_mgra_PUMA,job_8_result,int64,summarize
summary_mgra_PUMA,job_9_result,int64,summarize
summary_mgra_PUMA,job_11_result,int64,summarize
summary_mgra_PUMA,job_12_result,int64,summarize
summary_mgra_PUMA,job_13_result,int64,summarize
summary_mgra_PUMA,job_14_result,int64,summarize
summary_mgra_PUMA,lfp_white_result,int64,summarize
summary_mgra_PUMA,lfp_black_result,int64,summarize
summary_mgra_PUMA,lfp_other_result,int64,summarize
summary_mgra_PUMA,lfp_hispanic_result,int64,summarize
summary_mgra_PUMA,Total_HH_diff,int64,summarize
summary_mgra_PUMA,HHSize_1_diff,int64,summarize
summary_mgra_PUMA,HHSize_2_diff,int64,summarize
summary_mgra_PUMA,HHSize_3_diff,int64,summarize
summary_mgra_PUMA,HHSize_4Plus_diff,int64,summarize
summary_mgra_PUMA,HHInc_0to14999_diff,int64,summarize
summary_mgra_PUMA,HHInc_15000to29999_diff,int64,summarize
summary_mgra_PUMA,HHInc_30000to59999_diff,int64,summarize
summary_mgra_PUMA,HHInc_60000to99999_diff,int64,summarize
summary_mgra_PUMA,HHInc_100000to149999_diff,int64,summarize
summary_mgra_PUMA,HHInc_150000to199999_diff,int64,summarize
summary_mgra_PUMA,HHInc_200000Plus_diff,int64,summarize
summary_mgra_PUMA,HHWork_0_diff,int64,summarize
summary_mgra_PUMA,HHWork_1_diff,int64,summarize
summary_mgra_PUMA,HHWork_2_diff,int64,summarize
summary_mgra_PUMA,HHWork_3Plus_diff,int64,summarize
summary_mgra_PUMA,HHChild_0_diff,int64,summarize
summary_mgra_PUMA,HHChild_1Plus_diff,int64,summarize
summary_mgra_PUMA,Male_diff,int64,summarize
summary_mgra_PUMA,Female_diff,int64,summarize
summary_mgra_PUMA,Age_LT5_diff,int64,summarize
summary_mgra_PUMA,Age_5to9_diff,int64,summarize
summary_mgra_PUMA,Age_10to14_diff,int64,summarize
summary_mgra_PUMA,Age_15to17_diff,int64,summarize
summary_mgra_PUMA,Age_18to24_diff,int64,summarize
summary_mgra_PUMA,Age_25to34_diff,int64,summarize
summary_mgra_PUMA,Age_35to44_diff,int64,summarize
summary_mgra_PUMA,Age_45to54_diff,int64,summarize
summary_mgra_PUMA,Age_55to64_diff,int64,summarize
summary_mgra_PUMA,Age_65to74_diff,int64,summarize
summary_mgra_PUMA,Age_75to84_diff,int64,summarize
summary_mgra_PUMA,Age_85Plus_diff,int64,summarize
summary_mgra_PUMA,Asian_diff,int64,summarize
summary_mgra_PUMA,Black_diff,int64,summarize
summary_mgra_PUMA,Hispanic_diff,int64,summarize
summary_mgra_PUMA,Other_diff,int64,summarize
summary_mgra_PUMA,TwoorMore_diff,int64,summarize
summary_mgra_PUMA,White_diff,int64,summarize
summary_mgra_PUMA,job_1_diff,int64,summarize
summary_mgra_PUMA,job_10_diff,int64,summarize
summary_mgra_PUMA,job_2_diff,int64,summarize
summary_mgra_PUMA,job_3_diff,int64,summarize
summary_mgra_PUMA,job_4_diff,int64,summarize
summary_mgra_PUMA,job_5_diff,int64,summarize
summary_mgra_PUMA,job_6_diff,int64,summarize
summary_mgra_PUMA,job_7_diff,int64,summarize
summary_mgra_PUMA,job_8_diff,int64,summarize
summary_mgra_PUMA,job_9_diff,int64,summarize
summary_mgra_PUMA,job_11_diff,int64,summarize
summary_mgra_PUMA,job_12_diff,int64,summarize
summary_mgra_PUMA,job_13_diff,int64,summarize
summary_mgra_PUMA,job_14_diff,int64,summarize
summary_mgra_PUMA,lfp_white_diff,int64,summarize
summary_mgra_PUMA,lfp_black_diff,int64,summarize
summary_mgra_PUMA,lfp_other_diff,int64,summarize
summary_mgra_PUMA,lfp_hispanic_diff,int64,summarize
summary_mgra,geography,object,summarize
summary_mgra,id,int64,summarize
summary_mgra,Total_HH_control,int32,summarize
summary_mgra,HHSize_1_control,int32,summarize
summary_mgra,HHSize_2_control,int32,summarize
summary_mgra,HHSize_3_control,int32,summarize
summary_mgra,HHSize_4Plus_control,int32,summarize
summary_mgra,HHInc_0to14999_control,int32,summarize
summary_mgra,HHInc_15000to29999_control,int32,summarize
summary_mgra,HHInc_30000to59999_control,int32,summarize
summary_mgra,HHInc_60000to99999_control,int32,summarize
summary_mgra,HHInc_100000to149999_control,int32,summarize
summary_mgra,HHInc_150000to199999_control,int32,summarize
summary_mgra,HHInc_200000Plus_control,int32,summarize
summary_mgra,HHWork_0_control,int32,summarize
summary_mgra,HHWork_1_control,int32,summarize
summary_mgra,HHWork_2_control,int32,summarize
