HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
28444,7319,3,139471.5,1070512,17,1.0,1,2.0,2.0,2.0,2.0,2.0
28445,7316,1,23263.2,1070512,19,4.0,0,,4.0,1.0,1.0,4.0
28446,7318,1,0.0,1070512,11,6.0,0,,4.0,1.0,0.0,3.0
28447,7317,2,42003.0,1070512,34,7.0,0,,4.0,2.0,2.0,9.0
28448,7310,2,270327.0,1070512,19,5.0,0,,4.0,1.0,2.0,4.0
28449,7314,2,131986.35,1070512,11,1.0,0,1.0,4.0,2.0,1.0,2.0
28450,7304,4,115239.0,1070512,34,1.0,1,2.0,1.0,2.0,2.0,2.0
28451,7310,2,1195470.0,1070512,25,7.0,0,,4.0,2.0,2.0,3.0
28452,7309,5,328269.6,1070512,52,1.0,1,2.0,1.0,2.0,2.0,2.0
28453,7321,6,36618.0,1070512,6,3.0,1,0.0,3.0,1.0,1.0,9.0
28454,7306,2,86052.3,1070512,12,1.0,0,1.0,4.0,2.0,1.0,5.0
28455,7313,1,249325.5,1070512,15,6.0,0,,4.0,0.0,1.0,2.0
28456,7313,2,106407.59999999999,1070512,27,1.0,0,0.0,4.0,2.0,0.0,2.0
28457,7311,2,65804.7,1070512,14,1.0,0,0.0,4.0,2.0,0.0,2.0
28458,7318,2,142702.5,1070512,12,1.0,0,2.0,4.0,3.0,2.0,2.0
28459,7318,1,86160.0,1070512,34,4.0,0,,4.0,1.0,0.0,2.0
28460,7311,4,291651.6,1070512,17,1.0,0,2.0,4.0,3.0,2.0,2.0
28461,7321,4,78190.2,1070512,11,3.0,1,3.0,2.0,3.0,2.0,7.0
28462,7317,1,67851.0,1070512,13,6.0,0,,4.0,1.0,1.0,7.0
28463,7309,2,156261.93,1070512,10,1.0,0,1.0,4.0,2.0,1.0,2.0
28464,7307,7,48465.0,1070512,22,1.0,1,1.0,3.0,3.0,1.0,2.0
28465,7304,1,33387.0,1070512,12,6.0,0,,4.0,1.0,0.0,3.0
28466,7305,3,60312.0,1070512,39,1.0,1,1.0,1.0,1.0,1.0,2.0
28467,7314,2,150780.0,1070512,73,5.0,0,,4.0,2.0,2.0,3.0
