HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
1,7307,2,115239.0,1117630,14,1.0,0,2.0,4.0,2.0,2.0,2.0
2,7301,3,157575.87,1117630,25,1.0,0,3.0,4.0,3.0,3.0,2.0
3,7311,3,43080.0,1117630,26,1.0,1,1.0,1.0,2.0,1.0,2.0
4,7318,2,52665.299999999996,1117630,26,2.0,0,0.0,4.0,2.0,0.0,2.0
5,7302,2,39849.0,1117630,13,5.0,0,,4.0,2.0,2.0,2.0
6,7313,4,435108.0,1117630,8,1.0,0,3.0,4.0,3.0,4.0,2.0
7,7314,1,53850.0,1117630,21,4.0,0,,4.0,1.0,0.0,2.0
8,7301,1,64620.0,1117630,16,6.0,0,,4.0,1.0,1.0,2.0
9,7318,1,11847.0,1117630,7,6.0,0,,4.0,1.0,0.0,6.0
10,7310,1,183090.0,1117630,22,4.0,0,,4.0,1.0,1.0,6.0
11,7317,1,48917.34,1117630,13,4.0,0,,4.0,1.0,1.0,2.0
12,7322,2,53850.0,1117630,16,5.0,0,,4.0,1.0,2.0,5.0
13,7311,5,118470.0,1117630,15,1.0,1,1.0,3.0,2.0,1.0,2.0
14,7309,3,141087.0,1117630,19,1.0,1,2.0,1.0,2.0,2.0,3.0
15,7306,4,150780.0,1117630,7,1.0,1,2.0,2.0,3.0,2.0,2.0
16,7317,2,313407.0,1117630,13,1.0,0,2.0,4.0,2.0,2.0,2.0
17,7310,4,99665.58,1117630,16,1.0,1,1.0,2.0,2.0,0.0,5.0
18,7321,1,52342.2,1117630,12,6.0,0,,4.0,2.0,1.0,6.0
19,7301,1,27678.899999999998,1117630,14,4.0,0,,4.0,1.0,0.0,2.0
20,7312,1,99622.5,1117630,11,6.0,0,,4.0,1.0,0.0,2.0
21,7306,1,25848.0,1117630,13,6.0,0,,4.0,1.0,0.0,2.0
22,7313,3,222831.3,1117630,7,1.0,1,2.0,1.0,2.0,2.0,2.0
23,7308,4,166288.8,1117630,14,1.0,1,3.0,2.0,3.0,3.0,2.0
24,7307,2,53850.0,1117630,24,1.0,0,1.0,4.0,2.0,1.0,2.0
25,7309,2,53850.0,1117630,70,5.0,0,,4.0,2.0,2.0,6.0
26,7317,1,0.0,1117630,25,4.0,0,,4.0,1.0,0.0,5.0
27,7302,1,32310.0,1117630,28,6.0,0,,4.0,1.0,1.0,2.0
28,7304,2,136132.8,1117630,14,5.0,0,,4.0,2.0,1.0,8.0
29,7320,4,196014.0,1117630,63,1.0,1,2.0,2.0,2.0,2.0,2.0
30,7322,4,49800.479999999996,1117630,14,1.0,0,3.0,4.0,4.0,3.0,1.0
31,7312,3,194613.9,1117630,6,1.0,0,3.0,4.0,3.0,3.0,3.0
32,7311,3,138394.5,1117630,21,1.0,1,3.0,2.0,3.0,2.0,2.0
33,7313,2,154118.69999999998,1117630,10,1.0,0,0.0,4.0,5.0,0.0,2.0
34,7318,4,323100.0,1117630,31,1.0,0,3.0,4.0,6.0,4.0,2.0
35,7308,4,232308.9,1117630,12,1.0,1,2.0,1.0,2.0,2.0,2.0
36,7309,2,80775.0,1117630,20,1.0,0,0.0,4.0,2.0,0.0,3.0
37,7305,2,106623.0,1117630,13,1.0,0,2.0,4.0,3.0,2.0,1.0
38,7320,6,207645.6,1117630,26,3.0,0,3.0,4.0,4.0,3.0,3.0
39,7315,4,257403.0,1117630,18,1.0,1,2.0,1.0,3.0,2.0,2.0
40,7310,2,188475.0,1117630,19,1.0,0,2.0,4.0,4.0,2.0,2.0
41,7308,2,4846.5,1117630,45,3.0,0,1.0,4.0,1.0,1.0,5.0
42,7305,3,37695.0,1117630,37,1.0,0,1.0,4.0,3.0,1.0,2.0
43,7321,3,150780.0,1117630,16,1.0,1,1.0,2.0,3.0,1.0,2.0
44,7301,4,121701.0,1117630,18,1.0,1,2.0,1.0,2.0,2.0,2.0
45,7315,2,108346.2,1117630,12,1.0,0,2.0,4.0,4.0,2.0,2.0
46,7310,1,116639.09999999999,1117630,36,6.0,0,,4.0,0.0,1.0,7.0
47,7301,1,32310.0,1117630,43,6.0,0,,4.0,1.0,1.0,7.0
48,7317,6,329777.39999999997,1117630,14,1.0,0,2.0,4.0,2.0,2.0,2.0
49,7322,4,36618.0,1117630,16,1.0,1,2.0,2.0,2.0,2.0,6.0
50,7303,6,50080.5,1117630,14,1.0,1,3.0,1.0,5.0,4.0,2.0
51,7307,2,89929.5,1117630,33,1.0,0,1.0,4.0,2.0,1.0,2.0
52,7304,1,0.0,1117630,43,4.0,0,,4.0,1.0,0.0,2.0
53,7314,6,29886.75,1117630,43,3.0,1,1.0,3.0,1.0,1.0,6.0
54,7321,1,72159.0,1117630,11,4.0,0,,4.0,1.0,1.0,9.0
55,7320,2,84975.3,1117630,10,1.0,0,2.0,4.0,2.0,0.0,2.0
56,7310,1,91545.0,1117630,15,4.0,0,,4.0,1.0,1.0,5.0
57,7310,1,56219.399999999994,1117630,14,4.0,0,,4.0,1.0,0.0,6.0
58,7306,2,206784.0,1117630,17,1.0,0,2.0,4.0,2.0,2.0,3.0
59,7308,7,247710.0,1117630,13,1.0,1,2.0,2.0,4.0,2.0,2.0
60,7311,3,68464.89,1117630,43,3.0,0,2.0,4.0,2.0,2.0,2.0
61,7317,4,72729.81,1117630,9,1.0,0,1.0,4.0,0.0,1.0,2.0
62,7313,3,286482.0,1117630,11,1.0,0,3.0,4.0,4.0,3.0,2.0
63,7309,3,123855.0,1117630,22,1.0,0,2.0,4.0,3.0,2.0,2.0
64,7314,4,66774.0,1117630,20,3.0,1,0.0,2.0,3.0,1.0,2.0
65,7318,6,90468.0,1117630,98,1.0,1,2.0,3.0,3.0,2.0,3.0
66,7314,2,80775.0,1117630,11,1.0,0,2.0,4.0,2.0,2.0,2.0
67,7306,3,112008.0,1117630,13,3.0,0,3.0,4.0,1.0,3.0,2.0
68,7306,4,8616.0,1117630,38,1.0,1,0.0,3.0,2.0,0.0,1.0
69,7302,2,36510.299999999996,1117630,1,3.0,1,0.0,1.0,0.0,0.0,1.0
70,7320,1,13462.5,1117630,13,6.0,0,,4.0,1.0,0.0,3.0
71,7314,6,96714.59999999999,1117630,10,2.0,0,3.0,4.0,4.0,6.0,7.0
72,7314,4,132471.0,1117630,12,1.0,1,2.0,2.0,3.0,2.0,2.0
73,7321,2,29219.01,1117630,20,3.0,0,2.0,4.0,1.0,2.0,6.0
74,7310,2,376950.0,1117630,21,1.0,0,1.0,4.0,2.0,1.0,2.0
75,7301,2,46634.1,1117630,13,5.0,0,,4.0,2.0,2.0,9.0
76,7301,1,16155.0,1117630,9,6.0,0,,4.0,1.0,1.0,2.0
77,7314,3,45234.0,1117630,52,1.0,0,0.0,4.0,1.0,0.0,9.0
78,7318,3,10446.9,1117630,13,1.0,1,1.0,2.0,1.0,1.0,2.0
79,7319,7,48734.25,1117630,13,1.0,1,1.0,3.0,2.0,1.0,5.0
80,7305,1,52589.909999999996,1117630,21,6.0,0,,4.0,1.0,0.0,2.0
81,7309,4,172320.0,1117630,15,1.0,1,2.0,1.0,2.0,2.0,2.0
82,7316,1,19062.899999999998,1117630,24,6.0,0,,4.0,0.0,1.0,8.0
83,7313,7,208938.0,1117630,12,1.0,1,1.0,3.0,2.0,1.0,2.0
84,7322,5,66774.0,1117630,12,1.0,0,2.0,4.0,3.0,2.0,1.0
85,7311,1,61389.0,1117630,11,4.0,0,,4.0,1.0,1.0,6.0
86,7321,1,174474.0,1117630,10,6.0,0,,4.0,3.0,0.0,2.0
87,7322,2,25524.899999999998,1117630,11,1.0,0,0.0,4.0,1.0,0.0,1.0
88,7303,1,37695.0,1117630,13,4.0,0,,4.0,1.0,0.0,1.0
89,7319,3,84652.2,1117630,18,1.0,0,2.0,4.0,3.0,2.0,2.0
90,7306,5,298867.5,1117630,11,1.0,1,3.0,1.0,4.0,3.0,2.0
91,7310,2,158857.5,1117630,17,1.0,0,2.0,4.0,3.0,2.0,3.0
92,7311,3,172320.0,1117630,70,1.0,1,1.0,2.0,3.0,1.0,2.0
93,7317,1,24771.0,1117630,13,6.0,0,,4.0,2.0,0.0,2.0
94,7321,6,26386.5,1117630,41,1.0,1,1.0,2.0,2.0,0.0,6.0
95,7322,3,56004.0,1117630,10,1.0,1,2.0,2.0,2.0,2.0,3.0
96,7313,2,65697.0,1117630,7,3.0,1,1.0,1.0,2.0,1.0,2.0
97,7303,7,108130.8,1117630,14,1.0,0,3.0,4.0,5.0,2.0,3.0
98,7304,2,44157.0,1117630,21,1.0,0,0.0,4.0,2.0,0.0,2.0
99,7312,2,56004.0,1117630,12,1.0,0,0.0,4.0,3.0,0.0,2.0
100,7317,2,140010.0,1117630,24,5.0,0,,4.0,2.0,1.0,7.0
101,7308,4,201399.0,1117630,7,1.0,1,2.0,2.0,2.0,2.0,2.0
102,7317,1,58481.1,1117630,12,6.0,0,,4.0,1.0,0.0,2.0
103,7318,3,145395.0,1117630,16,5.0,0,,4.0,3.0,3.0,2.0
104,7319,4,145718.1,1117630,11,1.0,0,3.0,4.0,4.0,3.0,2.0
105,7310,3,91329.59999999999,1117630,20,3.0,1,2.0,2.0,2.0,2.0,2.0
106,7318,2,60312.0,1117630,14,1.0,0,1.0,4.0,3.0,1.0,2.0
107,7309,2,79967.25,1117630,22,5.0,0,,4.0,1.0,2.0,9.0
108,7308,1,93052.8,1117630,20,4.0,0,,4.0,1.0,0.0,2.0
109,7315,4,156165.0,1117630,22,1.0,1,2.0,1.0,2.0,2.0,2.0
110,7302,3,26925.0,1117630,40,3.0,1,0.0,2.0,2.0,0.0,2.0
111,7313,3,105115.2,1117630,31,1.0,0,2.0,4.0,1.0,2.0,9.0
112,7319,3,0.0,1117630,13,2.0,0,0.0,4.0,4.0,0.0,2.0
113,7309,2,161550.0,1117630,25,1.0,0,1.0,4.0,2.0,1.0,2.0
114,7314,1,137532.9,1117630,19,6.0,0,,4.0,1.0,1.0,2.0
115,7310,1,193860.0,1117630,19,4.0,0,,4.0,2.0,0.0,8.0
116,7318,4,172320.0,1117630,18,1.0,0,3.0,4.0,5.0,4.0,2.0
117,7320,4,156165.0,1117630,24,1.0,1,2.0,1.0,2.0,2.0,2.0
118,7306,1,21755.399999999998,1117630,6,6.0,0,,4.0,1.0,0.0,2.0
119,7319,2,126439.79999999999,1117630,10,1.0,0,1.0,4.0,4.0,1.0,2.0
120,7310,2,34787.1,1117630,41,5.0,0,,4.0,2.0,2.0,7.0
121,7311,4,535269.0,1117630,8,1.0,1,1.0,2.0,2.0,1.0,2.0
122,7304,3,316638.0,1117630,29,1.0,1,2.0,1.0,2.0,2.0,2.0
123,7302,4,19386.0,1117630,15,1.0,1,1.0,2.0,1.0,1.0,7.0
124,7314,2,4308.0,1117630,19,1.0,0,0.0,4.0,1.0,0.0,2.0
125,7307,3,19278.3,1117630,24,3.0,1,2.0,2.0,3.0,2.0,9.0
126,7301,2,156165.0,1117630,11,1.0,0,2.0,4.0,2.0,2.0,3.0
127,7306,4,116316.0,1117630,12,1.0,1,2.0,2.0,3.0,2.0,2.0
128,7304,2,180936.0,1117630,13,1.0,0,2.0,4.0,2.0,0.0,2.0
129,7302,4,185244.0,1117630,39,1.0,1,2.0,3.0,2.0,2.0,2.0
130,7313,2,80775.0,1117630,14,1.0,0,0.0,4.0,2.0,0.0,1.0
131,7315,2,41895.299999999996,1117630,32,1.0,0,1.0,4.0,2.0,1.0,8.0
132,7321,2,37695.0,1117630,39,1.0,0,2.0,4.0,1.0,2.0,8.0
133,7302,1,33494.7,1117630,14,4.0,0,,4.0,1.0,0.0,2.0
134,7312,2,172320.0,1117630,13,1.0,0,2.0,4.0,1.0,2.0,3.0
135,7310,2,175658.69999999998,1117630,8,1.0,0,1.0,4.0,2.0,0.0,2.0
136,7312,1,0.0,1117630,20,4.0,0,,4.0,1.0,0.0,8.0
137,7309,2,68174.09999999999,1117630,21,1.0,0,1.0,4.0,2.0,1.0,2.0
138,7319,3,62261.369999999995,1117630,11,2.0,1,1.0,1.0,2.0,2.0,6.0
139,7304,4,68066.4,1117630,18,1.0,1,2.0,2.0,2.0,1.0,2.0
140,7321,3,65481.6,1117630,39,1.0,0,2.0,4.0,3.0,2.0,2.0
141,7320,2,98545.5,1117630,25,1.0,0,2.0,4.0,2.0,2.0,2.0
142,7322,2,137102.1,1117630,12,1.0,0,1.0,4.0,2.0,1.0,2.0
143,7321,4,81421.2,1117630,8,1.0,0,3.0,4.0,3.0,3.0,2.0
144,7315,3,158534.4,1117630,11,1.0,0,1.0,4.0,2.0,1.0,2.0
145,7308,2,184167.0,1117630,9,1.0,0,1.0,4.0,2.0,1.0,2.0
146,7302,3,58158.0,1117630,34,3.0,1,2.0,2.0,1.0,2.0,5.0
147,7315,4,94776.0,1117630,22,3.0,1,1.0,1.0,2.0,1.0,2.0
148,7319,1,11631.6,1117630,26,6.0,0,,4.0,0.0,0.0,3.0
149,7302,6,116316.0,1117630,2,1.0,0,3.0,4.0,4.0,5.0,1.0
150,7319,1,53526.9,1117630,11,6.0,0,,4.0,0.0,0.0,7.0
151,7302,2,144522.63,1117630,11,1.0,0,0.0,4.0,2.0,0.0,2.0
152,7319,5,258480.0,1117630,9,1.0,0,3.0,4.0,5.0,5.0,2.0
153,7315,2,107915.4,1117630,21,1.0,0,0.0,4.0,2.0,0.0,3.0
154,7306,1,26925.0,1117630,8,6.0,0,,4.0,1.0,0.0,3.0
155,7310,4,253095.0,1117630,8,1.0,1,2.0,2.0,3.0,2.0,2.0
156,7304,2,220785.0,1117630,9,1.0,0,2.0,4.0,4.0,1.0,2.0
157,7319,2,93699.0,1117630,13,7.0,0,,4.0,2.0,2.0,2.0
158,7312,1,193860.0,1117630,13,6.0,0,,4.0,1.0,0.0,2.0
159,7308,3,94237.5,1117630,36,2.0,1,1.0,1.0,2.0,1.0,5.0
160,7314,5,256110.59999999998,1117630,19,1.0,0,3.0,4.0,3.0,4.0,2.0
161,7321,1,37156.5,1117630,10,6.0,0,,4.0,1.0,0.0,1.0
162,7322,1,84975.3,1117630,44,6.0,0,,4.0,1.0,1.0,3.0
163,7305,2,118039.2,1117630,43,1.0,0,0.0,4.0,3.0,0.0,2.0
164,7315,1,64620.0,1117630,26,4.0,0,,4.0,1.0,1.0,8.0
165,7315,1,14216.4,1117630,12,4.0,0,,4.0,3.0,0.0,2.0
166,7316,1,25201.8,1117630,25,4.0,0,,4.0,1.0,1.0,7.0
167,7307,5,79482.59999999999,1117630,39,2.0,1,3.0,3.0,4.0,3.0,1.0
168,7306,4,82929.0,1117630,26,1.0,1,2.0,2.0,2.0,2.0,2.0
169,7318,3,364995.3,1117630,14,5.0,0,,4.0,2.0,3.0,2.0
170,7306,3,152934.0,1117630,11,1.0,0,2.0,4.0,4.0,2.0,2.0
171,7319,1,11847.0,1117630,18,6.0,0,,4.0,1.0,0.0,6.0
172,7305,2,45341.7,1117630,18,7.0,0,,4.0,1.0,1.0,9.0
173,7313,1,13354.8,1117630,56,6.0,0,,4.0,1.0,0.0,6.0
174,7308,1,19472.16,1117630,21,4.0,0,,4.0,2.0,0.0,2.0
175,7310,2,42003.0,1117630,15,5.0,0,,4.0,2.0,2.0,8.0
176,7306,2,58427.25,1117630,20,3.0,0,1.0,4.0,2.0,1.0,2.0
177,7316,5,90898.8,1117630,6,3.0,0,3.0,4.0,4.0,3.0,2.0
178,7317,2,65912.4,1117630,45,1.0,0,1.0,4.0,1.0,1.0,7.0
179,7308,4,366180.0,1117630,12,1.0,1,2.0,2.0,2.0,2.0,2.0
180,7302,4,200968.19999999998,1117630,14,1.0,1,3.0,2.0,2.0,2.0,2.0
181,7313,2,53850.0,1117630,21,1.0,0,2.0,4.0,3.0,2.0,8.0
182,7306,3,15185.699999999999,1117630,12,2.0,1,1.0,1.0,2.0,1.0,9.0
183,7322,3,29079.0,1117630,23,2.0,0,1.0,4.0,3.0,1.0,2.0
184,7315,3,75390.0,1117630,13,1.0,1,2.0,2.0,2.0,2.0,9.0
185,7317,1,65481.6,1117630,13,6.0,0,,4.0,1.0,1.0,7.0
186,7311,4,117393.0,1117630,13,1.0,1,1.0,2.0,2.0,1.0,2.0
187,7301,3,87344.7,1117630,13,3.0,0,2.0,4.0,1.0,2.0,6.0
188,7320,4,108669.3,1117630,19,1.0,1,2.0,2.0,1.0,2.0,2.0
189,7310,3,103176.59999999999,1117630,11,7.0,0,,4.0,3.0,2.0,2.0
190,7309,1,59450.399999999994,1117630,65,4.0,0,,4.0,1.0,0.0,2.0
191,7310,2,117716.09999999999,1117630,12,1.0,0,0.0,4.0,2.0,0.0,2.0
192,7321,1,13785.599999999999,1117630,25,6.0,0,,4.0,1.0,1.0,1.0
193,7317,6,15508.8,1117630,34,1.0,1,1.0,3.0,2.0,1.0,5.0
194,7304,2,76467.0,1117630,17,5.0,0,,4.0,2.0,2.0,8.0
195,7317,1,96822.3,1117630,11,4.0,0,,4.0,1.0,0.0,2.0
196,7315,1,28540.5,1117630,91,4.0,0,,4.0,1.0,0.0,5.0
197,7320,4,74743.8,1117630,13,3.0,1,1.0,1.0,2.0,1.0,9.0
198,7322,2,39849.0,1117630,20,1.0,0,1.0,4.0,1.0,1.0,6.0
199,7306,4,22401.6,1117630,23,3.0,1,1.0,3.0,1.0,1.0,5.0
200,7309,2,369411.0,1117630,22,3.0,0,0.0,4.0,3.0,0.0,2.0
201,7316,1,31663.8,1117630,12,6.0,0,,4.0,1.0,1.0,3.0
202,7315,2,64620.0,1117630,11,1.0,0,2.0,4.0,2.0,2.0,4.0
203,7301,1,19386.0,1117630,44,4.0,0,,4.0,1.0,1.0,2.0
204,7319,5,93806.7,1117630,20,1.0,1,1.0,2.0,2.0,1.0,2.0
205,7308,2,83467.5,1117630,19,3.0,0,2.0,4.0,1.0,2.0,2.0
206,7306,2,144533.4,1117630,12,1.0,0,1.0,4.0,3.0,1.0,2.0
207,7319,5,111254.09999999999,1117630,13,1.0,1,2.0,1.0,3.0,2.0,2.0
208,7316,2,79708.77,1117630,12,1.0,0,1.0,4.0,2.0,1.0,2.0
209,7317,2,516.96,1117630,21,1.0,0,0.0,4.0,1.0,0.0,2.0
210,7307,2,233709.0,1117630,23,1.0,0,2.0,4.0,4.0,2.0,2.0
211,7310,2,71082.0,1117630,11,5.0,0,,4.0,2.0,2.0,6.0
212,7316,3,63435.299999999996,1117630,8,1.0,0,1.0,4.0,2.0,1.0,2.0
213,7309,1,165858.0,1117630,13,6.0,0,,4.0,1.0,1.0,3.0
214,7309,4,75390.0,1117630,21,2.0,1,1.0,2.0,3.0,1.0,2.0
215,7314,1,55357.799999999996,1117630,13,6.0,0,,4.0,1.0,0.0,1.0
216,7315,2,276842.85,1117630,21,1.0,0,1.0,4.0,2.0,1.0,2.0
217,7310,3,52126.799999999996,1117630,14,1.0,1,2.0,1.0,2.0,2.0,9.0
218,7315,6,150780.0,1117630,57,1.0,1,2.0,2.0,3.0,3.0,2.0
219,7316,1,0.0,1117630,9,6.0,0,,4.0,1.0,0.0,7.0
220,7301,2,129240.0,1117630,14,5.0,0,,4.0,2.0,2.0,2.0
221,7312,2,3231.0,1117630,21,1.0,0,0.0,4.0,1.0,0.0,9.0
222,7305,2,67851.0,1117630,11,1.0,0,0.0,4.0,1.0,0.0,2.0
223,7316,1,78082.5,1117630,20,6.0,0,,4.0,1.0,1.0,9.0
224,7304,3,0.0,1117630,16,1.0,1,0.0,1.0,1.0,0.0,6.0
225,7316,2,80775.0,1117630,28,7.0,0,,4.0,2.0,2.0,9.0
226,7316,2,22617.0,1117630,28,2.0,1,1.0,2.0,3.0,1.0,2.0
227,7318,2,70381.95,1117630,14,3.0,0,2.0,4.0,3.0,2.0,2.0
228,7316,2,106623.0,1117630,29,5.0,0,,4.0,2.0,2.0,5.0
229,7301,3,26925.0,1117630,15,1.0,1,1.0,1.0,2.0,1.0,2.0
230,7321,5,39849.0,1117630,12,3.0,1,1.0,2.0,2.0,1.0,2.0
231,7314,1,104469.0,1117630,11,6.0,0,,4.0,1.0,1.0,2.0
232,7306,3,41356.799999999996,1117630,40,2.0,0,1.0,4.0,2.0,1.0,4.0
233,7311,2,86267.7,1117630,27,1.0,0,2.0,4.0,2.0,2.0,3.0
234,7303,5,59235.0,1117630,30,1.0,1,2.0,2.0,2.0,2.0,7.0
235,7315,2,5923.5,1117630,9,3.0,0,2.0,4.0,1.0,2.0,9.0
236,7321,2,25848.0,1117630,12,3.0,0,1.0,4.0,1.0,1.0,9.0
237,7315,2,146795.1,1117630,11,1.0,0,1.0,4.0,3.0,1.0,3.0
238,7321,2,64620.0,1117630,25,3.0,0,2.0,4.0,2.0,2.0,2.0
239,7301,8,91760.4,1117630,69,1.0,1,3.0,1.0,4.0,5.0,3.0
240,7306,3,111469.5,1117630,38,1.0,1,2.0,1.0,2.0,2.0,8.0
241,7304,4,105890.64,1117630,30,1.0,1,2.0,2.0,2.0,2.0,2.0
242,7316,1,27140.399999999998,1117630,25,4.0,0,,4.0,1.0,1.0,6.0
243,7315,1,53850.0,1117630,22,6.0,0,,4.0,1.0,1.0,9.0
244,7318,3,72159.0,1117630,22,3.0,1,2.0,2.0,2.0,2.0,2.0
245,7313,1,98007.0,1117630,39,6.0,0,,4.0,4.0,1.0,2.0
246,7314,2,80990.4,1117630,20,1.0,0,2.0,4.0,2.0,2.0,2.0
247,7302,3,45018.6,1117630,16,3.0,1,2.0,1.0,0.0,2.0,2.0
248,7303,2,104469.0,1117630,12,2.0,0,2.0,4.0,3.0,2.0,2.0
249,7312,4,180936.0,1117630,11,1.0,1,2.0,2.0,2.0,2.0,6.0
250,7317,2,86160.0,1117630,22,5.0,0,,4.0,2.0,2.0,8.0
251,7321,1,15939.599999999999,1117630,7,6.0,0,,4.0,1.0,0.0,2.0
252,7316,1,24124.8,1117630,10,6.0,0,,4.0,1.0,0.0,2.0
253,7315,2,99514.8,1117630,108,5.0,0,,4.0,2.0,2.0,9.0
254,7311,1,49542.0,1117630,27,4.0,0,,4.0,1.0,1.0,6.0
255,7321,5,50619.0,1117630,7,1.0,1,1.0,3.0,1.0,1.0,1.0
256,7307,1,375226.8,1117630,13,4.0,0,,4.0,1.0,0.0,2.0
257,7315,4,32579.25,1117630,10,1.0,0,2.0,4.0,1.0,2.0,3.0
258,7314,1,45987.9,1117630,13,6.0,0,,4.0,1.0,0.0,8.0
259,7312,2,74636.09999999999,1117630,11,1.0,0,0.0,4.0,2.0,0.0,5.0
260,7316,6,145825.8,1117630,23,1.0,1,3.0,2.0,4.0,3.0,2.0
261,7304,3,65050.799999999996,1117630,26,3.0,1,1.0,2.0,1.0,1.0,9.0
262,7307,5,102638.09999999999,1117630,3,1.0,1,1.0,3.0,4.0,1.0,2.0
263,7302,1,32310.0,1117630,12,4.0,0,,4.0,1.0,0.0,8.0
264,7314,3,83467.5,1117630,18,1.0,0,3.0,4.0,3.0,3.0,2.0
265,7317,3,33710.1,1117630,12,1.0,0,2.0,4.0,2.0,0.0,2.0
266,7309,3,105546.0,1117630,11,1.0,1,2.0,2.0,2.0,2.0,9.0
267,7301,2,107807.7,1117630,34,1.0,0,1.0,4.0,1.0,1.0,2.0
268,7309,2,269465.39999999997,1117630,13,1.0,0,1.0,4.0,3.0,1.0,2.0
269,7301,2,145395.0,1117630,34,1.0,0,2.0,4.0,2.0,2.0,2.0
270,7311,2,139794.6,1117630,26,1.0,0,2.0,4.0,1.0,1.0,9.0
271,7314,6,37695.0,1117630,40,1.0,1,2.0,3.0,2.0,1.0,6.0
272,7313,1,48465.0,1117630,20,6.0,0,,4.0,1.0,1.0,7.0
273,7317,1,53850.0,1117630,12,4.0,0,,4.0,1.0,0.0,2.0
274,7311,5,146472.0,1117630,16,1.0,1,2.0,2.0,3.0,3.0,2.0
275,7321,3,175766.4,1117630,12,1.0,0,3.0,4.0,3.0,3.0,2.0
276,7318,1,15724.199999999999,1117630,7,6.0,0,,4.0,0.0,0.0,6.0
277,7311,1,20139.899999999998,1117630,19,4.0,0,,4.0,1.0,0.0,2.0
278,7321,3,6462.0,1117630,38,3.0,1,1.0,2.0,2.0,1.0,5.0
279,7316,1,80775.0,1117630,19,6.0,0,,4.0,1.0,1.0,7.0
280,7305,4,32094.6,1117630,45,5.0,0,,4.0,4.0,4.0,2.0
281,7318,5,88314.0,1117630,37,1.0,1,3.0,2.0,3.0,3.0,2.0
282,7312,3,48465.0,1117630,13,3.0,0,3.0,4.0,3.0,3.0,9.0
283,7312,3,207861.0,1117630,13,1.0,1,1.0,2.0,2.0,1.0,3.0
284,7317,2,150780.0,1117630,31,1.0,0,2.0,4.0,2.0,2.0,2.0
285,7314,2,57081.0,1117630,10,1.0,0,1.0,4.0,1.0,1.0,7.0
286,7315,2,36618.0,1117630,36,1.0,0,0.0,4.0,1.0,0.0,3.0
287,7322,1,14647.199999999999,1117630,21,6.0,0,,4.0,1.0,0.0,2.0
288,7312,2,20463.0,1117630,8,1.0,0,1.0,4.0,1.0,1.0,3.0
289,7302,1,176304.9,1117630,13,6.0,0,,4.0,1.0,1.0,2.0
290,7319,3,24771.0,1117630,40,1.0,1,1.0,1.0,2.0,1.0,1.0
291,7315,5,211522.8,1117630,15,3.0,0,1.0,4.0,4.0,3.0,2.0
292,7318,3,85298.4,1117630,13,3.0,0,1.0,4.0,2.0,1.0,2.0
293,7314,4,84006.0,1117630,20,1.0,1,1.0,1.0,2.0,1.0,3.0
294,7316,2,102315.0,1117630,9,7.0,0,,4.0,2.0,2.0,6.0
295,7310,1,531068.7,1117630,39,4.0,0,,4.0,2.0,1.0,9.0
296,7309,2,134625.0,1117630,23,7.0,0,,4.0,2.0,2.0,7.0
297,7320,2,244586.69999999998,1117630,9,2.0,0,1.0,4.0,3.0,1.0,2.0
298,7307,4,83467.5,1117630,7,1.0,1,2.0,2.0,2.0,2.0,2.0
299,7310,1,61389.0,1117630,13,6.0,0,,4.0,1.0,1.0,6.0
300,7309,2,530961.0,1117630,18,1.0,0,1.0,4.0,3.0,1.0,2.0
301,7304,2,118254.59999999999,1117630,11,1.0,0,0.0,4.0,1.0,0.0,2.0
302,7319,3,53850.0,1117630,14,1.0,1,2.0,1.0,1.0,2.0,6.0
303,7321,3,19924.5,1117630,36,3.0,1,1.0,2.0,1.0,1.0,2.0
304,7322,2,17985.899999999998,1117630,24,1.0,0,1.0,4.0,3.0,1.0,1.0
305,7311,1,270865.5,1117630,23,4.0,0,,4.0,1.0,1.0,2.0
306,7318,3,57942.6,1117630,49,1.0,0,2.0,4.0,3.0,2.0,2.0
307,7307,1,53850.0,1117630,6,4.0,0,,4.0,3.0,0.0,2.0
308,7311,5,126009.0,1117630,22,3.0,1,1.0,2.0,3.0,1.0,2.0
309,7314,1,21432.3,1117630,12,4.0,0,,4.0,1.0,1.0,4.0
310,7307,2,61173.6,1117630,21,3.0,0,2.0,4.0,1.0,2.0,1.0
311,7316,2,183090.0,1117630,36,1.0,0,2.0,4.0,2.0,2.0,7.0
312,7315,2,137856.0,1117630,19,1.0,0,2.0,4.0,2.0,2.0,3.0
313,7318,1,19386.0,1117630,24,4.0,0,,4.0,3.0,0.0,2.0
314,7317,3,87237.0,1117630,32,1.0,1,2.0,2.0,3.0,2.0,2.0
315,7316,2,362410.5,1117630,16,1.0,0,2.0,4.0,2.0,2.0,2.0
316,7311,2,232201.19999999998,1117630,12,1.0,0,2.0,4.0,2.0,2.0,2.0
317,7321,3,59342.7,1117630,12,1.0,0,3.0,4.0,1.0,3.0,4.0
318,7309,1,140010.0,1117630,13,4.0,0,,4.0,1.0,1.0,6.0
319,7317,3,81852.0,1117630,21,7.0,0,,4.0,2.0,2.0,6.0
320,7317,1,105222.9,1117630,19,6.0,0,,4.0,1.0,1.0,5.0
