SERIALNO,HHID,PUMA,NP,HHADJINC,WGTP,HHT,GQ_type,BLD,HUPAC
2017000025898,188,7320,4,108669.3,19,1.0,0,2.0,2.0
2017000026229,189,7310,3,103176.59999999999,11,7.0,0,2.0,4.0
2017000026238,190,7309,1,59450.399999999994,65,4.0,0,2.0,4.0
2017000026239,191,7310,2,117716.09999999999,12,1.0,0,2.0,4.0
2017000026307,192,7321,1,13785.599999999999,25,6.0,0,1.0,4.0
2017000026395,193,7317,6,15508.8,34,1.0,0,5.0,3.0
2017000026495,194,7304,2,76467.0,17,5.0,0,8.0,4.0
2017000026498,195,7317,1,96822.3,11,4.0,0,2.0,4.0
2017000026527,196,7315,1,28540.5,91,4.0,0,5.0,4.0
2017000026715,197,7320,4,74743.8,13,3.0,0,9.0,1.0
2017000026769,198,7322,2,39849.0,20,1.0,0,6.0,4.0
2017000026846,199,7306,4,22401.6,23,3.0,0,5.0,3.0
2017000026873,200,7309,2,369411.0,22,3.0,0,2.0,4.0
2017000026972,201,7316,1,31663.8,12,6.0,0,3.0,4.0
2017000027000,202,7315,2,64620.0,11,1.0,0,4.0,4.0
2017000027053,203,7301,1,19386.0,44,4.0,0,2.0,4.0
2017000027126,204,7319,5,93806.7,20,1.0,0,2.0,2.0
2017000027176,205,7308,2,83467.5,19,3.0,0,2.0,4.0
2017000027260,206,7306,2,144533.4,12,1.0,0,2.0,4.0
2017000027309,207,7319,5,111254.09999999999,13,1.0,0,2.0,1.0
2017000027423,208,7316,2,79708.77,12,1.0,0,2.0,4.0
2017000027446,209,7317,2,516.96,21,1.0,0,2.0,4.0
2017000027457,210,7307,2,233709.0,23,1.0,0,2.0,4.0
2017000027530,211,7310,2,71082.0,11,5.0,0,6.0,4.0
2017000027644,212,7316,3,63435.299999999996,8,1.0,0,2.0,4.0
2017000027920,213,7309,1,165858.0,13,6.0,0,3.0,4.0
2017000027997,214,7309,4,75390.0,21,2.0,0,2.0,2.0
2017000028009,215,7314,1,55357.799999999996,13,6.0,0,1.0,4.0
2017000028099,216,7315,2,276842.85,21,1.0,0,2.0,4.0
2017000028657,217,7310,3,52126.799999999996,14,1.0,0,9.0,1.0
2017000028868,218,7315,6,150780.0,57,1.0,0,2.0,2.0
2017000028887,219,7316,1,0.0,9,6.0,0,7.0,4.0
2017000029558,220,7301,2,129240.0,14,5.0,0,2.0,4.0
2017000029653,221,7312,2,3231.0,21,1.0,0,9.0,4.0
2017000029742,222,7305,2,67851.0,11,1.0,0,2.0,4.0
2017000029959,223,7316,1,78082.5,20,6.0,0,9.0,4.0
2017000030279,224,7304,3,0.0,16,1.0,0,6.0,1.0
2017000030495,225,7316,2,80775.0,28,7.0,0,9.0,4.0
2017000030780,226,7316,2,22617.0,28,2.0,0,2.0,2.0
2017000030862,227,7318,2,70381.95,14,3.0,0,2.0,4.0
2017000030999,228,7316,2,106623.0,29,5.0,0,5.0,4.0
2017000031028,229,7301,3,26925.0,15,1.0,0,2.0,1.0
2017000031213,230,7321,5,39849.0,12,3.0,0,2.0,2.0
2017000031319,231,7314,1,104469.0,11,6.0,0,2.0,4.0
2017000031468,232,7306,3,41356.799999999996,40,2.0,0,4.0,4.0
2017000031492,233,7311,2,86267.7,27,1.0,0,3.0,4.0
2017000031498,234,7303,5,59235.0,30,1.0,0,7.0,2.0
2017000031562,235,7315,2,5923.5,9,3.0,0,9.0,4.0
2017000031939,236,7321,2,25848.0,12,3.0,0,9.0,4.0
2017000031985,237,7315,2,146795.1,11,1.0,0,3.0,4.0
2017000032011,238,7321,2,64620.0,25,3.0,0,2.0,4.0
2017000032118,239,7301,8,91760.4,69,1.0,0,3.0,1.0
2017000032158,240,7306,3,111469.5,38,1.0,0,8.0,1.0
2017000032203,241,7304,4,105890.64,30,1.0,0,2.0,2.0
2017000032329,242,7316,1,27140.399999999998,25,4.0,0,6.0,4.0
2017000032350,243,7315,1,53850.0,22,6.0,0,9.0,4.0
2017000032368,244,7318,3,72159.0,22,3.0,0,2.0,2.0
2017000032429,245,7313,1,98007.0,39,6.0,0,2.0,4.0
2017000032481,246,7314,2,80990.4,20,1.0,0,2.0,4.0
2017000032508,247,7302,3,45018.6,16,3.0,0,2.0,1.0
2017000032516,248,7303,2,104469.0,12,2.0,0,2.0,4.0
2017000032563,249,7312,4,180936.0,11,1.0,0,6.0,2.0
2017000032741,250,7317,2,86160.0,22,5.0,0,8.0,4.0
2017000032767,251,7321,1,15939.599999999999,7,6.0,0,2.0,4.0
2017000032874,252,7316,1,24124.8,10,6.0,0,2.0,4.0
2017000032977,253,7315,2,99514.8,108,5.0,0,9.0,4.0
2017000033050,254,7311,1,49542.0,27,4.0,0,6.0,4.0
2017000033186,255,7321,5,50619.0,7,1.0,0,1.0,3.0
2017000033187,256,7307,1,375226.8,13,4.0,0,2.0,4.0
2017000033292,257,7315,4,32579.25,10,1.0,0,3.0,4.0
2017000033344,258,7314,1,45987.9,13,6.0,0,8.0,4.0
2017000033369,259,7312,2,74636.09999999999,11,1.0,0,5.0,4.0
2017000033481,260,7316,6,145825.8,23,1.0,0,2.0,2.0
2017000033490,261,7304,3,65050.799999999996,26,3.0,0,9.0,2.0
2017000033615,262,7307,5,102638.09999999999,3,1.0,0,2.0,3.0
2017000033907,263,7302,1,32310.0,12,4.0,0,8.0,4.0
2017000033967,264,7314,3,83467.5,18,1.0,0,2.0,4.0
2017000034277,265,7317,3,33710.1,12,1.0,0,2.0,4.0
2017000034290,266,7309,3,105546.0,11,1.0,0,9.0,2.0
2017000034404,267,7301,2,107807.7,34,1.0,0,2.0,4.0
2017000034762,268,7309,2,269465.39999999997,13,1.0,0,2.0,4.0
2017000034946,269,7301,2,145395.0,34,1.0,0,2.0,4.0
2017000035143,270,7311,2,139794.6,26,1.0,0,9.0,4.0
2017000035307,271,7314,6,37695.0,40,1.0,0,6.0,3.0
2017000035313,272,7313,1,48465.0,20,6.0,0,7.0,4.0
2017000035486,273,7317,1,53850.0,12,4.0,0,2.0,4.0
2017000035513,274,7311,5,146472.0,16,1.0,0,2.0,2.0
2017000035680,275,7321,3,175766.4,12,1.0,0,2.0,4.0
2017000035681,276,7318,1,15724.199999999999,7,6.0,0,6.0,4.0
2017000035790,277,7311,1,20139.899999999998,19,4.0,0,2.0,4.0
2017000036170,278,7321,3,6462.0,38,3.0,0,5.0,2.0
2017000036182,279,7316,1,80775.0,19,6.0,0,7.0,4.0
2017000036186,280,7305,4,32094.6,45,5.0,0,2.0,4.0
2017000036275,281,7318,5,88314.0,37,1.0,0,2.0,2.0
2017000036493,282,7312,3,48465.0,13,3.0,0,9.0,4.0
2017000037013,283,7312,3,207861.0,13,1.0,0,3.0,2.0
2017000037047,284,7317,2,150780.0,31,1.0,0,2.0,4.0
2017000037084,285,7314,2,57081.0,10,1.0,0,7.0,4.0
2017000037282,286,7315,2,36618.0,36,1.0,0,3.0,4.0
2017000037373,287,7322,1,14647.199999999999,21,6.0,0,2.0,4.0
2017000037386,288,7312,2,20463.0,8,1.0,0,3.0,4.0
2017000037632,289,7302,1,176304.9,13,6.0,0,2.0,4.0
2017000037807,290,7319,3,24771.0,40,1.0,0,1.0,1.0
2017000037827,291,7315,5,211522.8,15,3.0,0,2.0,4.0
2017000037965,292,7318,3,85298.4,13,3.0,0,2.0,4.0
2017000037996,293,7314,4,84006.0,20,1.0,0,3.0,1.0
2017000038479,294,7316,2,102315.0,9,7.0,0,6.0,4.0
2017000038535,295,7310,1,531068.7,39,4.0,0,9.0,4.0
2017000038611,296,7309,2,134625.0,23,7.0,0,7.0,4.0
2017000038828,297,7320,2,244586.69999999998,9,2.0,0,2.0,4.0
2017000039179,298,7307,4,83467.5,7,1.0,0,2.0,2.0
2017000039243,299,7310,1,61389.0,13,6.0,0,6.0,4.0
2017000039347,300,7309,2,530961.0,18,1.0,0,2.0,4.0
2017000039459,301,7304,2,118254.59999999999,11,1.0,0,2.0,4.0
2017000039729,302,7319,3,53850.0,14,1.0,0,6.0,1.0
2017000039849,303,7321,3,19924.5,36,3.0,0,2.0,2.0
2017000039890,304,7322,2,17985.899999999998,24,1.0,0,1.0,4.0
2017000040053,305,7311,1,270865.5,23,4.0,0,2.0,4.0
2017000040116,306,7318,3,57942.6,49,1.0,0,2.0,4.0
2017000040157,307,7307,1,53850.0,6,4.0,0,2.0,4.0
2017000040204,308,7311,5,126009.0,22,3.0,0,2.0,2.0
2017000040219,309,7314,1,21432.3,12,4.0,0,4.0,4.0
2017000040228,310,7307,2,61173.6,21,3.0,0,1.0,4.0
2017000040877,311,7316,2,183090.0,36,1.0,0,7.0,4.0
2017000041082,312,7315,2,137856.0,19,1.0,0,3.0,4.0
2017000041174,313,7318,1,19386.0,24,4.0,0,2.0,4.0
2017000041214,314,7317,3,87237.0,32,1.0,0,2.0,2.0
2017000041254,315,7316,2,362410.5,16,1.0,0,2.0,4.0
2017000041405,316,7311,2,232201.19999999998,12,1.0,0,2.0,4.0
2017000041734,317,7321,3,59342.7,12,1.0,0,4.0,4.0
2017000041985,318,7309,1,140010.0,13,4.0,0,6.0,4.0
2017000041988,319,7317,3,81852.0,21,7.0,0,6.0,4.0
2017000042038,320,7317,1,105222.9,19,6.0,0,5.0,4.0
2017000042049,321,7322,4,55357.799999999996,10,1.0,0,3.0,3.0
2017000042113,322,7302,3,151857.0,58,1.0,0,2.0,2.0
2017000042170,323,7313,3,56865.6,13,1.0,0,3.0,4.0
2017000042204,324,7317,3,76790.09999999999,12,3.0,0,5.0,1.0
2017000042334,325,7316,1,11093.1,13,6.0,0,4.0,4.0
2017000042692,326,7305,1,23694.0,19,4.0,0,2.0,4.0
2017000042722,327,7318,1,31879.199999999997,12,4.0,0,2.0,4.0
2017000042737,328,7316,2,65804.7,12,1.0,0,2.0,4.0
2017000042835,329,7319,2,22617.0,12,1.0,0,2.0,4.0
2017000042855,330,7315,4,48680.4,21,1.0,0,2.0,2.0
2017000042909,331,7313,1,28002.0,20,6.0,0,9.0,4.0
2017000043257,332,7320,2,94776.0,18,1.0,0,6.0,4.0
2017000043307,333,7306,3,211092.0,7,1.0,0,2.0,1.0
2017000043524,334,7321,5,47388.0,12,3.0,0,2.0,2.0
2017000043771,335,7310,1,154011.0,12,4.0,0,2.0,4.0
2017000043862,336,7314,1,197414.1,20,6.0,0,8.0,4.0
2017000043964,337,7316,2,226170.0,39,7.0,0,9.0,4.0
2017000044000,338,7304,2,242325.0,16,1.0,0,2.0,4.0
2017000044034,339,7302,2,53850.0,3,3.0,0,1.0,2.0
2017000044379,340,7313,3,29186.699999999997,15,1.0,0,2.0,2.0
2017000044464,341,7318,8,88529.4,13,3.0,0,2.0,3.0
2017000044618,342,7310,2,233709.0,21,1.0,0,2.0,4.0
2017000044693,343,7319,4,80559.59999999999,23,1.0,0,2.0,2.0
2017000044710,344,7313,4,350025.0,13,1.0,0,2.0,4.0
2017000044782,345,7317,4,77651.7,19,1.0,0,2.0,4.0
2017000044895,346,7322,3,102315.0,39,1.0,0,2.0,1.0
2017000044977,347,7313,3,127086.0,46,1.0,0,2.0,4.0
2017000045036,348,7307,3,282066.3,14,1.0,0,2.0,4.0
2017000045060,349,7306,4,214323.0,7,1.0,0,2.0,4.0
2017000045428,350,7315,4,113085.0,32,1.0,0,4.0,1.0
2017000045503,351,7310,2,549808.5,13,1.0,0,2.0,4.0
2017000045520,352,7308,4,301560.0,11,1.0,0,2.0,2.0
2017000045733,353,7317,4,28002.0,14,1.0,0,2.0,1.0
2017000045749,354,7304,2,127506.03,14,1.0,0,2.0,4.0
2017000046248,355,7319,2,70651.2,9,1.0,0,2.0,4.0
2017000046362,356,7301,1,26494.2,26,6.0,0,7.0,4.0
2017000046385,357,7305,1,150780.0,62,4.0,0,2.0,4.0
2017000046402,358,7303,2,42864.6,11,3.0,0,1.0,4.0
2017000046822,359,7301,1,-2154.0,22,6.0,0,5.0,4.0
2017000046895,360,7310,1,45987.9,20,6.0,0,2.0,4.0
2017000047294,361,7303,2,106515.3,19,1.0,0,2.0,4.0
2017000047489,362,7310,2,82498.2,14,3.0,0,5.0,2.0
2017000047643,363,7306,2,45234.0,10,1.0,0,9.0,4.0
2017000047724,364,7304,2,189552.0,85,1.0,0,2.0,4.0
2017000047812,365,7306,2,156165.0,26,1.0,0,2.0,4.0
2017000047921,366,7309,2,65373.899999999994,19,1.0,0,2.0,4.0
2017000048186,367,7303,1,52773.0,11,4.0,0,2.0,4.0
2017000048211,368,7317,1,103607.4,12,4.0,0,3.0,4.0
2017000048309,369,7303,1,53850.0,25,4.0,0,3.0,4.0
2017000048340,370,7305,4,186321.0,20,1.0,0,2.0,1.0
2017000048601,371,7316,6,32310.0,36,1.0,0,2.0,3.0
2017000048664,372,7309,1,13677.9,19,6.0,0,10.0,4.0
2017000049010,373,7309,2,106084.5,20,1.0,0,2.0,4.0
2017000049230,374,7310,3,177274.19999999998,13,1.0,0,2.0,2.0
2017000049256,375,7303,3,116316.0,13,1.0,0,2.0,4.0
2017000049294,376,7308,2,199352.69999999998,13,1.0,0,2.0,4.0
2017000049551,377,7311,3,168335.1,15,1.0,0,2.0,4.0
2017000049564,378,7313,4,75390.0,18,1.0,0,7.0,2.0
2017000049601,379,7316,2,81852.0,12,3.0,0,2.0,2.0
2017000049790,380,7308,2,43941.6,12,1.0,0,2.0,4.0
2017000049806,381,7301,2,71082.0,15,1.0,0,9.0,4.0
2017000050408,382,7322,4,70198.86,35,3.0,0,1.0,1.0
2017000050466,383,7308,1,57081.0,12,4.0,0,5.0,4.0
2017000050878,384,7308,2,131394.0,47,3.0,0,2.0,4.0
2017000050916,385,7308,3,110931.0,20,1.0,0,1.0,4.0
2017000050921,386,7313,2,67420.2,7,3.0,0,2.0,4.0
2017000050969,387,7305,4,72266.7,36,1.0,0,2.0,2.0
2017000051090,388,7312,1,85621.5,13,4.0,0,7.0,4.0
2017000051259,389,7310,2,57081.0,7,7.0,0,2.0,4.0
2017000051304,390,7317,1,42003.0,21,6.0,0,9.0,4.0
2017000051432,391,7318,8,97360.8,30,1.0,0,4.0,2.0
2017000051495,392,7310,2,115562.09999999999,10,1.0,0,2.0,4.0
2017000051546,393,7313,2,94345.2,21,1.0,0,2.0,4.0
2017000051599,394,7305,2,119547.0,32,1.0,0,2.0,4.0
2017000052046,395,7302,4,176628.0,29,2.0,0,2.0,4.0
2017000052201,396,7317,1,32310.0,52,4.0,0,8.0,4.0
2017000052249,397,7310,2,612813.0,12,1.0,0,2.0,4.0
2017000052293,398,7301,5,94991.4,22,1.0,0,2.0,2.0
2017000052305,399,7312,3,150780.0,11,1.0,0,6.0,2.0
2017000052370,400,7313,4,188475.0,8,1.0,0,2.0,3.0
2017000052589,401,7304,3,86160.0,16,1.0,0,5.0,1.0
2017000052677,402,7315,4,96930.0,13,1.0,0,2.0,1.0
2017000053041,403,7315,2,172320.0,22,5.0,0,3.0,4.0
2017000053128,404,7317,2,115239.0,13,1.0,0,2.0,4.0
