SERIALNO,HHID,PUMA,NP,HHADJINC,WGTP,HHT,GQ_type,BLD,HUPAC
2017000000336,1,7307,2,115239.0,14,1.0,0,2.0,4.0
2017000000634,2,7301,3,157575.87,25,1.0,0,2.0,4.0
2017000000674,3,7311,3,43080.0,26,1.0,0,2.0,1.0
2017000000716,4,7318,2,52665.299999999996,26,2.0,0,2.0,4.0
2017000000754,5,7302,2,39849.0,13,5.0,0,2.0,4.0
2017000000998,6,7313,4,435108.0,8,1.0,0,2.0,4.0
2017000001055,7,7314,1,53850.0,21,4.0,0,2.0,4.0
2017000001143,8,7301,1,64620.0,16,6.0,0,2.0,4.0
2017000001195,9,7318,1,11847.0,7,6.0,0,6.0,4.0
2017000001229,10,7310,1,183090.0,22,4.0,0,6.0,4.0
2017000001280,11,7317,1,48917.34,13,4.0,0,2.0,4.0
2017000001318,12,7322,2,53850.0,16,5.0,0,5.0,4.0
2017000001512,13,7311,5,118470.0,15,1.0,0,2.0,3.0
2017000001548,14,7309,3,141087.0,19,1.0,0,3.0,1.0
2017000001570,15,7306,4,150780.0,7,1.0,0,2.0,2.0
2017000001726,16,7317,2,313407.0,13,1.0,0,2.0,4.0
2017000001973,17,7310,4,99665.58,16,1.0,0,5.0,2.0
2017000002050,18,7321,1,52342.2,12,6.0,0,6.0,4.0
2017000002099,19,7301,1,27678.899999999998,14,4.0,0,2.0,4.0
2017000002238,20,7312,1,99622.5,11,6.0,0,2.0,4.0
2017000002303,21,7306,1,25848.0,13,6.0,0,2.0,4.0
2017000002500,22,7313,3,222831.3,7,1.0,0,2.0,1.0
2017000002679,23,7308,4,166288.8,14,1.0,0,2.0,2.0
2017000002896,24,7307,2,53850.0,24,1.0,0,2.0,4.0
2017000003025,25,7309,2,53850.0,70,5.0,0,6.0,4.0
2017000003033,26,7317,1,0.0,25,4.0,0,5.0,4.0
2017000003051,27,7302,1,32310.0,28,6.0,0,2.0,4.0
2017000003313,28,7304,2,136132.8,14,5.0,0,8.0,4.0
2017000003319,29,7320,4,196014.0,63,1.0,0,2.0,2.0
2017000003320,30,7322,4,49800.479999999996,14,1.0,0,1.0,4.0
2017000003951,31,7312,3,194613.9,6,1.0,0,3.0,4.0
2017000004033,32,7311,3,138394.5,21,1.0,0,2.0,2.0
2017000004537,33,7313,2,154118.69999999998,10,1.0,0,2.0,4.0
2017000004667,34,7318,4,323100.0,31,1.0,0,2.0,4.0
2017000005031,35,7308,4,232308.9,12,1.0,0,2.0,1.0
2017000005084,36,7309,2,80775.0,20,1.0,0,3.0,4.0
2017000005148,37,7305,2,106623.0,13,1.0,0,1.0,4.0
2017000005152,38,7320,6,207645.6,26,3.0,0,3.0,4.0
2017000005750,39,7315,4,257403.0,18,1.0,0,2.0,1.0
2017000005852,40,7310,2,188475.0,19,1.0,0,2.0,4.0
2017000006055,41,7308,2,4846.5,45,3.0,0,5.0,4.0
2017000006229,42,7305,3,37695.0,37,1.0,0,2.0,4.0
2017000006277,43,7321,3,150780.0,16,1.0,0,2.0,2.0
2017000006309,44,7301,4,121701.0,18,1.0,0,2.0,1.0
2017000006395,45,7315,2,108346.2,12,1.0,0,2.0,4.0
2017000006593,46,7310,1,116639.09999999999,36,6.0,0,7.0,4.0
2017000006828,47,7301,1,32310.0,43,6.0,0,7.0,4.0
2017000006902,48,7317,6,329777.39999999997,14,1.0,0,2.0,4.0
2017000006918,49,7322,4,36618.0,16,1.0,0,6.0,2.0
2017000006945,50,7303,6,50080.5,14,1.0,0,2.0,1.0
2017000007518,51,7307,2,89929.5,33,1.0,0,2.0,4.0
2017000007550,52,7304,1,0.0,43,4.0,0,2.0,4.0
2017000007586,53,7314,6,29886.75,43,3.0,0,6.0,3.0
2017000007641,54,7321,1,72159.0,11,4.0,0,9.0,4.0
2017000007857,55,7320,2,84975.3,10,1.0,0,2.0,4.0
2017000008236,56,7310,1,91545.0,15,4.0,0,5.0,4.0
2017000008420,57,7310,1,56219.399999999994,14,4.0,0,6.0,4.0
2017000008456,58,7306,2,206784.0,17,1.0,0,3.0,4.0
2017000008662,59,7308,7,247710.0,13,1.0,0,2.0,2.0
2017000009000,60,7311,3,68464.89,43,3.0,0,2.0,4.0
2017000009379,61,7317,4,72729.81,9,1.0,0,2.0,4.0
2017000009416,62,7313,3,286482.0,11,1.0,0,2.0,4.0
2017000009515,63,7309,3,123855.0,22,1.0,0,2.0,4.0
2017000009560,64,7314,4,66774.0,20,3.0,0,2.0,2.0
2017000009619,65,7318,6,90468.0,98,1.0,0,3.0,3.0
2017000009886,66,7314,2,80775.0,11,1.0,0,2.0,4.0
2017000009910,67,7306,3,112008.0,13,3.0,0,2.0,4.0
2017000009984,68,7306,4,8616.0,38,1.0,0,1.0,3.0
2017000010021,69,7302,2,36510.299999999996,1,3.0,0,1.0,1.0
2017000010172,70,7320,1,13462.5,13,6.0,0,3.0,4.0
2017000010212,71,7314,6,96714.59999999999,10,2.0,0,7.0,4.0
2017000010232,72,7314,4,132471.0,12,1.0,0,2.0,2.0
2017000010375,73,7321,2,29219.01,20,3.0,0,6.0,4.0
2017000010473,74,7310,2,376950.0,21,1.0,0,2.0,4.0
2017000010538,75,7301,2,46634.1,13,5.0,0,9.0,4.0
2017000010797,76,7301,1,16155.0,9,6.0,0,2.0,4.0
2017000010893,77,7314,3,45234.0,52,1.0,0,9.0,4.0
2017000010960,78,7318,3,10446.9,13,1.0,0,2.0,2.0
2017000010986,79,7319,7,48734.25,13,1.0,0,5.0,3.0
2017000011133,80,7305,1,52589.909999999996,21,6.0,0,2.0,4.0
2017000011577,81,7309,4,172320.0,15,1.0,0,2.0,1.0
2017000011586,82,7316,1,19062.899999999998,24,6.0,0,8.0,4.0
2017000011743,83,7313,7,208938.0,12,1.0,0,2.0,3.0
2017000011765,84,7322,5,66774.0,12,1.0,0,1.0,4.0
2017000011927,85,7311,1,61389.0,11,4.0,0,6.0,4.0
2017000011931,86,7321,1,174474.0,10,6.0,0,2.0,4.0
2017000012059,87,7322,2,25524.899999999998,11,1.0,0,1.0,4.0
2017000012133,88,7303,1,37695.0,13,4.0,0,1.0,4.0
2017000012170,89,7319,3,84652.2,18,1.0,0,2.0,4.0
2017000012314,90,7306,5,298867.5,11,1.0,0,2.0,1.0
2017000012485,91,7310,2,158857.5,17,1.0,0,3.0,4.0
2017000012510,92,7311,3,172320.0,70,1.0,0,2.0,2.0
2017000012516,93,7317,1,24771.0,13,6.0,0,2.0,4.0
2017000012555,94,7321,6,26386.5,41,1.0,0,6.0,2.0
2017000012624,95,7322,3,56004.0,10,1.0,0,3.0,2.0
2017000012767,96,7313,2,65697.0,7,3.0,0,2.0,1.0
2017000013220,97,7303,7,108130.8,14,1.0,0,3.0,4.0
2017000013317,98,7304,2,44157.0,21,1.0,0,2.0,4.0
2017000013364,99,7312,2,56004.0,12,1.0,0,2.0,4.0
2017000014076,100,7317,2,140010.0,24,5.0,0,7.0,4.0
2017000014115,101,7308,4,201399.0,7,1.0,0,2.0,2.0
2017000014472,102,7317,1,58481.1,12,6.0,0,2.0,4.0
2017000014527,103,7318,3,145395.0,16,5.0,0,2.0,4.0
2017000014539,104,7319,4,145718.1,11,1.0,0,2.0,4.0
2017000014748,105,7310,3,91329.59999999999,20,3.0,0,2.0,2.0
2017000015015,106,7318,2,60312.0,14,1.0,0,2.0,4.0
2017000015103,107,7309,2,79967.25,22,5.0,0,9.0,4.0
2017000015262,108,7308,1,93052.8,20,4.0,0,2.0,4.0
2017000015393,109,7315,4,156165.0,22,1.0,0,2.0,1.0
2017000015528,110,7302,3,26925.0,40,3.0,0,2.0,2.0
2017000015557,111,7313,3,105115.2,31,1.0,0,9.0,4.0
2017000015690,112,7319,3,0.0,13,2.0,0,2.0,4.0
2017000015909,113,7309,2,161550.0,25,1.0,0,2.0,4.0
2017000015946,114,7314,1,137532.9,19,6.0,0,2.0,4.0
2017000016091,115,7310,1,193860.0,19,4.0,0,8.0,4.0
2017000016229,116,7318,4,172320.0,18,1.0,0,2.0,4.0
2017000016268,117,7320,4,156165.0,24,1.0,0,2.0,1.0
2017000016284,118,7306,1,21755.399999999998,6,6.0,0,2.0,4.0
2017000016603,119,7319,2,126439.79999999999,10,1.0,0,2.0,4.0
2017000016897,120,7310,2,34787.1,41,5.0,0,7.0,4.0
2017000016974,121,7311,4,535269.0,8,1.0,0,2.0,2.0
2017000017043,122,7304,3,316638.0,29,1.0,0,2.0,1.0
2017000017131,123,7302,4,19386.0,15,1.0,0,7.0,2.0
2017000017171,124,7314,2,4308.0,19,1.0,0,2.0,4.0
2017000017243,125,7307,3,19278.3,24,3.0,0,9.0,2.0
2017000017258,126,7301,2,156165.0,11,1.0,0,3.0,4.0
2017000017411,127,7306,4,116316.0,12,1.0,0,2.0,2.0
2017000017515,128,7304,2,180936.0,13,1.0,0,2.0,4.0
2017000018120,129,7302,4,185244.0,39,1.0,0,2.0,3.0
2017000018157,130,7313,2,80775.0,14,1.0,0,1.0,4.0
2017000018343,131,7315,2,41895.299999999996,32,1.0,0,8.0,4.0
2017000018457,132,7321,2,37695.0,39,1.0,0,8.0,4.0
2017000018552,133,7302,1,33494.7,14,4.0,0,2.0,4.0
2017000018775,134,7312,2,172320.0,13,1.0,0,3.0,4.0
2017000018780,135,7310,2,175658.69999999998,8,1.0,0,2.0,4.0
2017000018812,136,7312,1,0.0,20,4.0,0,8.0,4.0
2017000018843,137,7309,2,68174.09999999999,21,1.0,0,2.0,4.0
2017000018956,138,7319,3,62261.369999999995,11,2.0,0,6.0,1.0
2017000019187,139,7304,4,68066.4,18,1.0,0,2.0,2.0
2017000019233,140,7321,3,65481.6,39,1.0,0,2.0,4.0
2017000019304,141,7320,2,98545.5,25,1.0,0,2.0,4.0
2017000019752,142,7322,2,137102.1,12,1.0,0,2.0,4.0
2017000019795,143,7321,4,81421.2,8,1.0,0,2.0,4.0
2017000019878,144,7315,3,158534.4,11,1.0,0,2.0,4.0
2017000019972,145,7308,2,184167.0,9,1.0,0,2.0,4.0
2017000019984,146,7302,3,58158.0,34,3.0,0,5.0,2.0
2017000020228,147,7315,4,94776.0,22,3.0,0,2.0,1.0
2017000020340,148,7319,1,11631.6,26,6.0,0,3.0,4.0
2017000020343,149,7302,6,116316.0,2,1.0,0,1.0,4.0
2017000020434,150,7319,1,53526.9,11,6.0,0,7.0,4.0
2017000020454,151,7302,2,144522.63,11,1.0,0,2.0,4.0
2017000020745,152,7319,5,258480.0,9,1.0,0,2.0,4.0
2017000020819,153,7315,2,107915.4,21,1.0,0,3.0,4.0
2017000020884,154,7306,1,26925.0,8,6.0,0,3.0,4.0
2017000021077,155,7310,4,253095.0,8,1.0,0,2.0,2.0
2017000021253,156,7304,2,220785.0,9,1.0,0,2.0,4.0
2017000021350,157,7319,2,93699.0,13,7.0,0,2.0,4.0
2017000021395,158,7312,1,193860.0,13,6.0,0,2.0,4.0
2017000021970,159,7308,3,94237.5,36,2.0,0,5.0,1.0
2017000022015,160,7314,5,256110.59999999998,19,1.0,0,2.0,4.0
2017000022030,161,7321,1,37156.5,10,6.0,0,1.0,4.0
2017000022086,162,7322,1,84975.3,44,6.0,0,3.0,4.0
2017000022256,163,7305,2,118039.2,43,1.0,0,2.0,4.0
2017000022376,164,7315,1,64620.0,26,4.0,0,8.0,4.0
2017000022419,165,7315,1,14216.4,12,4.0,0,2.0,4.0
2017000022657,166,7316,1,25201.8,25,4.0,0,7.0,4.0
2017000022968,167,7307,5,79482.59999999999,39,2.0,0,1.0,3.0
2017000023105,168,7306,4,82929.0,26,1.0,0,2.0,2.0
2017000023115,169,7318,3,364995.3,14,5.0,0,2.0,4.0
2017000023124,170,7306,3,152934.0,11,1.0,0,2.0,4.0
2017000023381,171,7319,1,11847.0,18,6.0,0,6.0,4.0
2017000023641,172,7305,2,45341.7,18,7.0,0,9.0,4.0
2017000023789,173,7313,1,13354.8,56,6.0,0,6.0,4.0
2017000024098,174,7308,1,19472.16,21,4.0,0,2.0,4.0
2017000024258,175,7310,2,42003.0,15,5.0,0,8.0,4.0
2017000024336,176,7306,2,58427.25,20,3.0,0,2.0,4.0
2017000024553,177,7316,5,90898.8,6,3.0,0,2.0,4.0
2017000024722,178,7317,2,65912.4,45,1.0,0,7.0,4.0
2017000024818,179,7308,4,366180.0,12,1.0,0,2.0,2.0
2017000025004,180,7302,4,200968.19999999998,14,1.0,0,2.0,2.0
2017000025090,181,7313,2,53850.0,21,1.0,0,8.0,4.0
2017000025306,182,7306,3,15185.699999999999,12,2.0,0,9.0,1.0
2017000025419,183,7322,3,29079.0,23,2.0,0,2.0,4.0
2017000025535,184,7315,3,75390.0,13,1.0,0,9.0,2.0
2017000025726,185,7317,1,65481.6,13,6.0,0,7.0,4.0
2017000025757,186,7311,4,117393.0,13,1.0,0,2.0,2.0
2017000025834,187,7301,3,87344.7,13,3.0,0,6.0,4.0
