mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,2,9,0,0,0,1,0,1,4,1,1,0,3,0,0,0,9,0,1,1,3,2,0,0,5,1,1,3,0,5,0,0,3,0,2,0,0,0,0,0,0,5
360,13,8,0,1,3,1,2,1,0,0,1,5,6,1,0,0,7,0,3,11,2,5,2,1,10,2,3,4,1,6,4,0,1,0,0,1,0,8,0,0,0,10
361,33,37,1,3,5,3,7,11,4,14,5,5,3,9,23,5,21,0,9,12,3,6,3,9,21,4,7,7,3,10,11,0,5,0,9,4,1,2,0,0,0,21
362,38,69,6,2,0,0,11,31,32,16,4,3,2,0,7,8,49,2,3,38,31,23,7,3,64,12,23,22,7,53,11,3,4,12,20,8,6,11,0,0,0,64
363,134,148,15,8,17,7,21,40,22,39,33,57,14,9,19,4,235,0,5,19,8,23,14,45,90,20,29,34,7,48,42,8,11,34,21,13,3,0,0,0,0,90
364,62,86,8,11,11,10,13,20,26,20,12,14,0,3,29,0,108,3,0,8,3,11,8,20,42,6,15,14,7,14,28,3,8,19,11,1,0,0,0,0,0,42
365,104,87,19,14,12,9,14,27,22,25,15,23,11,0,53,6,68,13,20,31,8,16,10,29,63,14,21,21,7,35,28,7,10,16,20,4,4,2,0,0,0,63
366,9,10,1,0,1,0,1,1,2,2,1,0,5,5,0,0,7,0,0,12,6,3,2,0,11,0,6,4,1,8,3,0,0,1,2,3,1,4,0,0,0,11
367,157,158,25,11,26,15,13,52,30,40,29,28,25,21,53,2,67,0,20,173,17,35,16,44,112,44,44,23,1,91,21,7,7,14,20,21,26,17,0,0,0,112
368,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
