HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
1,1,7307,33,0,1.0,1,1.0,4.0,50.0,1,1,1,White,44,1.0,4760.0,20.0,1,412031,41
1,2,7307,30,0,2.0,2,1.0,4.0,40.0,1,1,1,White,81,1.0,410.0,16.0,1,119141,11
2,1,7301,63,15,2.0,2,1.0,4.0,32.0,1,1,1,White,62,1.0,5940.0,16.0,1,439XXX,43
2,2,7301,69,15,1.0,1,1.0,4.0,40.0,1,1,1,White,53,1.0,4200.0,24.0,1,371011,37
2,3,7301,27,0,1.0,1,1.0,4.0,40.0,1,1,1,White,81,1.0,5740.0,21.0,1,436014,43
3,1,7311,33,0,1.0,1,1.0,4.0,80.0,1,1,1,White,53,1.0,4920.0,20.0,1,419020,41
3,2,7311,33,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,15.0,0,0,0
3,3,7311,1,0,,2,,,,1,1,0,White,0,,,,0,0,0
4,1,7318,84,0,,1,6.0,2.0,,1,1,0,White,0,,,16.0,0,0,0
4,2,7318,90,0,,1,6.0,2.0,,1,1,0,White,0,,,16.0,0,0,0
5,1,7302,23,0,1.0,1,1.0,4.0,40.0,2,1,1,Black,45,1.0,4760.0,19.0,1,412031,41
5,2,7302,20,0,1.0,2,1.0,4.0,40.0,1,2,1,Hispanic,71,1.0,5400.0,19.0,1,434171,43
6,1,7313,48,0,1.0,1,1.0,4.0,50.0,1,1,1,White,23,1.0,6355.0,18.0,1,472111,47
6,2,7313,48,0,4.0,2,1.0,4.0,45.0,1,1,1,White,61,1.0,2310.0,21.0,1,252020,25
6,3,7313,23,0,1.0,1,1.0,4.0,40.0,1,1,1,White,49,1.0,9130.0,19.0,1,533030,53
6,4,7313,21,15,1.0,2,1.0,4.0,30.0,1,1,1,White,62,1.0,3255.0,20.0,1,291141,29
7,1,7314,67,0,1.0,1,3.0,4.0,40.0,1,1,0,White,33,5.0,440.0,1.0,1,1191XX,11
8,1,7301,53,0,1.0,2,1.0,4.0,40.0,1,1,1,White,33,1.0,4850.0,21.0,1,414010,41
9,1,7318,70,0,,2,6.0,4.0,,2,1,0,Black,0,,,10.0,0,0,0
10,1,7310,54,0,6.0,1,1.0,4.0,30.0,1,1,1,White,45,1.0,4700.0,21.0,1,411011,41
11,1,7317,63,0,1.0,1,1.0,4.0,30.0,1,1,1,White,721,1.0,4110.0,16.0,1,353031,35
12,1,7322,29,0,1.0,1,1.0,4.0,40.0,9,1,1,Two or More,45,3.0,8990.0,21.0,1,5191XX,51
12,2,7322,25,15,1.0,2,1.0,4.0,40.0,2,1,1,Black,52,1.0,150.0,19.0,1,113061,11
13,1,7311,34,0,4.0,1,1.0,4.0,40.0,6,1,1,Asian,62,1.0,3200.0,21.0,1,291124,29
13,2,7311,31,0,6.0,2,6.0,4.0,,6,1,0,Asian,44,,4760.0,16.0,0,412031,41
13,3,7311,9,6,,2,,,,6,1,0,Asian,0,,,6.0,0,0,0
13,4,7311,5,1,,2,,,,6,1,0,Asian,0,,,1.0,0,0,0
13,5,7311,3,1,,2,,,,6,1,0,Asian,0,,,1.0,0,0,0
14,1,7309,34,0,1.0,2,1.0,4.0,24.0,6,1,1,Asian,62,1.0,3255.0,22.0,1,291141,29
14,2,7309,34,0,7.0,1,1.0,4.0,55.0,6,1,1,Asian,48,1.0,9130.0,22.0,1,533030,53
14,3,7309,3,1,,2,,,,6,1,0,Asian,0,,,2.0,0,0,0
15,1,7306,45,0,1.0,1,1.0,4.0,50.0,1,1,1,White,23,1.0,220.0,18.0,1,119021,11
15,2,7306,46,0,1.0,2,1.0,4.0,25.0,1,1,1,White,54,1.0,800.0,21.0,1,132011,13
15,3,7306,14,10,,1,,,,1,1,0,White,0,,,10.0,0,0,0
15,4,7306,11,8,,2,,,,1,1,0,White,0,,,8.0,0,0,0
16,1,7317,54,0,1.0,2,1.0,4.0,50.0,1,1,1,White,54,1.0,2825.0,21.0,1,273031,27
16,2,7317,51,0,1.0,2,1.0,4.0,30.0,1,1,1,White,33,1.0,2825.0,21.0,1,273031,27
17,1,7310,76,0,,1,6.0,4.0,,9,1,0,Two or More,0,,,19.0,0,0,0
17,2,7310,76,0,,2,6.0,4.0,,9,1,0,Two or More,0,,,19.0,0,0,0
17,3,7310,16,14,1.0,2,6.0,,4.0,9,1,0,Two or More,62,6.0,4600.0,15.0,0,399011,39
17,4,7310,13,10,,2,,,,9,1,0,Two or More,0,,,10.0,0,0,0
18,1,7321,54,0,3.0,2,1.0,4.0,40.0,8,2,1,Hispanic,61,1.0,5000.0,20.0,1,431011,43
19,1,7301,71,0,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
20,1,7312,81,0,,2,6.0,2.0,,1,1,0,White,0,,,20.0,0,0,0
21,1,7306,84,0,,2,6.0,4.0,,1,1,0,White,0,,,24.0,0,0,0
22,1,7313,36,0,1.0,1,1.0,3.0,40.0,1,1,1,White,33,1.0,5600.0,21.0,1,435061,43
