HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
22,2,7313,41,0,1.0,2,1.0,2.0,46.0,1,1,1,White,22,1.0,705.0,22.0,1,131082,13
22,3,7313,5,2,,1,,,,1,1,0,White,0,,,2.0,0,0,0
23,1,7308,40,0,6.0,2,1.0,4.0,40.0,1,1,1,White,53,1.0,4920.0,19.0,1,419020,41
23,2,7308,41,0,1.0,1,1.0,4.0,40.0,1,1,1,White,52,1.0,5100.0,21.0,1,433011,43
23,3,7308,22,15,1.0,2,1.0,4.0,37.0,9,1,1,Two or More,44,1.0,4720.0,20.0,1,412010,41
23,4,7308,10,7,,1,,,,1,1,0,White,0,,,8.0,0,0,0
24,1,7307,46,0,1.0,1,1.0,2.0,60.0,9,1,1,Two or More,54,1.0,1400.0,21.0,1,172061,17
24,2,7307,37,0,1.0,2,6.0,4.0,,6,1,0,Asian,62,,3602.0,21.0,0,311122,31
25,1,7309,38,0,2.0,1,1.0,4.0,40.0,1,1,1,White,45,1.0,4760.0,21.0,1,412031,41
25,2,7309,30,15,1.0,2,1.0,2.0,40.0,1,1,1,White,722,1.0,4110.0,19.0,1,353031,35
26,1,7317,57,0,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
27,1,7302,63,0,6.0,2,1.0,4.0,30.0,1,1,1,White,54,1.0,440.0,18.0,1,1191XX,11
28,1,7304,30,0,3.0,1,1.0,4.0,40.0,1,1,1,White,61,1.0,3550.0,22.0,1,299000,29
28,2,7304,37,16,2.0,2,6.0,4.0,20.0,1,1,0,White,81,1.0,2840.0,21.0,0,273042,27
29,1,7320,69,0,1.0,1,1.0,4.0,18.0,1,2,1,Hispanic,56,1.0,5140.0,21.0,1,433051,43
29,2,7320,64,0,1.0,2,1.0,4.0,40.0,1,2,1,Hispanic,56,1.0,5740.0,20.0,1,436014,43
29,3,7320,12,9,,2,,,,1,2,0,Hispanic,0,,,10.0,0,0,0
29,4,7320,10,7,,1,,,,1,2,0,Hispanic,0,,,8.0,0,0,0
30,1,7322,53,15,1.0,1,3.0,4.0,99.0,8,2,0,Hispanic,11,3.0,6050.0,19.0,1,4520XX,45
30,2,7322,51,0,1.0,2,1.0,4.0,33.0,8,2,1,Hispanic,45,6.0,5240.0,9.0,1,434051,43
30,3,7322,24,16,1.0,2,1.0,4.0,25.0,8,2,1,Hispanic,61,3.0,2360.0,21.0,1,2530XX,25
30,4,7322,19,15,1.0,1,1.0,4.0,30.0,8,2,1,Hispanic,722,4.0,4055.0,16.0,1,353023,35
31,1,7312,47,0,1.0,2,1.0,4.0,50.0,1,1,1,White,42,1.0,5240.0,18.0,1,434051,43
31,2,7312,34,0,1.0,1,1.0,2.0,40.0,1,1,1,White,23,1.0,6355.0,20.0,1,472111,47
31,3,7312,27,0,1.0,1,1.0,4.0,30.0,1,1,1,White,81,4.0,9350.0,21.0,1,536021,53
32,1,7311,51,0,7.0,2,1.0,4.0,40.0,1,2,1,Hispanic,32,1.0,20.0,21.0,1,111021,11
32,2,7311,54,0,1.0,1,1.0,4.0,40.0,1,2,1,Hispanic,32,1.0,20.0,21.0,1,111021,11
32,3,7311,17,0,2.0,2,6.0,4.0,4.0,1,2,0,Hispanic,721,6.0,4622.0,16.0,0,399032,39
33,1,7313,72,0,5.0,1,6.0,4.0,,1,1,0,White,92,,440.0,22.0,0,1191XX,11
33,2,7313,68,0,1.0,2,6.0,4.0,,1,1,0,White,62,,3603.0,18.0,0,311131,31
34,1,7318,49,0,6.0,1,1.0,4.0,40.0,1,2,1,Hispanic,56,1.0,4210.0,16.0,1,371012,37
34,2,7318,48,0,3.0,2,1.0,4.0,40.0,1,2,1,Hispanic,92,1.0,440.0,16.0,1,1191XX,11
34,3,7318,26,0,6.0,1,1.0,4.0,40.0,1,2,1,Hispanic,56,1.0,4251.0,20.0,1,373011,37
34,4,7318,23,0,1.0,1,1.0,4.0,40.0,1,2,1,Hispanic,44,1.0,4055.0,19.0,1,353023,35
35,1,7308,35,0,5.0,1,1.0,4.0,40.0,1,1,1,White,33,1.0,1530.0,21.0,1,1721YY,17
35,2,7308,45,0,1.0,2,1.0,2.0,60.0,1,1,1,White,62,4.0,3090.0,24.0,1,291210,29
35,3,7308,2,0,,2,,,,1,1,0,White,0,,,,0,0,0
35,4,7308,1,0,,1,,,,1,1,0,White,0,,,,0,0,0
36,1,7309,81,0,,1,6.0,2.0,,1,1,0,White,0,,,23.0,0,0,0
36,2,7309,79,16,,2,6.0,4.0,,1,1,0,White,0,,,24.0,0,0,0
37,1,7305,60,0,1.0,1,1.0,4.0,40.0,1,1,1,White,23,3.0,6260.0,13.0,1,472061,47
37,2,7305,57,0,4.0,2,1.0,4.0,40.0,1,1,1,White,61,1.0,845.0,21.0,1,132051,13
38,1,7320,47,0,6.0,2,1.0,4.0,40.0,1,2,1,Hispanic,54,1.0,800.0,21.0,1,132011,13
38,2,7320,21,15,1.0,1,1.0,4.0,15.0,1,2,1,Hispanic,44,6.0,4760.0,19.0,1,412031,41
38,3,7320,18,14,1.0,1,3.0,4.0,40.0,1,2,0,Hispanic,33,6.0,9640.0,14.0,1,537064,53
38,4,7320,77,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,15.0,0,0,0
38,5,7320,70,0,1.0,2,6.0,4.0,32.0,1,2,0,Hispanic,45,3.0,4700.0,16.0,0,411011,41
38,6,7320,56,0,1.0,1,1.0,4.0,70.0,1,1,1,White,49,1.0,440.0,16.0,1,1191XX,11
39,1,7315,30,0,1.0,2,1.0,4.0,40.0,1,1,1,White,53,1.0,4920.0,21.0,1,419020,41
39,2,7315,41,0,5.0,1,1.0,4.0,48.0,9,16,1,Hispanic,92,1.0,3802.0,21.0,1,333012,33
39,3,7315,0,0,,1,,,,9,1,0,Two or More,0,,,,0,0,0
39,4,7315,29,16,,2,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
40,1,7310,56,0,1.0,1,1.0,4.0,40.0,1,1,1,White,52,1.0,860.0,21.0,1,132053,13
40,2,7310,53,0,1.0,2,1.0,4.0,30.0,1,1,1,White,52,1.0,5120.0,16.0,1,433031,43
41,1,7308,64,0,1.0,2,1.0,4.0,20.0,1,1,1,White,722,3.0,4720.0,19.0,1,412010,41
41,2,7308,38,0,9.0,1,3.0,4.0,,1,1,0,White,99,,9920.0,14.0,1,999920,99
42,1,7305,68,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,4.0,0,0,0
42,2,7305,80,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,4.0,0,0,0
42,3,7305,39,0,1.0,1,1.0,4.0,40.0,1,2,1,Hispanic,23,1.0,6230.0,11.0,1,472031,47
43,1,7321,45,0,5.0,1,4.0,1.0,55.0,2,1,1,Black,MIL,1.0,9810.0,24.0,0,552010,55
43,2,7321,50,15,,2,6.0,4.0,,2,1,0,Black,0,,,19.0,0,0,0
43,3,7321,12,9,,2,,,,2,1,0,Black,0,,,9.0,0,0,0
44,1,7301,28,0,1.0,2,1.0,4.0,42.0,1,1,1,White,71,1.0,1006.0,19.0,1,151211,15
44,2,7301,34,0,1.0,1,1.0,4.0,40.0,1,1,1,White,44,1.0,5240.0,20.0,1,434051,43
44,3,7301,5,2,,1,,,,1,1,0,White,0,,,2.0,0,0,0
44,4,7301,3,0,,2,,,,1,1,0,White,0,,,1.0,0,0,0
45,1,7315,66,0,1.0,1,1.0,4.0,30.0,1,1,1,White,44,1.0,4760.0,21.0,1,412031,41
45,2,7315,56,0,1.0,1,1.0,4.0,40.0,1,1,1,White,54,1.0,3515.0,21.0,1,292072,29
46,1,7310,40,0,5.0,2,1.0,4.0,40.0,1,1,1,White,54,1.0,110.0,21.0,1,113021,11
47,1,7301,27,15,5.0,2,1.0,2.0,60.0,2,1,1,Black,92,1.0,5000.0,20.0,1,431011,43
48,1,7317,49,0,3.0,1,1.0,4.0,40.0,6,1,1,Asian,92,1.0,530.0,21.0,1,131023,13
48,2,7317,47,0,4.0,2,1.0,4.0,24.0,6,1,1,Asian,62,1.0,3601.0,16.0,1,311121,31
48,3,7317,59,0,,2,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
48,4,7317,40,0,,1,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
48,5,7317,29,0,,1,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
48,6,7317,27,0,,2,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
49,1,7322,38,0,1.0,1,1.0,4.0,40.0,1,2,1,Hispanic,51,1.0,7430.0,19.0,1,499060,49
49,2,7322,36,0,1.0,2,1.0,4.0,15.0,1,2,1,Hispanic,61,4.0,2545.0,20.0,1,259040,25
49,3,7322,12,9,,2,,,,1,2,0,Hispanic,0,,,10.0,0,0,0
49,4,7322,9,5,,1,,,,1,2,0,Hispanic,0,,,6.0,0,0,0
50,1,7303,59,0,1.0,1,1.0,4.0,56.0,1,2,1,Hispanic,42,1.0,9130.0,14.0,1,533030,53
50,2,7303,58,0,4.0,2,1.0,4.0,16.0,1,2,1,Hispanic,61,1.0,4030.0,16.0,1,352021,35
50,3,7303,32,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,16.0,0,0,0
50,4,7303,28,15,8.0,2,1.0,4.0,40.0,1,1,1,White,81,1.0,4350.0,19.0,1,392021,39
50,5,7303,27,0,1.0,2,1.0,4.0,30.0,1,2,1,Hispanic,61,2.0,5820.0,19.0,1,439022,43
50,6,7303,1,0,,2,,,,1,2,0,Hispanic,0,,,,0,0,0
51,1,7307,76,0,,1,6.0,3.0,,1,1,0,White,0,,,16.0,0,0,0
51,2,7307,61,0,3.0,2,1.0,4.0,40.0,1,1,1,White,92,1.0,5740.0,19.0,1,436014,43
52,1,7304,61,0,,1,6.0,4.0,,6,1,0,Asian,0,,,21.0,0,0,0
53,1,7314,29,15,1.0,2,1.0,4.0,40.0,8,1,1,White,722,1.0,310.0,19.0,1,119051,11
53,2,7314,10,7,,2,,,,1,1,0,White,0,,,7.0,0,0,0
53,3,7314,8,5,,2,,,,1,1,0,White,0,,,5.0,0,0,0
53,4,7314,7,4,,2,,,,1,1,0,White,0,,,4.0,0,0,0
53,5,7314,6,2,,2,,,,1,1,0,White,0,,,1.0,0,0,0
53,6,7314,4,1,,1,,,,1,1,0,White,0,,,2.0,0,0,0
54,1,7321,74,0,1.0,1,1.0,2.0,40.0,1,1,1,White,42,1.0,9430.0,14.0,1,5360XX,53
55,1,7320,80,0,1.0,1,6.0,3.0,30.0,1,1,0,White,71,6.0,5240.0,19.0,0,434051,43
55,2,7320,77,0,1.0,2,6.0,4.0,50.0,1,2,0,Hispanic,61,6.0,710.0,18.0,0,131111,13
56,1,7310,50,0,6.0,1,1.0,4.0,40.0,1,1,1,White,71,2.0,2600.0,21.0,1,271010,27
57,1,7310,73,0,,1,6.0,4.0,,1,1,0,White,0,,,24.0,0,0,0
58,1,7306,54,0,1.0,1,2.0,2.0,40.0,1,1,1,White,48,2.0,9130.0,21.0,1,533030,53
58,2,7306,47,0,1.0,2,1.0,4.0,50.0,1,1,1,White,81,1.0,120.0,22.0,1,113031,11
59,1,7308,53,0,,2,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
59,2,7308,63,0,1.0,1,1.0,4.0,55.0,1,1,1,White,62,3.0,3010.0,23.0,1,291020,29
59,3,7308,19,15,1.0,1,1.0,4.0,15.0,1,1,1,White,44,5.0,9620.0,19.0,1,537062,53
59,4,7308,17,14,,2,6.0,4.0,,1,1,0,White,0,,,14.0,0,0,0
59,5,7308,14,11,,2,,,,1,1,0,White,0,,,11.0,0,0,0
59,6,7308,11,7,,2,,,,1,2,0,Hispanic,0,,,7.0,0,0,0
59,7,7308,11,7,,1,,,,1,2,0,Hispanic,0,,,7.0,0,0,0
60,1,7311,63,0,3.0,2,1.0,2.0,40.0,2,1,1,Black,81,1.0,4965.0,22.0,1,419099,41
60,2,7311,33,0,6.0,1,1.0,4.0,60.0,2,1,1,Black,48,1.0,9142.0,19.0,1,533054,53
60,3,7311,64,0,,2,6.0,4.0,,2,1,0,Black,0,,,21.0,0,0,0
61,1,7317,78,0,,1,6.0,4.0,,6,1,0,Asian,0,,,22.0,0,0,0
61,2,7317,75,0,,2,6.0,4.0,,6,1,0,Asian,0,,,23.0,0,0,0
61,3,7317,35,0,1.0,1,1.0,4.0,40.0,6,1,1,Asian,81,1.0,4710.0,18.0,1,411012,41
61,4,7317,26,15,1.0,2,6.0,4.0,,6,1,0,Asian,81,,4655.0,19.0,0,399099,39
62,1,7313,52,0,4.0,1,1.0,2.0,50.0,1,1,1,White,62,1.0,350.0,21.0,1,119111,11
62,2,7313,51,0,4.0,2,1.0,4.0,50.0,1,1,1,White,61,1.0,5000.0,19.0,1,431011,43
62,3,7313,23,0,1.0,1,1.0,4.0,40.0,1,1,1,White,33,1.0,8140.0,18.0,1,514120,51
63,1,7309,31,0,5.0,1,1.0,4.0,40.0,6,1,1,Asian,92,1.0,1005.0,22.0,1,151221,15
63,2,7309,27,0,1.0,2,1.0,4.0,40.0,6,1,1,Asian,722,1.0,5720.0,21.0,1,436012,43
63,3,7309,26,0,1.0,1,6.0,4.0,,6,1,0,Asian,44,,500.0,21.0,0,131011,13
64,1,7314,28,0,6.0,2,6.0,4.0,,1,1,0,White,81,,4510.0,21.0,0,395012,39
64,2,7314,14,10,,1,,,,1,1,0,White,0,,,11.0,0,0,0
64,3,7314,35,0,3.0,1,1.0,4.0,40.0,1,1,1,White,22,1.0,20.0,21.0,1,111021,11
64,4,7314,9,6,,2,,,,1,1,0,White,0,,,6.0,0,0,0
65,1,7318,33,0,1.0,1,1.0,4.0,40.0,6,1,1,Asian,45,1.0,4700.0,19.0,1,411011,41
65,2,7318,34,0,1.0,2,1.0,4.0,40.0,6,1,1,Asian,54,1.0,5110.0,19.0,1,433021,43
65,3,7318,7,4,,2,,,,6,1,0,Asian,0,,,4.0,0,0,0
65,4,7318,2,0,,1,,,,6,1,0,Asian,0,,,,0,0,0
65,5,7318,10,7,,2,,,,6,1,0,Asian,0,,,7.0,0,0,0
65,6,7318,54,0,1.0,2,6.0,4.0,,6,1,0,Asian,52,,910.0,19.0,0,132070,13
66,1,7314,23,0,1.0,2,1.0,4.0,30.0,1,1,1,White,52,1.0,4840.0,21.0,1,413091,41
66,2,7314,26,0,5.0,1,4.0,1.0,40.0,1,1,1,White,MIL,1.0,9030.0,21.0,0,532010,53
67,1,7306,37,15,1.0,2,1.0,4.0,80.0,6,1,1,Asian,62,1.0,1650.0,21.0,1,1910XX,19
67,2,7306,70,0,1.0,1,1.0,4.0,70.0,6,1,1,Asian,62,1.0,3602.0,21.0,1,311122,31
67,3,7306,62,0,1.0,2,1.0,4.0,70.0,6,1,1,Asian,62,1.0,3602.0,18.0,1,311122,31
68,1,7306,30,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
68,2,7306,34,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,16.0,0,0,0
68,3,7306,10,6,,2,,,,1,2,0,Hispanic,0,,,7.0,0,0,0
68,4,7306,3,0,,1,,,,1,2,0,Hispanic,0,,,1.0,0,0,0
69,1,7302,23,0,1.0,2,6.0,4.0,,3,1,0,Other,23,,6260.0,16.0,0,472061,47
69,2,7302,2,0,,2,,,,3,1,0,Other,0,,,,0,0,0
70,1,7320,60,0,1.0,2,6.0,4.0,,2,1,0,Black,33,,1320.0,21.0,0,172011,17
71,1,7314,51,0,1.0,1,1.0,4.0,40.0,1,2,1,Hispanic,81,1.0,8810.0,14.0,1,519120,51
71,2,7314,24,0,1.0,1,1.0,4.0,35.0,1,2,1,Hispanic,44,1.0,4720.0,20.0,1,412010,41
71,3,7314,22,0,1.0,1,1.0,4.0,35.0,1,2,1,Hispanic,44,1.0,4720.0,18.0,1,412010,41
71,4,7314,20,15,1.0,2,1.0,4.0,25.0,1,2,1,Hispanic,722,1.0,4760.0,19.0,1,412031,41
71,5,7314,51,0,3.0,1,1.0,4.0,40.0,1,2,1,Hispanic,23,1.0,5000.0,19.0,1,431011,43
71,6,7314,50,0,1.0,2,1.0,4.0,40.0,1,2,1,Hispanic,81,1.0,4600.0,13.0,1,399011,39
72,1,7314,37,0,7.0,2,1.0,4.0,50.0,1,1,1,White,54,1.0,800.0,22.0,1,132011,13
72,2,7314,43,0,1.0,1,1.0,4.0,40.0,1,1,1,White,33,1.0,6520.0,17.0,1,472211,47
72,3,7314,13,10,,1,,,,1,1,0,White,0,,,10.0,0,0,0
72,4,7314,10,7,,2,,,,1,1,0,White,0,,,7.0,0,0,0
73,1,7321,57,0,2.0,2,1.0,4.0,25.0,1,2,1,Hispanic,45,2.0,4720.0,10.0,1,412010,41
73,2,7321,20,15,1.0,2,1.0,4.0,15.0,1,2,1,Hispanic,722,6.0,4720.0,19.0,1,412010,41
74,1,7310,72,0,,2,6.0,4.0,,1,1,0,White,0,,,22.0,0,0,0
74,2,7310,77,0,6.0,1,1.0,2.0,25.0,1,1,1,White,62,5.0,3090.0,23.0,1,291210,29
75,1,7301,26,0,1.0,1,1.0,4.0,39.0,1,1,1,White,81,1.0,3630.0,19.0,1,319011,31
75,2,7301,24,15,1.0,2,2.0,4.0,20.0,9,1,1,Two or More,44,4.0,4055.0,20.0,1,353023,35
76,1,7301,59,0,1.0,2,1.0,4.0,24.0,1,2,1,Hispanic,44,1.0,4720.0,19.0,1,412010,41
77,1,7314,23,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
77,2,7314,23,15,9.0,2,3.0,4.0,,1,2,0,Hispanic,99,,9920.0,19.0,1,999920,99
77,3,7314,25,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
78,1,7318,58,0,,1,6.0,4.0,,8,2,0,Hispanic,0,,,17.0,0,0,0
78,2,7318,39,0,2.0,2,1.0,4.0,4.0,8,2,1,Hispanic,56,1.0,4220.0,15.0,1,37201X,37
78,3,7318,10,7,,2,,,,8,2,0,Hispanic,0,,,8.0,0,0,0
79,1,7319,34,0,4.0,1,1.0,4.0,40.0,2,1,1,Black,62,1.0,3930.0,19.0,1,339030,33
79,2,7319,30,0,,2,6.0,4.0,,2,1,0,Black,0,,,18.0,0,0,0
79,3,7319,11,8,,1,,,,2,1,0,Black,0,,,9.0,0,0,0
79,4,7319,10,7,,1,,,,2,1,0,Black,0,,,7.0,0,0,0
79,5,7319,8,4,,2,,,,2,1,0,Black,0,,,5.0,0,0,0
79,6,7319,4,0,,1,,,,2,1,0,Black,0,,,1.0,0,0,0
79,7,7319,3,0,,2,,,,2,1,0,Black,0,,,1.0,0,0,0
80,1,7305,73,0,6.0,2,3.0,4.0,20.0,1,1,0,White,54,6.0,710.0,22.0,1,131111,13
81,1,7309,35,0,1.0,1,1.0,4.0,40.0,6,1,1,Asian,722,1.0,4000.0,20.0,1,351011,35
81,2,7309,34,0,1.0,2,2.0,4.0,40.0,6,1,1,Asian,62,3.0,3255.0,20.0,1,291141,29
81,3,7309,3,0,,1,,,,6,1,0,Asian,0,,,1.0,0,0,0
81,4,7309,0,0,,1,,,,6,1,0,Asian,0,,,,0,0,0
82,1,7316,37,0,1.0,2,1.0,4.0,40.0,6,1,1,Asian,62,1.0,3421.0,19.0,1,292052,29
83,1,7313,35,0,,2,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
83,2,7313,39,0,1.0,1,1.0,2.0,40.0,1,1,1,White,54,1.0,110.0,22.0,1,113021,11
83,3,7313,10,6,,2,,,,1,1,0,White,0,,,6.0,0,0,0
83,4,7313,8,4,,1,,,,1,1,0,White,0,,,4.0,0,0,0
83,5,7313,6,2,,2,,,,1,1,0,White,0,,,2.0,0,0,0
83,6,7313,4,1,,1,,,,1,1,0,White,0,,,1.0,0,0,0
83,7,7313,3,1,,2,,,,1,1,0,White,0,,,1.0,0,0,0
84,1,7322,59,0,1.0,1,1.0,4.0,40.0,8,2,1,Hispanic,3M,1.0,9620.0,16.0,1,537062,53
84,2,7322,61,0,,2,6.0,4.0,,8,2,0,Hispanic,0,,,16.0,0,0,0
84,3,7322,26,0,1.0,1,3.0,4.0,,8,2,0,Hispanic,44,,4220.0,16.0,1,37201X,37
84,4,7322,23,0,1.0,1,1.0,4.0,40.0,8,3,1,Hispanic,44,6.0,9620.0,21.0,1,537062,53
84,5,7322,72,0,,1,6.0,4.0,,8,2,0,Hispanic,0,,,15.0,0,0,0
85,1,7311,67,0,2.0,1,1.0,2.0,24.0,1,1,1,White,62,1.0,3220.0,21.0,1,291126,29
86,1,7321,87,0,,2,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
87,1,7322,69,0,8.0,2,6.0,4.0,,8,2,0,Hispanic,81,,9620.0,5.0,0,537062,53
87,2,7322,71,0,,1,6.0,4.0,,8,2,0,Hispanic,0,,,1.0,0,0,0
88,1,7303,78,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,15.0,0,0,0
89,1,7319,67,0,3.0,1,1.0,2.0,40.0,1,1,1,White,92,6.0,1220.0,22.0,1,152031,15
89,2,7319,69,0,1.0,2,6.0,4.0,,1,1,0,White,45,,4760.0,16.0,0,412031,41
89,3,7319,37,0,1.0,2,1.0,4.0,40.0,1,1,1,White,52,1.0,4710.0,21.0,1,411012,41
90,1,7306,70,0,1.0,2,1.0,4.0,50.0,1,1,1,White,53,1.0,4920.0,21.0,1,419020,41
90,2,7306,84,0,6.0,1,6.0,4.0,10.0,1,1,0,White,81,6.0,2040.0,24.0,0,212011,21
90,3,7306,38,0,3.0,2,1.0,4.0,30.0,1,1,1,White,61,1.0,2205.0,22.0,1,251000,25
90,4,7306,3,1,,1,,,,1,1,0,White,0,,,1.0,0,0,0
90,5,7306,39,0,7.0,1,1.0,4.0,60.0,1,1,1,White,62,1.0,3110.0,23.0,1,291071,29
91,1,7310,38,0,1.0,1,1.0,4.0,42.0,1,1,1,White,54,1.0,705.0,24.0,1,131082,13
91,2,7310,36,0,4.0,2,1.0,4.0,50.0,1,1,1,White,61,1.0,2205.0,24.0,1,251000,25
92,1,7311,46,0,1.0,1,1.0,4.0,40.0,6,1,1,Asian,33,1.0,1410.0,22.0,1,172070,17
92,2,7311,47,0,,2,6.0,4.0,,6,1,0,Asian,0,,,22.0,0,0,0
92,3,7311,17,13,,1,6.0,4.0,,6,1,0,Asian,0,,,13.0,0,0,0
93,1,7317,57,15,,2,6.0,4.0,,1,1,0,White,0,,,20.0,0,0,0
94,1,7321,39,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,12.0,0,0,0
