mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
3783,126,176,15,23,19,3,13,45,56,20,40,41,14,13,65,35,121,2,36,43,19,34,27,30,110,23,30,46,11,58,52,2,3,8,12,20,15,50,0,0,0,110
3784,22,43,4,0,5,2,4,5,10,10,6,11,0,8,2,1,55,1,0,6,6,10,5,4,25,3,9,9,4,11,14,2,0,0,4,6,4,9,0,0,0,25
3785,128,118,9,12,11,3,19,8,22,33,31,57,24,17,62,7,96,2,16,63,15,26,22,25,88,17,26,37,8,33,55,2,1,7,9,17,12,40,0,0,0,88
3786,70,56,4,4,4,5,5,7,9,17,17,35,18,1,4,0,38,0,3,81,14,20,10,10,54,12,20,15,7,11,43,3,4,14,11,11,5,6,0,0,0,54
3787,31,30,5,1,2,0,1,6,17,5,2,17,5,0,0,1,11,1,0,48,6,8,4,3,21,4,7,7,3,5,16,1,0,5,5,5,2,3,0,0,0,21
3788,26,14,3,2,2,2,6,2,5,0,8,4,6,0,1,2,13,4,5,15,8,6,1,0,15,2,7,4,2,4,11,0,0,4,5,3,1,2,0,0,0,15
3789,287,285,64,39,46,19,42,103,79,49,58,29,37,7,56,37,306,10,65,98,45,79,43,57,224,63,73,64,24,82,142,17,21,50,67,34,11,24,0,0,0,224
3790,16,35,3,5,3,1,5,3,2,8,2,6,10,3,9,0,38,0,0,4,2,4,3,6,16,2,7,5,2,7,9,1,1,5,4,2,1,2,0,0,0,16
3791,205,221,21,9,24,19,32,46,36,39,82,49,60,9,44,3,356,1,5,17,0,13,14,73,100,29,39,25,7,51,49,4,6,23,26,24,11,6,0,0,0,100
3792,281,326,16,22,28,18,36,67,56,71,63,42,150,38,162,14,289,80,14,48,13,35,30,90,168,38,53,60,17,90,78,1,9,21,42,49,22,24,0,0,0,168
3793,74,95,7,25,12,4,13,32,27,15,15,15,4,0,9,10,79,8,3,60,12,23,13,15,63,13,22,21,7,19,44,4,2,17,16,13,4,7,0,0,0,63
3794,46,62,5,11,8,0,9,23,23,10,9,2,8,0,0,17,49,4,0,38,7,14,8,10,40,8,14,11,7,13,27,4,1,9,11,7,1,7,0,0,0,40
3795,53,85,1,15,10,0,11,24,29,14,19,9,4,2,8,9,60,0,10,51,9,19,10,12,51,12,18,14,7,15,36,4,3,14,12,9,2,7,0,0,0,51
3796,69,54,7,14,11,1,8,8,18,14,19,12,6,5,9,0,75,1,6,32,14,19,9,8,50,9,18,16,7,11,39,4,3,13,12,9,2,7,0,0,0,50
3797,59,87,11,16,7,6,12,29,18,17,15,7,3,5,7,11,87,2,15,24,12,21,12,13,57,12,21,17,7,24,33,4,3,15,14,11,3,7,0,0,0,57
3798,41,61,8,11,4,2,16,22,23,4,5,3,4,0,5,12,59,2,4,20,8,15,8,8,40,7,15,11,7,18,22,4,1,10,10,7,1,7,0,0,0,40
3799,52,70,12,7,14,3,6,24,21,7,15,6,2,5,1,4,75,0,13,29,10,18,9,10,48,9,18,14,7,21,27,4,2,13,11,9,2,7,0,0,0,48
3800,52,54,6,1,12,6,15,12,15,11,10,9,4,5,14,12,53,2,10,15,6,15,6,11,37,7,13,11,6,15,22,4,2,8,10,6,2,5,0,0,0,37
3801,50,67,7,4,7,5,13,7,12,22,14,18,8,0,19,11,56,5,9,17,6,16,6,12,41,8,15,11,7,15,26,4,2,12,9,6,3,5,0,0,0,41
3802,103,155,21,22,16,5,15,30,39,35,36,17,21,1,27,2,169,3,40,17,9,21,16,36,81,17,23,33,8,43,38,5,12,18,20,13,7,6,0,0,0,81
3803,111,162,20,21,28,18,28,38,41,25,28,16,10,0,12,11,225,1,7,17,9,20,14,39,82,17,22,35,8,56,26,6,11,19,20,13,7,6,0,0,0,82
3804,54,79,8,13,12,13,6,19,19,17,13,10,0,3,0,3,119,0,8,3,4,11,7,17,40,6,14,13,7,27,13,4,2,11,9,6,3,5,0,0,0,40
3805,235,312,22,16,26,18,62,69,68,53,56,84,62,11,43,16,397,6,27,58,4,26,25,90,144,32,45,52,15,78,66,12,19,36,36,20,14,7,0,0,0,144
3806,283,384,43,48,65,36,67,85,83,87,60,31,47,15,36,28,547,3,8,45,22,50,35,92,200,47,69,61,23,124,76,19,26,51,48,25,20,11,0,0,0,200
3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3808,125,151,25,18,21,9,19,45,34,20,44,28,11,2,13,6,244,0,0,13,5,16,14,41,76,15,21,32,8,43,33,7,8,15,19,8,11,8,0,0,0,76
3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3816,452,690,95,73,60,26,70,136,103,98,135,134,162,50,45,6,1043,3,0,45,70,119,75,135,398,98,138,123,39,157,241,65,54,86,87,56,26,24,0,0,0,398
3817,205,187,18,21,17,5,25,77,21,34,93,46,21,14,196,0,156,8,5,27,7,17,18,60,104,20,33,41,10,34,70,3,4,4,16,22,39,16,0,0,0,104
3818,169,114,10,16,8,1,12,75,14,25,62,37,20,3,133,0,122,4,0,24,5,13,13,44,75,14,25,28,8,25,50,3,2,3,11,16,27,13,0,0,0,75
3819,366,418,33,38,76,63,67,60,130,139,80,68,14,16,216,34,297,14,81,142,32,66,60,94,252,67,83,75,27,129,123,5,16,17,47,65,45,57,0,0,0,252
3820,187,215,25,26,27,21,30,53,83,76,37,19,5,0,116,31,171,4,10,70,15,34,22,56,126,29,38,47,12,69,57,1,6,7,22,25,35,30,0,0,0,126
3821,442,491,36,80,74,51,78,120,156,152,90,51,23,22,253,63,387,3,22,205,34,81,50,127,291,73,101,87,30,146,145,6,13,15,52,66,73,66,0,0,0,291
3822,306,332,39,55,45,21,36,103,115,100,63,50,11,0,295,29,260,11,21,22,17,46,33,90,187,52,65,52,18,85,102,2,11,9,35,40,48,42,0,0,0,187
3823,29,48,1,2,4,2,5,11,11,11,18,3,9,0,0,0,65,0,3,9,3,8,5,8,25,3,9,9,4,14,11,1,1,4,6,8,1,4,0,0,0,25
3824,92,96,14,17,18,18,17,16,23,24,20,15,3,3,0,6,156,0,0,26,1,9,7,31,48,7,18,16,7,31,17,2,3,10,12,12,3,6,0,0,0,48
3825,203,202,15,21,17,13,24,56,42,57,52,60,34,14,92,1,223,1,5,83,22,44,26,47,140,31,42,53,14,47,93,4,4,15,25,32,20,40,0,0,0,140
3826,52,60,7,4,13,5,12,3,13,8,23,15,4,5,7,1,77,2,2,23,10,15,11,9,45,7,16,15,7,9,36,3,0,3,8,11,5,15,0,0,0,45
3827,166,233,26,25,19,21,32,26,48,52,51,58,25,16,136,16,148,1,31,67,16,33,23,54,127,29,38,47,13,56,71,4,3,14,22,28,18,38,0,0,0,127
3828,122,154,17,15,21,11,20,18,30,44,39,30,21,10,20,1,176,0,6,73,15,27,18,33,93,20,31,33,9,28,65,3,6,16,16,24,16,12,0,0,0,93
3829,93,139,16,13,14,5,17,41,22,27,20,20,22,15,12,14,166,0,2,38,13,29,14,27,83,21,28,27,7,28,55,4,13,19,23,16,2,6,0,0,0,83
3830,59,88,9,3,10,7,15,10,21,22,17,28,5,0,4,5,104,0,0,34,7,13,7,18,46,11,14,14,7,23,23,3,2,7,9,11,5,9,0,0,0,46
3831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3834,112,110,37,22,19,12,29,23,35,32,6,0,4,3,19,0,157,2,7,37,6,18,10,29,64,14,21,22,7,37,27,3,5,17,12,12,8,7,0,0,0,64
3835,22,28,3,3,11,0,5,14,5,0,0,5,4,0,0,0,34,6,0,10,6,8,3,2,19,2,8,6,3,7,12,1,0,6,4,3,2,3,0,0,0,19
3836,50,42,4,2,6,6,8,2,11,14,8,12,14,5,0,0,13,0,9,70,11,15,6,6,39,7,14,12,6,11,28,2,2,2,5,5,4,19,0,0,0,39
3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3838,30,37,0,4,2,0,4,11,13,3,4,17,4,5,0,3,25,1,0,38,8,12,4,5,29,5,9,10,5,8,21,2,1,5,6,8,3,4,0,0,0,29
3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841,20,34,3,0,5,3,7,0,5,4,4,12,7,4,3,0,12,4,0,35,6,8,4,2,20,4,7,6,3,6,14,0,0,1,0,4,3,12,0,0,0,20
3842,7,3,0,0,1,0,1,0,0,0,0,5,0,3,0,0,0,0,0,10,2,2,0,0,4,0,1,3,0,1,3,0,0,0,0,0,0,4,0,0,0,4
3843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,32,39,3,7,0,0,3,11,12,8,6,17,0,4,0,0,25,1,2,43,4,7,7,7,25,3,8,10,4,11,14,0,0,2,0,4,3,16,0,0,0,25
3845,16,16,6,0,0,0,2,3,5,4,6,4,2,0,2,0,9,0,0,21,2,4,3,3,12,1,6,4,1,5,7,0,0,0,1,2,2,7,0,0,0,12
3846,144,179,11,16,15,8,28,61,65,30,14,59,10,6,18,3,75,12,19,196,75,70,18,11,173,46,62,48,17,26,147,4,13,33,24,48,18,33,2,0,10,185
3847,17,38,4,6,4,0,8,3,8,2,7,13,0,0,0,0,23,0,0,32,13,12,2,1,29,5,9,10,5,7,22,2,0,3,4,8,4,8,0,0,0,29
3848,212,165,24,41,27,11,60,56,51,27,18,34,26,2,43,9,83,13,15,214,31,50,23,43,146,36,46,49,15,73,73,4,4,24,34,38,15,27,0,0,0,146
3849,10,26,3,5,4,2,10,4,1,6,1,0,0,0,3,3,5,3,0,22,4,6,2,2,14,2,7,4,1,6,8,0,0,1,5,4,2,2,0,0,0,14
3850,352,412,136,132,77,22,21,119,181,27,9,18,13,9,87,129,224,6,37,281,13,38,42,103,197,47,69,60,21,143,54,22,16,34,38,44,21,22,0,0,0,197
3851,59,64,3,14,10,7,5,11,23,10,22,15,3,0,34,1,64,0,1,23,3,9,8,16,36,5,12,13,6,19,17,2,5,6,12,4,2,5,2,0,36,74
3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3854,7,23,0,1,1,0,2,2,7,2,1,7,7,0,7,0,23,0,0,0,1,3,3,3,10,1,4,4,1,5,5,0,2,1,4,2,0,1,0,0,0,10
3855,201,168,21,16,13,8,33,31,80,56,48,41,15,7,34,4,265,0,24,42,42,57,30,28,156,36,50,54,16,45,111,15,22,37,42,20,9,11,0,0,0,156
3856,37,51,6,9,5,2,1,10,16,7,14,11,6,1,0,0,71,0,1,16,6,12,7,8,32,7,13,8,4,11,21,3,2,8,9,5,1,4,0,0,0,32
3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3858,6,15,2,1,1,0,3,7,5,0,0,2,0,0,2,0,15,1,0,3,0,4,2,2,7,1,2,4,0,6,1,0,1,2,3,1,0,0,0,0,0,7
3859,29,22,0,2,1,0,5,3,7,5,11,9,8,0,0,0,0,0,0,51,11,10,2,1,24,5,7,8,4,5,19,2,1,3,0,3,5,10,0,0,0,24
3860,16,17,0,3,3,0,2,2,2,3,1,8,9,0,0,0,1,0,0,32,7,7,1,0,16,4,6,4,2,3,13,1,1,2,0,3,4,5,0,0,0,16
3861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3862,36,43,2,4,6,3,0,4,4,11,4,21,14,6,1,3,19,0,1,55,18,16,6,3,43,9,15,12,7,8,35,3,4,4,1,7,10,14,0,0,0,43
3863,29,44,1,1,3,3,2,1,6,14,6,17,15,4,4,0,10,0,0,59,17,16,5,3,40,8,14,11,7,8,32,3,3,4,1,6,9,14,0,0,0,40
3864,14,11,0,3,2,0,0,0,0,5,5,2,3,5,0,0,2,0,0,23,3,4,2,1,11,3,3,4,1,2,9,0,0,3,1,3,2,2,0,0,0,11
3865,35,39,6,7,5,0,0,5,10,12,10,10,5,4,6,0,5,4,0,59,11,13,5,4,34,8,10,11,5,8,26,2,1,5,5,9,3,9,0,0,0,34
3866,39,45,5,8,8,6,0,3,15,9,6,18,5,1,8,5,17,0,1,53,13,15,6,4,39,9,14,11,5,8,31,3,1,5,7,10,4,9,0,0,0,39
3867,13,14,0,3,0,1,1,2,2,2,2,7,7,0,0,0,0,0,0,27,6,6,1,0,13,3,5,4,1,2,11,0,1,2,0,2,4,4,0,0,0,13
3868,42,102,11,13,8,8,10,16,39,10,9,13,7,0,10,0,52,0,8,74,23,25,8,11,66,19,25,20,2,11,55,3,2,11,12,15,7,16,0,0,0,66
3869,58,50,7,5,6,5,22,20,21,2,6,5,5,4,9,4,33,0,0,62,9,15,7,9,41,7,16,11,7,20,21,3,1,5,8,10,4,10,0,0,0,41
3870,9,9,0,2,2,0,6,1,5,0,2,0,0,0,0,1,2,0,0,15,2,3,2,2,8,1,3,4,0,4,4,0,0,1,1,3,2,1,0,0,0,8
3871,24,18,1,3,2,1,9,6,7,0,5,4,4,0,5,2,15,1,0,19,5,7,4,3,19,3,7,6,3,10,9,1,0,3,3,5,2,5,0,0,0,19
3872,15,14,1,4,1,2,8,7,2,0,4,0,0,0,2,5,5,0,0,17,4,5,3,1,13,2,6,4,1,6,7,0,0,3,2,4,2,2,0,0,0,13
3873,39,31,4,2,4,1,9,12,17,2,8,8,3,0,8,3,27,0,6,26,7,10,5,4,26,5,8,9,4,14,12,2,0,3,4,7,3,7,0,0,0,26
3874,62,64,10,14,6,3,10,14,26,17,8,10,8,0,19,12,35,4,3,53,12,18,8,10,48,10,17,14,7,23,25,3,1,7,10,11,5,11,0,0,0,48
3875,49,41,4,5,6,3,0,2,9,21,9,13,8,10,13,4,10,1,2,60,14,16,7,4,42,10,14,13,5,9,33,3,1,5,8,11,4,10,0,0,0,42
3876,37,56,13,10,1,0,0,15,22,9,2,14,7,0,3,0,22,1,0,67,8,13,6,9,36,9,13,9,5,11,25,2,1,5,5,10,4,9,0,0,0,36
3877,21,20,6,3,0,0,0,11,1,14,0,0,2,4,0,1,31,0,0,9,6,6,1,1,14,3,7,4,0,1,13,0,3,6,3,2,0,0,0,0,0,14
3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3879,6,6,0,0,1,0,0,0,2,0,0,6,0,3,0,0,1,0,0,11,0,4,0,0,4,0,1,3,0,3,1,0,0,0,0,0,0,4,0,0,0,4
3880,30,31,6,1,0,1,0,9,8,11,1,9,13,2,0,0,5,0,0,56,9,11,5,2,27,4,9,9,5,8,19,2,0,0,0,3,2,20,0,0,0,27
3881,159,136,10,19,10,3,8,22,37,41,37,50,55,3,54,2,29,5,4,201,40,51,21,20,132,34,43,42,13,30,102,4,0,5,8,20,10,85,0,0,0,132
3882,214,153,9,26,14,8,7,29,50,30,49,59,74,12,83,6,18,3,19,238,49,63,26,24,163,45,54,49,15,33,130,4,0,8,10,25,11,105,0,0,0,163
3883,5,11,0,1,0,0,0,0,4,0,4,6,1,0,0,0,0,0,0,16,3,3,1,0,7,1,2,4,0,1,6,0,0,0,0,1,0,6,0,0,0,7
3884,69,42,7,7,4,4,2,5,15,23,9,15,18,2,4,0,12,0,0,95,16,20,9,5,50,12,17,14,7,11,39,3,0,1,2,7,7,30,0,0,0,50
3885,17,23,0,1,0,0,0,5,7,11,3,5,8,0,3,0,0,0,0,37,6,8,2,1,18,4,6,5,3,5,13,1,0,0,0,3,1,13,0,0,0,18
3886,36,37,4,6,5,1,7,5,15,9,6,7,3,5,3,0,23,0,1,46,9,12,5,4,31,8,10,9,4,8,23,2,1,3,5,8,2,10,0,0,0,31
3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3892,57,70,2,5,2,4,9,25,31,15,27,7,0,0,8,0,51,8,8,52,43,29,4,1,77,16,26,27,8,14,63,3,12,17,19,13,6,7,0,0,0,77
3893,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,2
3894,8,6,0,3,0,0,2,5,0,2,2,0,0,0,0,0,12,0,0,2,3,3,1,0,7,1,2,4,0,1,6,0,1,0,3,2,1,0,0,0,0,7
3895,23,24,4,3,0,3,5,12,3,12,5,0,0,0,3,5,20,3,0,16,16,11,1,0,28,4,9,10,5,7,21,2,1,6,8,5,2,4,0,0,0,28
3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3899,19,4,0,0,1,0,8,7,1,0,2,0,0,4,0,0,11,0,1,11,4,4,1,0,9,1,3,4,1,2,7,0,1,1,2,3,1,1,0,0,0,9
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
