mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,187,222,17,10,19,15,25,32,44,38,70,73,60,6,157,44,117,3,19,69,42,60,33,33,168,38,56,57,17,135,33,13,17,57,53,16,10,2,0,0,0,168
2,12,14,0,1,0,0,2,0,5,1,6,7,4,0,2,1,7,2,3,11,13,7,0,0,20,2,9,6,3,18,2,4,1,1,2,4,2,6,0,0,56,76
3,260,270,61,54,39,20,30,64,58,52,56,36,40,20,7,16,122,5,9,371,35,69,37,52,193,47,71,56,19,104,89,22,42,53,55,13,8,0,0,0,0,193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56,43,1,3,6,8,11,1,8,20,9,22,7,3,0,0,14,0,0,85,13,16,7,4,40,6,14,13,7,24,16,3,0,3,8,8,4,14,0,0,0,40
6,43,36,2,2,7,7,6,5,4,14,9,19,4,0,0,0,11,0,0,68,7,12,6,7,32,5,11,11,5,20,12,0,0,0,3,7,6,16,0,0,0,32
7,46,77,14,12,0,0,7,22,25,10,9,5,13,6,0,0,24,5,0,94,10,17,7,12,46,11,16,14,5,30,16,2,0,7,6,11,8,12,0,0,0,46
8,35,35,3,3,4,4,1,1,6,13,7,15,11,2,2,7,4,0,0,57,10,10,5,6,31,5,10,11,5,23,8,2,0,0,3,6,6,14,0,0,0,31
9,507,509,66,80,131,63,70,90,184,196,81,31,13,11,346,2,431,10,75,152,21,52,41,153,267,66,93,80,28,100,167,5,16,20,26,70,52,78,0,0,0,267
10,410,387,48,67,58,46,62,88,144,97,94,62,19,12,537,0,12,1,14,233,13,35,36,121,205,50,71,61,23,82,123,0,0,12,16,43,29,105,0,0,0,205
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,46,64,0,0,0,0,0,29,16,24,0,41,0,0,0,0,0,0,0,110,20,22,8,6,56,19,22,10,5,46,10,0,0,0,14,0,15,27,0,0,0,56
13,48,59,5,1,5,2,4,9,16,16,11,24,10,4,11,0,26,1,1,68,19,21,7,4,51,9,19,16,7,40,11,2,3,7,5,9,9,16,0,0,0,51
14,240,223,23,30,31,17,25,47,62,82,65,44,26,11,72,24,285,10,11,61,32,63,31,47,173,39,65,52,17,118,55,5,6,39,35,44,16,28,0,0,0,173
15,35,35,6,4,2,5,11,4,16,6,11,3,2,0,7,3,49,0,2,9,3,6,3,9,21,3,8,7,3,11,10,0,0,5,10,3,2,1,0,0,0,21
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,37,45,2,4,1,1,4,19,14,11,0,19,5,2,2,2,39,1,3,35,20,16,6,3,45,9,16,13,7,40,5,4,2,10,15,9,4,1,0,0,0,45
18,30,45,3,5,4,7,10,3,12,5,10,4,7,5,1,0,16,0,4,54,8,10,7,6,31,7,9,11,4,20,11,0,2,3,5,9,3,9,0,0,0,31
19,13,21,2,0,0,0,2,1,10,1,3,12,1,2,2,0,2,0,1,29,7,5,3,2,17,4,7,4,2,13,4,1,2,2,2,2,2,6,0,0,0,17
20,77,52,3,15,12,6,11,9,21,13,20,10,1,8,0,2,101,2,12,12,12,16,9,11,48,7,19,15,7,27,21,6,10,18,7,7,0,0,0,0,0,48
21,44,45,4,0,11,3,10,10,11,6,16,15,3,0,5,2,15,0,12,55,9,12,6,7,34,9,13,10,2,26,8,0,2,3,4,6,1,18,0,0,0,34
22,10,32,0,0,5,3,4,3,10,8,8,1,0,0,5,0,13,5,2,17,5,6,3,2,16,2,8,4,2,12,4,3,3,2,2,3,3,0,0,0,0,16
23,38,49,5,10,12,0,12,11,2,19,10,2,2,2,1,4,58,0,0,24,6,7,5,8,26,3,9,10,4,13,13,1,4,5,8,5,3,0,0,0,0,26
24,71,83,15,13,12,2,11,20,13,19,17,19,9,4,6,6,128,0,5,9,3,9,6,24,42,7,16,13,6,25,17,6,7,11,10,7,1,0,0,0,0,42
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,101,104,8,7,7,11,32,19,26,25,36,24,8,2,33,11,68,5,32,56,13,23,10,25,71,21,27,17,6,50,21,3,5,12,11,17,11,12,0,0,0,71
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,17,18,0,0,0,0,2,7,5,11,7,3,0,0,1,2,16,0,1,15,7,7,2,0,16,2,8,4,2,14,2,2,1,3,4,4,1,1,0,0,0,16
30,92,112,8,14,25,15,12,11,25,38,32,17,2,5,71,2,24,2,15,90,10,21,12,27,70,18,24,22,6,39,31,0,2,2,7,15,12,32,0,0,0,70
31,254,231,19,20,42,43,45,89,84,74,46,16,6,1,74,17,262,0,28,104,35,57,37,47,176,42,65,51,18,107,69,6,21,59,43,20,15,12,0,0,0,176
32,101,94,14,21,17,8,35,31,29,13,9,6,9,3,23,9,43,3,30,87,14,26,13,21,74,32,27,14,1,54,20,5,0,13,20,17,6,13,0,0,0,74
33,25,21,0,2,1,1,3,3,10,2,4,12,7,1,0,0,4,2,0,40,6,8,3,3,20,5,9,6,0,17,3,0,0,4,2,3,4,7,0,0,0,20
34,114,148,16,20,9,0,27,34,25,34,53,22,14,8,18,18,93,5,12,116,20,33,19,25,97,23,32,35,7,58,39,7,6,38,26,14,6,0,0,0,0,97
35,24,25,3,3,2,3,4,5,7,8,3,2,7,2,0,0,24,0,1,24,2,6,4,6,18,4,7,5,2,13,5,0,0,2,2,5,2,7,0,0,0,18
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,52,53,8,12,7,7,9,6,14,8,14,8,11,1,4,6,33,2,3,57,8,12,5,11,36,9,14,8,5,23,13,0,5,6,5,9,5,6,0,0,0,36
38,66,84,10,6,6,10,8,38,32,9,11,7,8,5,15,26,51,0,7,51,22,30,10,6,68,13,20,28,7,49,19,2,6,13,15,17,10,5,0,0,0,68
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,49,2,4,7,3,12,7,10,7,2,18,9,8,1,4,14,3,4,63,11,12,7,7,37,6,14,11,6,24,13,2,1,4,6,10,5,9,0,0,0,37
41,15,19,0,0,1,3,1,2,7,10,6,4,0,0,0,0,8,0,1,25,5,5,3,2,15,1,8,4,2,12,3,0,0,2,3,2,2,6,0,0,0,15
42,16,5,2,0,2,1,7,2,2,0,2,0,3,0,4,0,7,1,0,9,2,3,2,2,9,1,3,4,1,4,5,1,0,1,2,2,1,2,0,0,0,9
