mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
281,35,30,3,6,3,1,6,11,8,8,13,4,0,2,0,0,60,2,0,3,5,6,4,6,21,3,8,7,3,11,10,2,3,7,9,0,0,0,0,0,0,21
282,100,112,16,3,0,4,10,83,38,14,11,24,4,5,12,5,71,0,18,106,60,46,11,4,121,28,36,45,12,106,15,1,6,28,38,27,12,9,0,0,0,121
283,69,62,6,11,5,4,7,42,19,11,12,12,0,2,8,2,47,3,10,61,23,24,8,7,62,15,23,18,6,49,13,2,0,15,20,13,4,8,0,0,0,62
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,83,112,11,9,4,2,96,13,23,5,4,18,5,5,17,2,40,3,19,114,26,27,11,15,79,24,30,23,2,67,12,2,5,8,9,4,18,33,0,0,0,79
286,113,114,4,6,9,12,24,45,26,44,33,13,0,11,57,20,78,2,6,64,16,26,21,22,85,17,26,34,8,52,33,8,6,13,17,15,14,12,0,0,0,85
287,151,154,25,23,20,6,33,44,67,35,17,17,15,3,23,18,78,3,33,150,30,42,18,28,118,30,37,41,10,80,38,5,17,20,21,21,20,14,0,0,0,118
288,97,117,13,4,2,0,15,42,70,26,20,14,5,3,33,9,69,2,8,93,73,47,10,5,135,30,46,45,14,129,6,0,14,30,35,21,14,21,0,0,0,135
289,61,51,6,5,6,2,19,16,12,11,9,15,5,6,8,4,26,2,14,58,17,19,9,4,49,12,19,13,5,34,15,1,6,17,6,7,2,10,0,0,0,49
290,30,30,0,1,0,0,5,17,10,7,1,13,0,6,4,0,24,0,1,31,22,12,3,2,39,10,15,9,5,39,0,2,7,10,7,5,1,7,0,0,0,39
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,14,12,4,0,1,3,0,3,8,0,2,3,2,0,2,0,13,0,2,9,6,5,1,0,12,3,4,4,1,10,2,2,3,4,3,0,0,0,0,0,0,12
294,33,44,6,7,7,1,9,12,10,8,4,4,8,1,0,0,43,1,0,33,12,15,5,3,35,9,13,8,5,28,7,1,5,3,12,5,2,7,0,0,0,35
295,59,61,4,7,11,7,23,11,5,13,7,13,15,4,0,0,19,2,5,94,16,19,8,7,50,16,18,14,2,39,11,2,3,2,7,11,9,16,0,0,0,50
296,46,35,0,1,4,3,11,3,7,12,17,7,14,2,5,0,10,0,6,60,9,12,7,6,34,8,10,11,5,25,9,0,0,2,7,6,3,16,0,0,0,34
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,26,24,0,2,1,0,4,7,17,8,3,8,0,0,0,0,8,1,3,38,8,10,3,2,23,5,7,7,4,19,4,0,0,6,5,6,1,5,0,0,0,23
299,33,42,6,8,10,2,6,11,14,7,11,0,0,0,0,0,70,0,0,5,1,8,5,7,21,4,7,7,3,8,13,2,3,9,4,3,0,0,0,0,0,21
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,27,19,4,2,0,5,2,4,2,10,4,9,3,1,1,0,9,2,0,34,10,9,3,1,23,3,8,8,4,17,6,0,2,3,2,7,4,5,0,0,0,23
302,47,39,7,5,1,1,2,24,15,4,8,11,4,4,1,0,23,0,3,59,21,14,6,4,45,10,15,13,7,39,6,2,2,3,10,9,1,18,0,0,0,45
303,82,107,12,17,8,4,18,24,32,32,25,9,8,0,7,6,152,2,2,20,19,34,10,12,75,14,26,27,8,45,30,6,12,23,24,5,5,0,0,0,0,75
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,27,42,3,0,2,4,2,9,8,12,14,8,2,5,0,0,8,0,0,61,15,14,5,2,36,7,12,12,5,28,8,0,6,10,4,9,3,4,0,0,0,36
307,38,56,3,5,9,1,2,10,13,9,14,6,16,6,0,0,34,2,2,56,12,14,8,6,40,9,13,12,6,32,8,0,3,4,4,6,8,15,0,0,0,40
308,349,400,42,19,46,49,52,77,56,87,127,84,101,9,98,9,604,1,5,32,0,21,24,128,173,46,60,49,18,75,98,5,8,44,34,39,26,17,0,0,0,173
309,75,77,8,12,13,1,13,19,20,18,15,13,14,6,3,6,139,0,1,3,2,8,6,23,39,12,14,9,4,18,21,4,6,15,6,7,1,0,0,0,0,39
310,12,8,0,0,1,0,6,2,4,5,0,2,0,0,0,0,11,0,2,7,0,3,1,3,7,1,2,4,0,1,6,0,0,2,2,2,1,0,0,0,0,7
311,84,113,21,22,18,13,12,11,30,19,19,25,7,0,3,2,160,0,4,28,0,13,8,29,50,21,19,8,2,34,16,0,6,11,10,17,3,3,0,0,0,50
312,74,115,12,21,11,8,15,54,23,7,26,8,1,3,14,38,88,0,9,40,33,33,11,10,87,26,36,19,6,75,12,13,12,24,24,12,2,0,0,0,0,87
313,46,73,5,7,11,4,7,16,8,22,15,23,1,0,11,0,103,2,0,3,3,15,6,12,36,19,13,4,0,31,5,5,5,10,10,5,0,1,0,0,0,36
314,30,33,1,0,8,5,3,7,0,9,5,9,10,6,11,2,2,0,1,47,8,9,6,2,25,18,7,0,0,25,0,1,1,2,2,6,2,11,0,0,0,25
315,50,37,6,5,11,6,0,3,18,12,7,11,7,1,0,0,12,2,16,57,10,14,6,6,36,18,13,5,0,31,5,0,1,6,7,6,6,10,0,0,0,36
316,135,125,23,13,15,8,14,61,37,27,20,23,11,8,79,14,102,4,10,51,39,44,19,13,115,37,47,25,6,94,21,6,12,25,38,16,8,10,0,0,0,115
