mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,188,202,12,8,22,10,28,20,37,34,60,67,83,9,151,48,114,1,25,51,44,64,28,31,167,45,57,48,17,134,33,14,18,55,51,17,10,2,0,0,0,167
2,11,14,0,1,0,0,1,0,6,4,5,5,3,0,5,0,10,2,2,6,10,6,0,0,16,2,8,4,2,14,2,5,0,1,2,3,1,4,0,0,58,74
3,234,277,54,44,33,18,27,56,55,59,52,32,50,31,17,11,128,2,11,342,36,71,36,50,193,64,74,44,11,129,64,27,43,53,50,11,9,0,0,0,0,193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53,42,2,1,9,6,11,1,14,14,9,15,10,3,0,0,19,0,0,76,10,15,6,9,40,10,15,10,5,27,13,3,0,5,7,7,5,13,0,0,0,40
6,45,30,3,2,4,5,8,9,7,10,9,14,4,0,1,0,12,0,0,62,9,11,5,7,32,8,12,8,4,21,11,0,0,0,3,8,5,16,0,0,0,32
7,48,72,12,13,0,1,10,18,26,8,6,2,13,11,1,0,26,4,0,89,11,16,6,13,46,11,15,14,6,30,16,4,0,8,8,10,5,11,0,0,0,46
8,38,30,2,4,3,2,2,0,7,9,7,15,13,4,1,9,4,0,0,54,9,11,5,6,31,8,12,7,4,25,6,5,0,0,3,7,6,10,0,0,0,31
9,476,493,58,76,104,57,66,82,180,184,86,36,21,19,338,0,395,8,84,144,19,53,44,151,267,93,109,49,16,157,110,0,14,15,27,71,57,83,0,0,0,267
10,384,375,47,57,54,42,58,77,140,98,88,58,23,17,529,0,11,1,16,202,14,36,38,116,204,61,66,56,21,91,113,0,0,11,17,41,28,107,0,0,0,204
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,38,58,0,0,0,2,0,26,13,22,0,30,0,3,1,0,4,0,0,91,24,18,5,3,50,17,20,11,2,41,9,0,0,1,13,0,13,23,0,0,0,50
13,44,57,2,2,4,0,6,11,15,16,8,21,10,6,3,0,29,0,1,68,19,21,5,5,50,13,17,14,6,40,10,3,3,6,6,6,11,15,0,0,0,50
14,220,225,23,27,22,13,23,43,57,80,61,52,31,13,76,14,273,11,9,62,35,63,29,46,173,49,71,43,10,128,45,6,6,42,31,43,16,29,0,0,0,173
15,32,34,5,3,2,6,9,4,13,6,10,3,5,0,7,3,46,0,0,10,2,5,4,10,21,2,8,8,3,10,11,0,0,8,6,3,2,2,0,0,0,21
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
