mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,188,213,13,8,24,12,28,21,39,36,66,71,74,9,153,49,116,1,25,57,42,66,29,31,168,60,70,30,8,150,18,15,18,54,51,17,11,2,0,0,0,168
2,15,13,0,1,0,0,1,0,5,3,5,8,5,0,4,2,10,1,3,8,13,5,0,0,18,4,7,5,2,18,0,5,0,1,2,3,2,5,0,0,59,77
3,243,277,58,46,35,21,26,61,54,57,55,34,47,26,12,14,131,3,10,350,35,70,38,50,193,47,63,61,22,104,89,25,43,53,51,12,9,0,0,0,0,193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,52,45,2,1,8,5,10,1,13,17,8,20,9,3,0,0,19,0,0,78,10,16,6,8,40,10,15,10,5,28,12,2,0,5,6,7,6,14,0,0,0,40
6,42,35,3,2,3,5,9,9,7,8,7,21,3,0,0,0,11,0,0,66,9,12,5,6,32,8,12,8,4,22,10,0,0,0,3,8,6,15,0,0,0,32
7,50,73,12,13,0,1,10,20,27,8,9,2,13,8,0,0,25,4,0,94,12,16,7,11,46,21,15,9,1,38,8,3,0,8,8,9,5,13,0,0,0,46
8,37,33,4,4,4,3,2,0,7,10,6,13,13,4,0,8,3,0,0,59,9,12,5,5,31,8,11,9,3,25,6,4,1,0,3,7,6,10,0,0,0,31
9,492,501,60,79,110,59,73,87,187,187,82,33,21,15,341,0,403,10,89,150,19,55,53,140,267,69,87,84,27,99,168,5,16,19,27,70,52,78,0,0,0,267
10,391,388,48,59,53,44,58,80,146,100,95,61,20,15,538,0,11,2,15,213,13,34,31,127,205,68,80,47,10,113,92,0,0,12,16,42,28,107,0,0,0,205
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,47,63,0,0,0,2,0,28,15,25,0,38,0,2,1,0,3,0,0,106,26,21,5,4,56,28,19,8,1,50,6,0,0,0,15,0,15,26,0,0,0,56
13,48,58,2,2,5,0,6,13,17,17,9,19,10,6,4,0,31,0,1,70,20,21,7,3,51,12,18,14,7,41,10,4,4,7,5,7,10,14,0,0,0,51
14,225,230,23,31,25,13,25,45,62,82,59,46,32,12,77,15,283,11,8,61,35,61,30,47,173,45,61,51,16,122,51,5,6,40,33,44,16,29,0,0,0,173
15,34,34,5,5,3,6,7,5,16,7,10,2,2,0,8,2,48,0,0,10,1,6,4,10,21,5,8,5,3,13,8,0,0,7,7,3,2,2,0,0,0,21
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,35,48,2,4,0,0,7,13,17,9,2,17,8,4,2,3,39,0,2,37,20,16,6,3,45,19,16,9,1,44,1,2,2,12,13,10,4,2,0,0,0,45
18,33,42,2,5,1,5,10,2,14,6,11,3,12,4,2,0,15,0,4,54,9,12,6,4,31,8,10,9,4,20,11,0,2,4,5,8,5,7,0,0,0,31
19,12,22,1,1,0,0,1,1,12,0,4,10,2,2,4,0,3,0,2,25,7,8,2,0,17,7,6,4,0,15,2,2,0,0,2,2,2,9,0,0,0,17
20,74,55,4,12,10,6,14,9,27,11,20,11,0,5,0,2,105,1,9,12,9,17,10,12,48,10,17,14,7,28,20,8,10,16,7,7,0,0,0,0,0,48
21,47,42,4,0,5,3,11,9,14,6,15,20,2,0,5,1,13,0,17,53,9,11,6,8,34,7,11,10,6,23,11,0,2,5,3,6,0,18,0,0,0,34
22,6,34,0,0,3,3,4,4,12,4,8,2,0,0,6,1,15,3,3,12,5,6,3,2,16,10,4,2,0,16,0,3,4,2,2,2,3,0,0,0,0,16
23,40,47,4,8,11,0,11,13,4,17,11,3,2,3,1,5,53,2,1,25,3,8,5,10,26,6,10,8,2,18,8,3,2,5,5,6,4,1,0,0,0,26
24,71,81,13,14,14,1,10,16,13,15,18,20,12,6,9,9,120,1,5,8,3,10,6,23,42,12,18,11,1,32,10,6,7,12,9,7,1,0,0,0,0,42
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,95,105,7,6,7,7,26,15,27,28,39,23,10,5,35,12,68,2,29,54,12,22,15,22,71,14,24,25,8,43,28,4,7,14,8,17,10,11,0,0,0,71
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,41,27,0,0,0,0,0,21,10,16,17,4,0,0,0,4,24,0,2,38,10,12,7,3,32,5,11,11,5,27,5,7,4,9,8,4,0,0,0,0,0,32
30,94,106,11,14,22,13,9,9,34,34,29,16,2,7,79,1,23,3,15,79,10,17,18,25,70,14,20,29,7,32,38,0,3,4,4,16,11,32,0,0,0,70
31,258,222,18,27,40,34,47,90,80,77,44,13,7,3,87,17,240,0,34,102,31,54,42,49,176,47,60,51,18,108,68,7,20,60,41,21,14,13,0,0,0,176
32,88,101,11,18,16,8,29,35,30,16,6,6,11,3,24,8,44,4,26,83,16,25,12,21,74,16,24,26,8,35,39,5,0,13,20,17,6,13,0,0,0,74
33,29,17,3,1,0,1,5,1,9,5,3,10,8,0,0,0,7,0,0,39,5,7,5,3,20,4,7,6,3,14,6,0,0,5,2,2,3,8,0,0,0,20
34,113,146,13,15,11,1,31,34,28,32,52,16,14,12,17,17,100,2,14,109,17,34,19,27,97,17,31,40,9,52,45,8,5,37,25,15,7,0,0,0,0,97
35,22,27,3,3,0,2,6,4,6,8,3,1,11,2,0,0,18,0,0,31,3,7,4,4,18,3,7,5,3,11,7,0,0,2,1,7,1,7,0,0,0,18
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,52,51,9,9,7,4,10,11,11,6,14,6,16,0,6,7,22,0,6,62,8,9,9,10,36,5,12,13,6,17,19,0,5,6,6,6,6,7,0,0,0,36
38,64,88,10,8,6,10,7,30,33,12,14,8,10,4,8,32,51,0,3,58,22,28,11,8,69,17,23,22,7,53,16,2,7,16,15,17,8,4,0,0,0,69
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,47,42,3,4,7,4,15,6,8,9,1,17,7,8,1,2,19,1,4,62,10,14,7,6,37,8,12,11,6,24,13,4,2,6,3,9,3,10,0,0,0,37
