HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
1195,1,7301,21,0,5.0,1,4.0,1.0,60.0,1,1,1,White,MIL,1.0,9825.0,19.0,0,553010,55
1196,1,7316,31,0,5.0,1,4.0,1.0,55.0,2,1,1,Black,MIL,1.0,3645.0,21.0,0,319092,31
1197,1,7316,20,0,5.0,2,4.0,1.0,60.0,8,2,1,Hispanic,MIL,1.0,9825.0,16.0,0,553010,55
1198,1,7321,78,0,,1,6.0,2.0,,1,1,0,White,0,,,19.0,0,0,0
1199,1,7301,20,0,5.0,1,4.0,1.0,60.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1200,1,7313,34,0,1.0,2,6.0,4.0,40.0,1,1,0,White,54,5.0,5120.0,16.0,0,433031,43
1201,1,7315,20,15,1.0,1,6.0,4.0,5.0,6,1,0,Asian,61,5.0,230.0,18.0,0,119030,11
1202,1,7306,94,0,,2,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1203,1,7322,39,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,16.0,0,0,0
1204,1,7322,48,0,,1,6.0,4.0,,2,1,0,Black,0,,,13.0,0,0,0
1205,1,7301,21,0,5.0,1,4.0,1.0,50.0,8,2,1,Hispanic,MIL,1.0,7210.0,16.0,0,493031,49
1206,1,7301,21,0,5.0,1,4.0,1.0,45.0,2,1,1,Black,MIL,1.0,9130.0,16.0,0,533030,53
1207,1,7316,49,0,,2,6.0,4.0,,1,1,0,White,0,,,12.0,0,0,0
1208,1,7310,23,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,9830.0,16.0,0,559830,55
1209,1,7301,22,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,1010.0,16.0,0,151251,15
1210,1,7313,49,0,,1,6.0,4.0,,7,1,0,Other,0,,,19.0,0,0,0
1211,1,7301,19,0,5.0,1,4.0,1.0,40.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1212,1,7301,24,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,1108.0,20.0,0,151299,15
1213,1,7321,51,0,5.0,1,4.0,1.0,95.0,1,1,1,White,MIL,1.0,9810.0,19.0,0,552010,55
1214,1,7316,29,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,14.0,0,0,0
1215,1,7313,35,0,1.0,2,6.0,4.0,40.0,6,1,0,Asian,54,5.0,5120.0,16.0,0,433031,43
1216,1,7301,24,0,5.0,1,4.0,1.0,50.0,1,2,1,Hispanic,MIL,1.0,7640.0,16.0,0,4990XX,49
1217,1,7303,62,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,19.0,0,0,0
1218,1,7321,20,0,5.0,1,4.0,1.0,60.0,1,1,1,White,MIL,1.0,9300.0,16.0,0,5350XX,53
1219,1,7317,18,15,,2,6.0,4.0,,6,1,0,Asian,0,,,18.0,0,0,0
1220,1,7322,40,0,,1,6.0,4.0,,2,1,0,Black,0,,,16.0,0,0,0
1221,1,7303,29,0,,2,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1222,1,7316,48,0,1.0,1,6.0,4.0,,8,3,0,Hispanic,33,,8650.0,9.0,0,519020,51
1223,1,7310,18,0,1.0,1,6.0,2.0,20.0,1,1,0,White,51,4.0,4720.0,16.0,0,412010,41
1224,1,7316,19,0,5.0,2,4.0,1.0,65.0,1,1,1,White,MIL,1.0,9310.0,18.0,0,535020,53
1225,1,7310,19,15,,2,6.0,4.0,,6,1,0,Asian,0,,,18.0,0,0,0
1226,1,7301,19,0,5.0,1,4.0,1.0,40.0,9,2,1,Hispanic,MIL,1.0,9825.0,16.0,0,553010,55
1227,1,7312,26,0,5.0,1,4.0,1.0,80.0,2,1,1,Black,MIL,1.0,7340.0,19.0,0,499071,49
1228,1,7322,27,0,,1,6.0,4.0,,2,1,0,Black,0,,,14.0,0,0,0
1229,1,7319,35,0,1.0,1,6.0,4.0,40.0,2,1,0,Black,23,2.0,6330.0,16.0,0,472080,47
1230,1,7301,20,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,1010.0,16.0,0,151251,15
1231,1,7301,19,0,5.0,1,4.0,1.0,55.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1232,1,7310,20,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,3870.0,16.0,0,333050,33
1233,1,7315,19,15,1.0,2,6.0,4.0,20.0,1,2,0,Hispanic,722,6.0,4720.0,19.0,0,412010,41
1234,1,7301,20,0,5.0,1,4.0,1.0,50.0,8,3,1,Hispanic,MIL,1.0,9830.0,16.0,0,559830,55
1235,1,7315,20,15,2.0,2,6.0,4.0,10.0,6,1,0,Asian,61,6.0,1970.0,19.0,0,1940YY,19
1236,1,7313,94,0,,2,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1237,1,7315,19,15,2.0,1,6.0,4.0,4.0,1,1,0,White,81,5.0,2905.0,19.0,0,2740XX,27
1238,1,7310,68,0,,1,6.0,2.0,,1,1,0,White,0,,,10.0,0,0,0
1239,1,7312,22,0,5.0,1,4.0,1.0,60.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1240,1,7310,64,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1241,1,7319,56,0,6.0,1,6.0,4.0,40.0,2,1,0,Black,56,2.0,4230.0,18.0,0,372012,37
1242,1,7310,65,0,,2,6.0,4.0,,9,1,0,Two or More,0,,,23.0,0,0,0
1243,1,7321,55,0,2.0,2,6.0,4.0,,1,1,0,White,45,,9620.0,14.0,0,537062,53
1244,1,7313,27,0,1.0,2,6.0,4.0,,1,1,0,White,722,,4110.0,18.0,0,353031,35
1245,1,7303,31,0,,1,6.0,4.0,,2,1,0,Black,0,,,13.0,0,0,0
1246,1,7322,27,0,,1,6.0,4.0,,2,1,0,Black,0,,,19.0,0,0,0
1247,1,7312,21,0,5.0,1,4.0,1.0,55.0,1,1,1,White,MIL,1.0,9825.0,18.0,0,553010,55
1248,1,7316,38,0,5.0,1,4.0,1.0,80.0,8,2,1,Hispanic,MIL,1.0,1105.0,20.0,0,151244,15
1249,1,7315,19,15,1.0,2,6.0,4.0,40.0,1,1,0,White,54,5.0,5740.0,19.0,0,436014,43
1250,1,7313,66,0,,1,6.0,4.0,,1,24,0,Hispanic,0,,,19.0,0,0,0
1251,1,7316,21,0,5.0,1,4.0,1.0,70.0,9,1,1,Two or More,MIL,1.0,9825.0,16.0,0,553010,55
1252,1,7313,31,0,1.0,2,6.0,4.0,,1,16,0,Hispanic,62,,3645.0,19.0,0,319092,31
1253,1,7316,66,0,6.0,2,6.0,4.0,5.0,1,1,0,White,81,2.0,4350.0,19.0,0,392021,39
1254,1,7320,83,13,,1,6.0,4.0,,1,1,0,White,0,,,13.0,0,0,0
1255,1,7318,26,0,1.0,2,1.0,4.0,20.0,1,1,1,White,44,1.0,4720.0,16.0,1,412010,41
1256,1,7301,18,0,5.0,1,4.0,1.0,50.0,1,2,1,Hispanic,MIL,1.0,9130.0,18.0,0,533030,53
1257,1,7319,44,0,6.0,1,6.0,4.0,,1,1,0,White,56,,725.0,19.0,0,131121,13
1258,1,7301,23,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,7030.0,16.0,0,492091,49
1259,1,7310,19,0,5.0,1,4.0,1.0,70.0,2,1,1,Black,MIL,1.0,4760.0,16.0,0,412031,41
1260,1,7307,67,0,,2,6.0,4.0,,1,1,0,White,0,,,24.0,0,0,0
1261,1,7316,41,0,1.0,1,6.0,4.0,40.0,1,1,0,White,44,5.0,4251.0,16.0,0,373011,37
1262,1,7310,63,0,,1,6.0,4.0,,2,1,0,Black,0,,,14.0,0,0,0
1263,1,7313,63,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,19.0,0,0,0
1264,1,7316,71,0,,2,6.0,4.0,,1,1,0,White,0,,,20.0,0,0,0
1265,1,7307,52,0,5.0,1,6.0,4.0,38.0,1,1,0,White,92,1.0,5860.0,9.0,0,439061,43
1266,1,7307,76,0,,2,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
1267,1,7301,29,0,5.0,1,4.0,1.0,55.0,1,1,1,White,MIL,1.0,3870.0,19.0,0,333050,33
1268,1,7301,19,0,5.0,1,4.0,1.0,55.0,8,2,1,Hispanic,MIL,1.0,9830.0,16.0,0,559830,55
1269,1,7301,18,14,5.0,1,4.0,1.0,81.0,1,2,1,Hispanic,MIL,6.0,9830.0,18.0,0,559830,55
1270,1,7310,19,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1271,1,7310,48,0,1.0,1,1.0,4.0,40.0,1,1,1,White,721,1.0,3930.0,19.0,1,339030,33
1272,1,7313,77,0,,2,6.0,4.0,,8,2,0,Hispanic,0,,,24.0,0,0,0
1273,1,7315,19,15,1.0,2,2.0,4.0,12.0,1,1,1,White,54,5.0,735.0,19.0,1,131161,13
1274,1,7319,56,0,1.0,1,6.0,4.0,,1,1,0,White,62,,4220.0,19.0,0,37201X,37
1275,1,7305,56,0,,1,6.0,2.0,,1,1,0,White,0,,,19.0,0,0,0
