SERIALNO,HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,isinlaborforce
2017000000336,1,1,7307,33,0,1.0,1,1.0,4.0,50.0,1
2017000000336,1,2,7307,30,0,2.0,2,1.0,4.0,40.0,1
2017000000634,2,1,7301,63,15,2.0,2,1.0,4.0,32.0,1
2017000000634,2,2,7301,69,15,1.0,1,1.0,4.0,40.0,1
2017000000634,2,3,7301,27,0,1.0,1,1.0,4.0,40.0,1
2017000000674,3,1,7311,33,0,1.0,1,1.0,4.0,80.0,1
2017000000674,3,2,7311,33,0,,2,6.0,4.0,,0
2017000000674,3,3,7311,1,0,,2,,,,0
2017000000716,4,1,7318,84,0,,1,6.0,2.0,,0
2017000000716,4,2,7318,90,0,,1,6.0,2.0,,0
2017000000754,5,1,7302,23,0,1.0,1,1.0,4.0,40.0,1
2017000000754,5,2,7302,20,0,1.0,2,1.0,4.0,40.0,1
2017000000998,6,1,7313,48,0,1.0,1,1.0,4.0,50.0,1
2017000000998,6,2,7313,48,0,4.0,2,1.0,4.0,45.0,1
2017000000998,6,3,7313,23,0,1.0,1,1.0,4.0,40.0,1
2017000000998,6,4,7313,21,15,1.0,2,1.0,4.0,30.0,1
2017000001055,7,1,7314,67,0,1.0,1,3.0,4.0,40.0,1
2017000001143,8,1,7301,53,0,1.0,2,1.0,4.0,40.0,1
2017000001195,9,1,7318,70,0,,2,6.0,4.0,,0
2017000001229,10,1,7310,54,0,6.0,1,1.0,4.0,30.0,1
2017000001280,11,1,7317,63,0,1.0,1,1.0,4.0,30.0,1
2017000001318,12,1,7322,29,0,1.0,1,1.0,4.0,40.0,1
2017000001318,12,2,7322,25,15,1.0,2,1.0,4.0,40.0,1
2017000001512,13,1,7311,34,0,4.0,1,1.0,4.0,40.0,1
2017000001512,13,2,7311,31,0,6.0,2,6.0,4.0,,0
2017000001512,13,3,7311,9,6,,2,,,,0
2017000001512,13,4,7311,5,1,,2,,,,0
2017000001512,13,5,7311,3,1,,2,,,,0
2017000001548,14,1,7309,34,0,1.0,2,1.0,4.0,24.0,1
2017000001548,14,2,7309,34,0,7.0,1,1.0,4.0,55.0,1
2017000001548,14,3,7309,3,1,,2,,,,0
2017000001570,15,1,7306,45,0,1.0,1,1.0,4.0,50.0,1
2017000001570,15,2,7306,46,0,1.0,2,1.0,4.0,25.0,1
2017000001570,15,3,7306,14,10,,1,,,,0
2017000001570,15,4,7306,11,8,,2,,,,0
2017000001726,16,1,7317,54,0,1.0,2,1.0,4.0,50.0,1
2017000001726,16,2,7317,51,0,1.0,2,1.0,4.0,30.0,1
2017000001973,17,1,7310,76,0,,1,6.0,4.0,,0
2017000001973,17,2,7310,76,0,,2,6.0,4.0,,0
2017000001973,17,3,7310,16,14,1.0,2,6.0,,4.0,0
2017000001973,17,4,7310,13,10,,2,,,,0
2017000002050,18,1,7321,54,0,3.0,2,1.0,4.0,40.0,1
2017000002099,19,1,7301,71,0,,1,6.0,4.0,,0
2017000002238,20,1,7312,81,0,,2,6.0,2.0,,0
2017000002303,21,1,7306,84,0,,2,6.0,4.0,,0
2017000002500,22,1,7313,36,0,1.0,1,1.0,3.0,40.0,1
2017000002500,22,2,7313,41,0,1.0,2,1.0,2.0,46.0,1
2017000002500,22,3,7313,5,2,,1,,,,0
2017000002679,23,1,7308,40,0,6.0,2,1.0,4.0,40.0,1
2017000002679,23,2,7308,41,0,1.0,1,1.0,4.0,40.0,1
2017000002679,23,3,7308,22,15,1.0,2,1.0,4.0,37.0,1
2017000002679,23,4,7308,10,7,,1,,,,0
2017000002896,24,1,7307,46,0,1.0,1,1.0,2.0,60.0,1
2017000002896,24,2,7307,37,0,1.0,2,6.0,4.0,,0
2017000003025,25,1,7309,38,0,2.0,1,1.0,4.0,40.0,1
2017000003025,25,2,7309,30,15,1.0,2,1.0,2.0,40.0,1
2017000003033,26,1,7317,57,0,,1,6.0,4.0,,0
2017000003051,27,1,7302,63,0,6.0,2,1.0,4.0,30.0,1
2017000003313,28,1,7304,30,0,3.0,1,1.0,4.0,40.0,1
2017000003313,28,2,7304,37,16,2.0,2,6.0,4.0,20.0,0
2017000003319,29,1,7320,69,0,1.0,1,1.0,4.0,18.0,1
2017000003319,29,2,7320,64,0,1.0,2,1.0,4.0,40.0,1
2017000003319,29,3,7320,12,9,,2,,,,0
2017000003319,29,4,7320,10,7,,1,,,,0
2017000003320,30,1,7322,53,15,1.0,1,3.0,4.0,99.0,1
2017000003320,30,2,7322,51,0,1.0,2,1.0,4.0,33.0,1
2017000003320,30,3,7322,24,16,1.0,2,1.0,4.0,25.0,1
2017000003320,30,4,7322,19,15,1.0,1,1.0,4.0,30.0,1
2017000003951,31,1,7312,47,0,1.0,2,1.0,4.0,50.0,1
2017000003951,31,2,7312,34,0,1.0,1,1.0,2.0,40.0,1
2017000003951,31,3,7312,27,0,1.0,1,1.0,4.0,30.0,1
2017000004033,32,1,7311,51,0,7.0,2,1.0,4.0,40.0,1
2017000004033,32,2,7311,54,0,1.0,1,1.0,4.0,40.0,1
2017000004033,32,3,7311,17,0,2.0,2,6.0,4.0,4.0,0
2017000004537,33,1,7313,72,0,5.0,1,6.0,4.0,,0
2017000004537,33,2,7313,68,0,1.0,2,6.0,4.0,,0
2017000004667,34,1,7318,49,0,6.0,1,1.0,4.0,40.0,1
2017000004667,34,2,7318,48,0,3.0,2,1.0,4.0,40.0,1
2017000004667,34,3,7318,26,0,6.0,1,1.0,4.0,40.0,1
2017000004667,34,4,7318,23,0,1.0,1,1.0,4.0,40.0,1
2017000005031,35,1,7308,35,0,5.0,1,1.0,4.0,40.0,1
2017000005031,35,2,7308,45,0,1.0,2,1.0,2.0,60.0,1
2017000005031,35,3,7308,2,0,,2,,,,0
2017000005031,35,4,7308,1,0,,1,,,,0
2017000005084,36,1,7309,81,0,,1,6.0,2.0,,0
2017000005084,36,2,7309,79,16,,2,6.0,4.0,,0
2017000005148,37,1,7305,60,0,1.0,1,1.0,4.0,40.0,1
2017000005148,37,2,7305,57,0,4.0,2,1.0,4.0,40.0,1
2017000005152,38,1,7320,47,0,6.0,2,1.0,4.0,40.0,1
2017000005152,38,2,7320,21,15,1.0,1,1.0,4.0,15.0,1
2017000005152,38,3,7320,18,14,1.0,1,3.0,4.0,40.0,1
2017000005152,38,4,7320,77,0,,1,6.0,4.0,,0
2017000005152,38,5,7320,70,0,1.0,2,6.0,4.0,32.0,0
2017000005152,38,6,7320,56,0,1.0,1,1.0,4.0,70.0,1
2017000005750,39,1,7315,30,0,1.0,2,1.0,4.0,40.0,1
2017000005750,39,2,7315,41,0,5.0,1,1.0,4.0,48.0,1
2017000005750,39,3,7315,0,0,,1,,,,0
2017000005750,39,4,7315,29,16,,2,6.0,4.0,,0
2017000005852,40,1,7310,56,0,1.0,1,1.0,4.0,40.0,1
2017000005852,40,2,7310,53,0,1.0,2,1.0,4.0,30.0,1
2017000006055,41,1,7308,64,0,1.0,2,1.0,4.0,20.0,1
2017000006055,41,2,7308,38,0,9.0,1,3.0,4.0,,1
2017000006229,42,1,7305,68,0,,2,6.0,4.0,,0
2017000006229,42,2,7305,80,0,,1,6.0,4.0,,0
2017000006229,42,3,7305,39,0,1.0,1,1.0,4.0,40.0,1
2017000006277,43,1,7321,45,0,5.0,1,4.0,1.0,55.0,0
2017000006277,43,2,7321,50,15,,2,6.0,4.0,,0
2017000006277,43,3,7321,12,9,,2,,,,0
2017000006309,44,1,7301,28,0,1.0,2,1.0,4.0,42.0,1
2017000006309,44,2,7301,34,0,1.0,1,1.0,4.0,40.0,1
2017000006309,44,3,7301,5,2,,1,,,,0
2017000006309,44,4,7301,3,0,,2,,,,0
2017000006395,45,1,7315,66,0,1.0,1,1.0,4.0,30.0,1
2017000006395,45,2,7315,56,0,1.0,1,1.0,4.0,40.0,1
2017000006593,46,1,7310,40,0,5.0,2,1.0,4.0,40.0,1
2017000006828,47,1,7301,27,15,5.0,2,1.0,2.0,60.0,1
2017000006902,48,1,7317,49,0,3.0,1,1.0,4.0,40.0,1
2017000006902,48,2,7317,47,0,4.0,2,1.0,4.0,24.0,1
2017000006902,48,3,7317,59,0,,2,6.0,4.0,,0
2017000006902,48,4,7317,40,0,,1,6.0,4.0,,0
2017000006902,48,5,7317,29,0,,1,6.0,4.0,,0
2017000006902,48,6,7317,27,0,,2,6.0,4.0,,0
2017000006918,49,1,7322,38,0,1.0,1,1.0,4.0,40.0,1
2017000006918,49,2,7322,36,0,1.0,2,1.0,4.0,15.0,1
2017000006918,49,3,7322,12,9,,2,,,,0
2017000006918,49,4,7322,9,5,,1,,,,0
2017000006945,50,1,7303,59,0,1.0,1,1.0,4.0,56.0,1
2017000006945,50,2,7303,58,0,4.0,2,1.0,4.0,16.0,1
2017000006945,50,3,7303,32,0,,1,6.0,4.0,,0
2017000006945,50,4,7303,28,15,8.0,2,1.0,4.0,40.0,1
2017000006945,50,5,7303,27,0,1.0,2,1.0,4.0,30.0,1
2017000006945,50,6,7303,1,0,,2,,,,0
2017000007518,51,1,7307,76,0,,1,6.0,3.0,,0
2017000007518,51,2,7307,61,0,3.0,2,1.0,4.0,40.0,1
2017000007550,52,1,7304,61,0,,1,6.0,4.0,,0
2017000007586,53,1,7314,29,15,1.0,2,1.0,4.0,40.0,1
2017000007586,53,2,7314,10,7,,2,,,,0
2017000007586,53,3,7314,8,5,,2,,,,0
2017000007586,53,4,7314,7,4,,2,,,,0
2017000007586,53,5,7314,6,2,,2,,,,0
2017000007586,53,6,7314,4,1,,1,,,,0
2017000007641,54,1,7321,74,0,1.0,1,1.0,2.0,40.0,1
2017000007857,55,1,7320,80,0,1.0,1,6.0,3.0,30.0,0
2017000007857,55,2,7320,77,0,1.0,2,6.0,4.0,50.0,0
2017000008236,56,1,7310,50,0,6.0,1,1.0,4.0,40.0,1
2017000008420,57,1,7310,73,0,,1,6.0,4.0,,0
2017000008456,58,1,7306,54,0,1.0,1,2.0,2.0,40.0,1
2017000008456,58,2,7306,47,0,1.0,2,1.0,4.0,50.0,1
2017000008662,59,1,7308,53,0,,2,6.0,4.0,,0
2017000008662,59,2,7308,63,0,1.0,1,1.0,4.0,55.0,1
2017000008662,59,3,7308,19,15,1.0,1,1.0,4.0,15.0,1
2017000008662,59,4,7308,17,14,,2,6.0,4.0,,0
2017000008662,59,5,7308,14,11,,2,,,,0
2017000008662,59,6,7308,11,7,,2,,,,0
2017000008662,59,7,7308,11,7,,1,,,,0
2017000009000,60,1,7311,63,0,3.0,2,1.0,2.0,40.0,1
2017000009000,60,2,7311,33,0,6.0,1,1.0,4.0,60.0,1
2017000009000,60,3,7311,64,0,,2,6.0,4.0,,0
2017000009379,61,1,7317,78,0,,1,6.0,4.0,,0
2017000009379,61,2,7317,75,0,,2,6.0,4.0,,0
2017000009379,61,3,7317,35,0,1.0,1,1.0,4.0,40.0,1
2017000009379,61,4,7317,26,15,1.0,2,6.0,4.0,,0
2017000009416,62,1,7313,52,0,4.0,1,1.0,2.0,50.0,1
2017000009416,62,2,7313,51,0,4.0,2,1.0,4.0,50.0,1
2017000009416,62,3,7313,23,0,1.0,1,1.0,4.0,40.0,1
2017000009515,63,1,7309,31,0,5.0,1,1.0,4.0,40.0,1
2017000009515,63,2,7309,27,0,1.0,2,1.0,4.0,40.0,1
2017000009515,63,3,7309,26,0,1.0,1,6.0,4.0,,0
2017000009560,64,1,7314,28,0,6.0,2,6.0,4.0,,0
2017000009560,64,2,7314,14,10,,1,,,,0
2017000009560,64,3,7314,35,0,3.0,1,1.0,4.0,40.0,1
2017000009560,64,4,7314,9,6,,2,,,,0
2017000009619,65,1,7318,33,0,1.0,1,1.0,4.0,40.0,1
2017000009619,65,2,7318,34,0,1.0,2,1.0,4.0,40.0,1
2017000009619,65,3,7318,7,4,,2,,,,0
2017000009619,65,4,7318,2,0,,1,,,,0
2017000009619,65,5,7318,10,7,,2,,,,0
2017000009619,65,6,7318,54,0,1.0,2,6.0,4.0,,0
2017000009886,66,1,7314,23,0,1.0,2,1.0,4.0,30.0,1
2017000009886,66,2,7314,26,0,5.0,1,4.0,1.0,40.0,0
2017000009910,67,1,7306,37,15,1.0,2,1.0,4.0,80.0,1
2017000009910,67,2,7306,70,0,1.0,1,1.0,4.0,70.0,1
2017000009910,67,3,7306,62,0,1.0,2,1.0,4.0,70.0,1
2017000009984,68,1,7306,30,0,,1,6.0,4.0,,0
2017000009984,68,2,7306,34,0,,2,6.0,4.0,,0
2017000009984,68,3,7306,10,6,,2,,,,0
2017000009984,68,4,7306,3,0,,1,,,,0
2017000010021,69,1,7302,23,0,1.0,2,6.0,4.0,,0
2017000010021,69,2,7302,2,0,,2,,,,0
2017000010172,70,1,7320,60,0,1.0,2,6.0,4.0,,0
2017000010212,71,1,7314,51,0,1.0,1,1.0,4.0,40.0,1
2017000010212,71,2,7314,24,0,1.0,1,1.0,4.0,35.0,1
2017000010212,71,3,7314,22,0,1.0,1,1.0,4.0,35.0,1
2017000010212,71,4,7314,20,15,1.0,2,1.0,4.0,25.0,1
2017000010212,71,5,7314,51,0,3.0,1,1.0,4.0,40.0,1
2017000010212,71,6,7314,50,0,1.0,2,1.0,4.0,40.0,1
2017000010232,72,1,7314,37,0,7.0,2,1.0,4.0,50.0,1
2017000010232,72,2,7314,43,0,1.0,1,1.0,4.0,40.0,1
2017000010232,72,3,7314,13,10,,1,,,,0
2017000010232,72,4,7314,10,7,,2,,,,0
2017000010375,73,1,7321,57,0,2.0,2,1.0,4.0,25.0,1
2017000010375,73,2,7321,20,15,1.0,2,1.0,4.0,15.0,1
2017000010473,74,1,7310,72,0,,2,6.0,4.0,,0
2017000010473,74,2,7310,77,0,6.0,1,1.0,2.0,25.0,1
2017000010538,75,1,7301,26,0,1.0,1,1.0,4.0,39.0,1
2017000010538,75,2,7301,24,15,1.0,2,2.0,4.0,20.0,1
2017000010797,76,1,7301,59,0,1.0,2,1.0,4.0,24.0,1
2017000010893,77,1,7314,23,15,,1,6.0,4.0,,0
2017000010893,77,2,7314,23,15,9.0,2,3.0,4.0,,1
2017000010893,77,3,7314,25,15,,1,6.0,4.0,,0
2017000010960,78,1,7318,58,0,,1,6.0,4.0,,0
2017000010960,78,2,7318,39,0,2.0,2,1.0,4.0,4.0,1
2017000010960,78,3,7318,10,7,,2,,,,0
2017000010986,79,1,7319,34,0,4.0,1,1.0,4.0,40.0,1
2017000010986,79,2,7319,30,0,,2,6.0,4.0,,0
2017000010986,79,3,7319,11,8,,1,,,,0
2017000010986,79,4,7319,10,7,,1,,,,0
2017000010986,79,5,7319,8,4,,2,,,,0
2017000010986,79,6,7319,4,0,,1,,,,0
2017000010986,79,7,7319,3,0,,2,,,,0
2017000011133,80,1,7305,73,0,6.0,2,3.0,4.0,20.0,1
2017000011577,81,1,7309,35,0,1.0,1,1.0,4.0,40.0,1
2017000011577,81,2,7309,34,0,1.0,2,2.0,4.0,40.0,1
2017000011577,81,3,7309,3,0,,1,,,,0
2017000011577,81,4,7309,0,0,,1,,,,0
2017000011586,82,1,7316,37,0,1.0,2,1.0,4.0,40.0,1
2017000011743,83,1,7313,35,0,,2,6.0,4.0,,0
2017000011743,83,2,7313,39,0,1.0,1,1.0,2.0,40.0,1
2017000011743,83,3,7313,10,6,,2,,,,0
2017000011743,83,4,7313,8,4,,1,,,,0
2017000011743,83,5,7313,6,2,,2,,,,0
2017000011743,83,6,7313,4,1,,1,,,,0
2017000011743,83,7,7313,3,1,,2,,,,0
2017000011765,84,1,7322,59,0,1.0,1,1.0,4.0,40.0,1
2017000011765,84,2,7322,61,0,,2,6.0,4.0,,0
2017000011765,84,3,7322,26,0,1.0,1,3.0,4.0,,1
2017000011765,84,4,7322,23,0,1.0,1,1.0,4.0,40.0,1
2017000011765,84,5,7322,72,0,,1,6.0,4.0,,0
2017000011927,85,1,7311,67,0,2.0,1,1.0,2.0,24.0,1
2017000011931,86,1,7321,87,0,,2,6.0,4.0,,0
2017000012059,87,1,7322,69,0,8.0,2,6.0,4.0,,0
2017000012059,87,2,7322,71,0,,1,6.0,4.0,,0
2017000012133,88,1,7303,78,0,,1,6.0,4.0,,0
2017000012170,89,1,7319,67,0,3.0,1,1.0,2.0,40.0,1
2017000012170,89,2,7319,69,0,1.0,2,6.0,4.0,,0
2017000012170,89,3,7319,37,0,1.0,2,1.0,4.0,40.0,1
2017000012314,90,1,7306,70,0,1.0,2,1.0,4.0,50.0,1
2017000012314,90,2,7306,84,0,6.0,1,6.0,4.0,10.0,0
2017000012314,90,3,7306,38,0,3.0,2,1.0,4.0,30.0,1
2017000012314,90,4,7306,3,1,,1,,,,0
2017000012314,90,5,7306,39,0,7.0,1,1.0,4.0,60.0,1
2017000012485,91,1,7310,38,0,1.0,1,1.0,4.0,42.0,1
2017000012485,91,2,7310,36,0,4.0,2,1.0,4.0,50.0,1
2017000012510,92,1,7311,46,0,1.0,1,1.0,4.0,40.0,1
2017000012510,92,2,7311,47,0,,2,6.0,4.0,,0
2017000012510,92,3,7311,17,13,,1,6.0,4.0,,0
2017000012516,93,1,7317,57,15,,2,6.0,4.0,,0
2017000012555,94,1,7321,39,0,,1,6.0,4.0,,0
2017000012555,94,2,7321,39,0,1.0,2,3.0,4.0,40.0,1
2017000012555,94,3,7321,17,14,,1,6.0,4.0,,0
2017000012555,94,4,7321,7,5,,2,,,,0
2017000012555,94,5,7321,60,0,,2,6.0,4.0,,0
2017000012555,94,6,7321,55,0,9.0,1,3.0,4.0,,1
2017000012624,95,1,7322,34,0,1.0,2,1.0,4.0,30.0,1
2017000012624,95,2,7322,33,0,1.0,1,1.0,4.0,40.0,1
2017000012624,95,3,7322,7,4,,2,,,,0
2017000012767,96,1,7313,34,0,1.0,2,1.0,4.0,60.0,1
2017000012767,96,2,7313,3,1,,2,,,,0
2017000013220,97,1,7303,94,0,,1,6.0,4.0,,0
2017000013220,97,2,7303,94,0,,2,6.0,4.0,,0
2017000013220,97,3,7303,71,0,1.0,1,1.0,4.0,40.0,1
2017000013220,97,4,7303,69,0,1.0,2,1.0,4.0,40.0,1
2017000013220,97,5,7303,57,0,6.0,1,3.0,4.0,,1
2017000013220,97,6,7303,23,15,,1,6.0,4.0,,0
2017000013220,97,7,7303,63,0,1.0,2,6.0,4.0,30.0,0
2017000013317,98,1,7304,72,0,,2,6.0,4.0,,0
2017000013317,98,2,7304,71,0,,1,6.0,2.0,,0
2017000013364,99,1,7312,76,0,,1,6.0,2.0,,0
2017000013364,99,2,7312,76,0,,2,6.0,2.0,,0
2017000014076,100,1,7317,33,0,1.0,1,1.0,4.0,40.0,1
2017000014076,100,2,7317,35,0,6.0,2,6.0,4.0,,0
2017000014115,101,1,7308,35,0,1.0,2,1.0,4.0,40.0,1
2017000014115,101,2,7308,34,0,1.0,1,1.0,4.0,40.0,1
2017000014115,101,3,7308,10,7,,1,,,,0
2017000014115,101,4,7308,9,5,,2,,,,0
2017000014472,102,1,7317,64,0,4.0,2,6.0,4.0,,0
2017000014527,103,1,7318,55,0,1.0,1,1.0,4.0,40.0,1
2017000014527,103,2,7318,55,15,1.0,2,1.0,4.0,40.0,1
2017000014527,103,3,7318,24,15,1.0,2,1.0,4.0,20.0,1
2017000014539,104,1,7319,65,0,1.0,1,1.0,2.0,40.0,1
2017000014539,104,2,7319,61,0,1.0,2,2.0,4.0,40.0,1
2017000014539,104,3,7319,23,15,5.0,1,1.0,4.0,40.0,1
2017000014539,104,4,7319,20,15,1.0,1,6.0,4.0,16.0,0
2017000014748,105,1,7310,60,0,6.0,2,1.0,4.0,55.0,1
2017000014748,105,2,7310,22,0,1.0,2,1.0,4.0,35.0,1
2017000014748,105,3,7310,16,13,,1,6.0,,,0
2017000015015,106,1,7318,63,0,1.0,1,1.0,2.0,40.0,1
2017000015015,106,2,7318,68,0,,2,6.0,4.0,,0
2017000015103,107,1,7309,29,0,1.0,1,1.0,4.0,55.0,1
2017000015103,107,2,7309,27,0,1.0,2,1.0,4.0,24.0,1
2017000015262,108,1,7308,70,0,,1,6.0,3.0,,0
2017000015393,109,1,7315,29,15,1.0,2,1.0,4.0,20.0,1
2017000015393,109,2,7315,33,0,1.0,1,1.0,4.0,55.0,1
2017000015393,109,3,7315,4,0,,2,,,,0
2017000015393,109,4,7315,1,0,,1,,,,0
2017000015528,110,1,7302,52,0,9.0,2,3.0,4.0,,1
2017000015528,110,2,7302,24,15,,2,6.0,4.0,,0
2017000015528,110,3,7302,17,14,,1,6.0,4.0,,0
2017000015557,111,1,7313,78,0,,1,6.0,2.0,,0
2017000015557,111,2,7313,67,0,3.0,2,1.0,4.0,20.0,1
2017000015557,111,3,7313,46,0,1.0,2,1.0,4.0,50.0,1
2017000015690,112,1,7319,56,0,6.0,1,6.0,4.0,,0
2017000015690,112,2,7319,23,0,,1,6.0,4.0,,0
2017000015690,112,3,7319,57,0,,2,6.0,4.0,,0
2017000015909,113,1,7309,59,0,,2,6.0,4.0,,0
2017000015909,113,2,7309,57,0,6.0,1,1.0,4.0,80.0,1
2017000015946,114,1,7314,53,0,2.0,2,1.0,4.0,40.0,1
2017000016091,115,1,7310,68,0,1.0,1,6.0,2.0,40.0,0
2017000016229,116,1,7318,50,0,3.0,1,1.0,4.0,40.0,1
2017000016229,116,2,7318,50,0,1.0,2,1.0,4.0,40.0,1
2017000016229,116,3,7318,24,0,1.0,1,1.0,4.0,40.0,1
2017000016229,116,4,7318,23,15,1.0,1,1.0,4.0,50.0,1
2017000016268,117,1,7320,35,0,2.0,2,1.0,4.0,30.0,1
2017000016268,117,2,7320,42,0,1.0,1,1.0,4.0,40.0,1
2017000016268,117,3,7320,4,1,,1,,,,0
2017000016268,117,4,7320,2,0,,2,,,,0
2017000016284,118,1,7306,75,0,2.0,2,6.0,4.0,,0
2017000016603,119,1,7319,69,0,4.0,1,1.0,2.0,40.0,1
2017000016603,119,2,7319,65,0,,2,6.0,4.0,,0
2017000016897,120,1,7310,25,0,1.0,1,1.0,4.0,40.0,1
2017000016897,120,2,7310,24,0,1.0,2,1.0,4.0,30.0,1
2017000016974,121,1,7311,47,0,1.0,1,1.0,4.0,50.0,1
2017000016974,121,2,7311,47,0,1.0,2,6.0,4.0,,0
2017000016974,121,3,7311,13,10,,2,,,,0
2017000016974,121,4,7311,11,8,,2,,,,0
2017000017043,122,1,7304,44,0,6.0,2,1.0,3.0,40.0,1
2017000017043,122,2,7304,47,0,3.0,1,1.0,4.0,40.0,1
2017000017043,122,3,7304,5,3,,1,,,,0
2017000017131,123,1,7302,46,0,1.0,1,1.0,4.0,40.0,1
2017000017131,123,2,7302,40,0,,2,6.0,4.0,,0
2017000017131,123,3,7302,11,8,,1,,,,0
2017000017131,123,4,7302,12,9,,1,,,,0
2017000017171,124,1,7314,79,0,,1,6.0,4.0,,0
2017000017171,124,2,7314,77,0,,2,6.0,4.0,,0
2017000017243,125,1,7307,48,0,6.0,2,1.0,4.0,10.0,1
2017000017243,125,2,7307,20,0,1.0,1,2.0,4.0,12.0,1
2017000017243,125,3,7307,17,14,,2,6.0,4.0,,0
2017000017258,126,1,7301,59,0,3.0,1,1.0,4.0,40.0,1
2017000017258,126,2,7301,52,0,1.0,1,1.0,4.0,40.0,1
2017000017411,127,1,7306,47,0,1.0,2,1.0,4.0,24.0,1
2017000017411,127,2,7306,40,0,1.0,1,1.0,3.0,40.0,1
2017000017411,127,3,7306,11,8,,1,,,,0
2017000017411,127,4,7306,9,6,,1,,,,0
2017000017515,128,1,7304,68,0,6.0,1,6.0,2.0,40.0,0
2017000017515,128,2,7304,67,0,6.0,2,6.0,4.0,20.0,0
2017000018120,129,1,7302,35,0,1.0,1,1.0,4.0,50.0,1
2017000018120,129,2,7302,34,0,7.0,2,1.0,4.0,25.0,1
2017000018120,129,3,7302,7,3,,1,,,,0
2017000018120,129,4,7302,5,2,,2,,,,0
2017000018157,130,1,7313,54,0,1.0,2,3.0,4.0,,1
2017000018157,130,2,7313,59,0,3.0,1,6.0,4.0,,0
2017000018343,131,1,7315,68,0,5.0,1,6.0,2.0,,0
2017000018343,131,2,7315,63,0,3.0,2,1.0,4.0,40.0,1
2017000018457,132,1,7321,32,0,5.0,1,1.0,2.0,40.0,1
2017000018457,132,2,7321,30,0,5.0,2,1.0,4.0,40.0,1
2017000018552,133,1,7302,75,0,,1,6.0,4.0,,0
2017000018775,134,1,7312,31,16,1.0,1,1.0,4.0,40.0,1
2017000018775,134,2,7312,31,16,4.0,2,1.0,4.0,50.0,1
2017000018780,135,1,7310,71,0,,2,6.0,4.0,,0
2017000018780,135,2,7310,79,0,4.0,1,6.0,4.0,25.0,0
2017000018812,136,1,7312,23,15,,1,6.0,4.0,,0
2017000018843,137,1,7309,72,0,6.0,1,1.0,2.0,2.0,1
2017000018843,137,2,7309,70,0,,2,6.0,4.0,,0
2017000018956,138,1,7319,30,0,5.0,1,4.0,1.0,40.0,0
2017000018956,138,2,7319,1,0,,2,,,,0
2017000018956,138,3,7319,30,15,1.0,2,1.0,4.0,30.0,1
2017000019187,139,1,7304,69,0,3.0,1,1.0,4.0,40.0,1
2017000019187,139,2,7304,52,0,1.0,2,3.0,4.0,30.0,1
2017000019187,139,3,7304,17,13,,1,6.0,4.0,,0
2017000019187,139,4,7304,14,11,,1,,,,0
2017000019233,140,1,7321,51,0,1.0,1,1.0,4.0,40.0,1
2017000019233,140,2,7321,49,0,9.0,2,3.0,4.0,,1
2017000019233,140,3,7321,25,0,1.0,1,1.0,4.0,40.0,1
2017000019304,141,1,7320,60,0,1.0,1,1.0,4.0,40.0,1
2017000019304,141,2,7320,60,0,2.0,2,1.0,4.0,50.0,1
2017000019752,142,1,7322,82,15,,1,6.0,2.0,,0
2017000019752,142,2,7322,69,0,1.0,2,1.0,4.0,36.0,1
2017000019795,143,1,7321,27,0,1.0,2,1.0,4.0,40.0,1
2017000019795,143,2,7321,36,0,1.0,1,1.0,4.0,50.0,1
2017000019795,143,3,7321,49,0,,1,6.0,2.0,,0
2017000019795,143,4,7321,33,0,1.0,1,1.0,4.0,40.0,1
2017000019878,144,1,7315,74,0,,1,6.0,2.0,,0
2017000019878,144,2,7315,73,15,,2,6.0,4.0,,0
2017000019878,144,3,7315,43,0,2.0,1,1.0,4.0,9.0,1
2017000019972,145,1,7308,67,0,,1,6.0,2.0,,0
2017000019972,145,2,7308,68,0,7.0,2,1.0,4.0,70.0,1
2017000019984,146,1,7302,52,0,1.0,2,1.0,4.0,40.0,1
2017000019984,146,2,7302,17,13,1.0,1,1.0,4.0,10.0,1
2017000019984,146,3,7302,16,12,,1,6.0,,,0
2017000020228,147,1,7315,47,0,1.0,2,1.0,4.0,36.0,1
2017000020228,147,2,7315,5,0,,1,,,,0
2017000020228,147,3,7315,5,0,,2,,,,0
2017000020228,147,4,7315,69,0,,2,6.0,4.0,,0
2017000020340,148,1,7319,72,0,,2,6.0,4.0,,0
2017000020343,149,1,7302,54,0,1.0,1,1.0,4.0,40.0,1
2017000020343,149,2,7302,50,0,1.0,2,1.0,4.0,40.0,1
2017000020343,149,3,7302,30,0,1.0,1,1.0,4.0,40.0,1
2017000020343,149,4,7302,26,0,1.0,1,1.0,4.0,40.0,1
2017000020343,149,5,7302,25,0,1.0,2,1.0,4.0,40.0,1
2017000020343,149,6,7302,19,15,,2,6.0,4.0,,0
2017000020434,150,1,7319,81,0,,2,6.0,4.0,,0
2017000020454,151,1,7302,75,0,4.0,1,6.0,2.0,,0
2017000020454,151,2,7302,74,0,,2,6.0,4.0,,0
2017000020745,152,1,7319,55,0,6.0,1,1.0,4.0,50.0,1
2017000020745,152,2,7319,47,0,1.0,2,1.0,4.0,24.0,1
2017000020745,152,3,7319,26,0,1.0,2,1.0,4.0,35.0,1
2017000020745,152,4,7319,24,0,1.0,1,1.0,4.0,60.0,1
