HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP
1,1,7305,25,,1.0,1,1.0,4.0,40.0
1,2,7305,26,,1.0,2,6.0,4.0,
1,3,7305,2,,,1,,,
1,4,7305,0,,,1,,,
2,1,7311,59,,1.0,1,1.0,4.0,40.0
2,2,7311,53,16.0,1.0,2,1.0,4.0,40.0
2,3,7311,18,15.0,4.0,2,1.0,4.0,14.0
2,4,7311,83,,,2,6.0,4.0,
3,1,7308,67,,3.0,2,1.0,4.0,40.0
3,2,7308,36,,1.0,1,6.0,4.0,
3,3,7308,32,,1.0,1,1.0,4.0,35.0
4,1,7310,23,,5.0,1,4.0,1.0,48.0
5,1,7313,30,,1.0,1,1.0,4.0,55.0
5,2,7313,35,,1.0,2,1.0,4.0,50.0
5,3,7313,1,,,2,,,
6,1,7301,55,,2.0,2,6.0,4.0,
6,2,7301,16,13.0,1.0,2,1.0,,20.0
7,1,7312,23,15.0,2.0,2,2.0,4.0,10.0
7,2,7312,39,,2.0,1,2.0,4.0,40.0
8,1,7318,74,,,1,6.0,4.0,
8,2,7318,75,,1.0,1,6.0,4.0,70.0
9,1,7309,62,,6.0,1,1.0,4.0,36.0
9,2,7309,69,,1.0,2,1.0,4.0,36.0
10,1,7310,43,,6.0,2,1.0,4.0,10.0
10,2,7310,49,,6.0,1,1.0,4.0,40.0
10,3,7310,14,11.0,,2,,,
10,4,7310,11,8.0,,2,,,
10,5,7310,6,3.0,,1,,,
11,1,7307,32,15.0,1.0,1,3.0,4.0,30.0
12,1,7318,48,,1.0,1,1.0,4.0,40.0
12,2,7318,11,8.0,,1,,,
12,3,7318,12,9.0,,2,,,
12,4,7318,48,,1.0,1,1.0,4.0,40.0
13,1,7321,56,,5.0,1,6.0,2.0,40.0
14,1,7316,31,,1.0,1,1.0,4.0,48.0
14,2,7316,24,,,2,6.0,4.0,
14,3,7316,3,,,2,,,
14,4,7316,1,,,1,,,
15,1,7301,32,,1.0,1,1.0,4.0,55.0
15,2,7301,32,16.0,2.0,2,1.0,4.0,45.0
15,3,7301,2,,,2,,,
15,4,7301,1,,,1,,,
16,1,7313,68,,,2,6.0,4.0,
17,1,7306,87,,,1,6.0,4.0,
18,1,7313,65,,1.0,1,6.0,2.0,
18,2,7313,64,,1.0,2,1.0,4.0,18.0
18,3,7313,60,,7.0,2,6.0,4.0,3.0
19,1,7313,37,,1.0,1,6.0,4.0,
19,2,7313,37,,3.0,2,1.0,4.0,40.0
19,3,7313,1,,,1,,,
20,1,7310,46,,2.0,2,1.0,4.0,45.0
20,2,7310,50,,1.0,1,1.0,4.0,35.0
21,1,7321,54,,6.0,2,1.0,4.0,15.0
21,2,7321,18,,,2,6.0,4.0,
22,1,7314,61,,5.0,2,1.0,4.0,40.0
22,2,7314,66,,1.0,1,1.0,4.0,40.0
23,1,7313,53,,1.0,1,1.0,4.0,40.0
24,1,7316,58,,4.0,1,1.0,4.0,40.0
25,1,7321,46,,,2,6.0,4.0,
25,2,7321,39,,1.0,1,1.0,4.0,25.0
25,3,7321,13,10.0,,2,,,
