mgra,PUMA,REGION
1,7316,1
2,7316,1
3,7316,1
4,7316,1
5,7316,1
6,7316,1
7,7316,1
8,7316,1
9,7316,1
10,7316,1
11,7316,1
12,7316,1
13,7316,1
14,7316,1
15,7316,1
16,7316,1
17,7316,1
18,7316,1
19,7316,1
20,7316,1
21,7316,1
22,7316,1
23,7316,1
24,7316,1
25,7316,1
26,7316,1
27,7316,1
28,7316,1
29,7316,1
30,7316,1
31,7316,1
32,7316,1
33,7316,1
34,7316,1
35,7316,1
36,7316,1
37,7316,1
38,7316,1
39,7316,1
40,7316,1
41,7316,1
42,7316,1
43,7316,1
44,7316,1
45,7316,1
46,7316,1
47,7316,1
48,7316,1
49,7316,1
50,7316,1
51,7316,1
52,7316,1
53,7316,1
54,7316,1
55,7316,1
56,7316,1
57,7316,1
58,7316,1
59,7316,1
60,7316,1
61,7316,1
62,7316,1
63,7316,1
64,7316,1
65,7316,1
66,7316,1
67,7316,1
68,7316,1
69,7316,1
70,7316,1
71,7316,1
72,7316,1
73,7316,1
74,7316,1
75,7316,1
76,7316,1
77,7316,1
78,7316,1
79,7316,1
80,7316,1
81,7316,1
82,7316,1
83,7316,1
84,7316,1
85,7316,1
86,7316,1
87,7316,1
88,7316,1
89,7316,1
90,7316,1
91,7316,1
92,7316,1
93,7316,1
94,7316,1
95,7316,1
96,7316,1
97,7316,1
98,7316,1
99,7316,1
100,7316,1
101,7316,1
102,7316,1
103,7316,1
104,7316,1
105,7316,1
106,7316,1
107,7316,1
108,7316,1
109,7316,1
110,7316,1
111,7316,1
112,7316,1
113,7316,1
114,7316,1
115,7316,1
116,7316,1
117,7316,1
118,7316,1
119,7316,1
120,7316,1
121,7316,1
122,7316,1
123,7316,1
124,7316,1
125,7316,1
126,7316,1
127,7316,1
128,7316,1
129,7316,1
130,7316,1
131,7316,1
132,7316,1
133,7316,1
134,7316,1
135,7316,1
136,7316,1
137,7316,1
138,7316,1
139,7316,1
140,7316,1
141,7316,1
142,7316,1
143,7316,1
144,7316,1
145,7316,1
146,7316,1
147,7316,1
148,7316,1
149,7316,1
150,7316,1
151,7316,1
152,7316,1
153,7316,1
154,7316,1
155,7316,1
156,7316,1
157,7316,1
158,7316,1
159,7316,1
160,7316,1
161,7316,1
162,7316,1
163,7316,1
164,7316,1
165,7316,1
166,7316,1
167,7316,1
168,7316,1
169,7316,1
170,7316,1
171,7316,1
172,7316,1
173,7316,1
174,7316,1
175,7316,1
176,7316,1
177,7316,1
178,7316,1
179,7316,1
